"uuid:ID","name","instanceType","id","text"
"70de216e-9a86-4b12-8368-9a9afbaa1540","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_1","Subject identifier"
"111b22d2-df1a-4b59-ad8c-b8ab3e08b724","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_2","completion of screening activities"
"a6fccbad-b23f-4deb-aff6-51ddd3ed4dd8","ENCOUNTER_START_RULE_2","TransitionRule","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"5df610c2-36e7-4cf6-9243-31666701df29","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"b2e4c5f2-5641-4177-8349-e12abfc6d67f","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_5","Radomized"
"b86bba26-d8c1-4d66-8aae-d7677e50ce7c","ENCOUNTER_START_RULE_12","TransitionRule","TransitionRule_6","End of treatment"
"97b57325-561c-4bc3-a388-dc97b19eb8b1","ELEMENT_START_RULE_1","TransitionRule","TransitionRule_7","Informed consent"
"3637e982-0aff-41f0-b15e-c63452e5954e","ELEMENT_END_RULE_1","TransitionRule","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"9c34e334-52a2-424c-ac01-99636de6d2b1","ELEMENT_START_RULE_2","TransitionRule","TransitionRule_9","Administration of first dose"
"08b1596c-795d-4e91-a38d-58be2f003fbf","ELEMENT_START_RULE_7","TransitionRule","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"b4930ad9-c338-4aff-864d-91d03b07af0c","ELEMENT_END_RULE_7","TransitionRule","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ee3a0dab-21a6-4d92-92d3-c2318398ddb5","ELEMENT_START_RULE_3","TransitionRule","TransitionRule_10","Administration of first dose"
"315d396f-7809-41ea-b674-2f205f08e955","ELEMENT_START_RULE_4","TransitionRule","TransitionRule_11","Randomized"
"81c3233a-5cd5-40f9-afcd-0ed9db69a85f","ELEMENT_START_RULE_5","TransitionRule","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"dbe7aa20-3f1a-41c7-9742-fda9dab65ccd","ELEMENT_START_RULE_6","TransitionRule","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
