"uuid:ID","name","text","id","label","description"
"b0726574-8679-4040-bdc7-814459add1bf","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1","",""
"e094a017-8e09-4585-abad-1d578d72bd1f","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2","",""
"948b85b4-8c2e-490b-9e6a-e70becc8fbf6","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","",""
"5dfe5fa1-4c29-4856-8c21-446fdbea7381","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4","",""
"d7be4dc2-84b1-47cb-9139-99036b7e2430","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5","",""
"3e0eeaf5-ae3d-4dd2-ad04-413d4d88fb78","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6","",""
"91965d2a-5f9c-4853-a807-1ecd21cc9b22","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7","",""
"8090bd5c-649d-4b7b-adb8-1ade539f309f","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","",""
"04608352-7678-4e3f-aacb-ff117257171e","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9","",""
"c2cb1006-2d6e-461c-a56b-8575465b63a2","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14","",""
"dff893e2-1df1-409a-9929-1074ab80b65d","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","",""
"1730bb6e-cb4d-4ebf-bc95-2551d50a10c8","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10","",""
"56fe96b3-fcc5-4414-bcc9-4d9620cf6d1e","ELEMENT_START_RULE_4","Randomized","TransitionRule_11","",""
"cf8f226b-906a-4fa9-b9e1-1fa894a533f3","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","",""
"949fb2b9-529b-4869-b73e-6dc9754294fa","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","",""
