"uuid:ID","responseCodeEnabled","id"
"2e2ce5e0-e673-4d40-add3-0e8de3f9590e","True","ResponseCode_17"
"e7a78d07-13f8-4a56-9ecd-c47c14bcad65","True","ResponseCode_18"
"d449f937-1602-4906-8839-82c4af9cc981","True","ResponseCode_19"
"eab35939-9d2b-498c-bdae-ca99623513df","True","ResponseCode_20"
"dc5bcb7a-2082-499b-804c-a304964df41b","True","ResponseCode_21"
"68804486-9f44-4483-aff6-f3e4eff187db","True","ResponseCode_22"
"8b62a71e-76e8-4b0d-bfa9-fc517b5629b7","True","ResponseCode_23"
"e410c388-a6ca-468e-9eec-4cdf573cb830","True","ResponseCode_24"
"6d46255e-7f8e-4675-86e7-2e40776b8aae","True","ResponseCode_1"
"f110a14c-6a62-4ca7-bd31-404fb4ea7457","True","ResponseCode_2"
"60a60d55-880e-490d-9394-391407075119","True","ResponseCode_3"
"d9169b89-295c-4fa2-8d4f-db7de37a99ca","True","ResponseCode_4"
"2b85b88b-98ae-4ba6-ac8e-5835499428cf","True","ResponseCode_5"
"4aa90c1f-87cc-484f-b580-37d4d30cb12e","True","ResponseCode_6"
"d2067d06-76e7-4fdc-9ab0-d1fb8367b907","True","ResponseCode_7"
"a3ce78b3-a384-429a-bcbf-2626ab264167","True","ResponseCode_8"
"f43d7895-9e35-407c-add4-314a05a79f67","True","ResponseCode_9"
"deb3aee4-c577-447d-ba1b-0fe6a4f1789b","True","ResponseCode_10"
"58f86b3e-e4ae-4654-820e-1470d27514e7","True","ResponseCode_11"
"46eb63aa-c2e8-441a-8284-2153c3789aa7","True","ResponseCode_12"
"cb6b56d3-c9f3-4672-a865-399e7604b843","True","ResponseCode_13"
"4c29ee8d-07eb-45cf-ba59-75bdd3fc5400","True","ResponseCode_14"
"463cedbf-795c-4ab6-9097-f1dec1e7cb92","True","ResponseCode_15"
"16b6a12f-b95a-48c8-914f-b3a779aa9a08","True","ResponseCode_16"
