"bcPropertyEnabled","bcPropertyResponseCodes","bcPropertyRequired","uuid:ID","bcPropertyDatatype","name","id","label"
"True","[]","True","a685ab07-8941-493b-8493-c5ddf8e16675","decimal","Vital Signs Result","BiomedicalConceptProperty_86","Vital Signs Result"
"True","","True","491ebf35-d89f-4070-a073-1da94bcb6d15","string","Unit of Temperature","BiomedicalConceptProperty_87","Unit of Temperature"
"True","[]","True","567636ea-7a22-40af-9066-6fe772c5594c","string","Vital Signs Location","BiomedicalConceptProperty_88","Vital Signs Location"
"True","[]","True","df056eaa-23f7-4e80-88e0-48723590e70f","decimal","Vital Signs Result","BiomedicalConceptProperty_89","Vital Signs Result"
"True","","True","420e2c2f-c891-44af-83a7-e430d57f19f1","string","Unit of Weight","BiomedicalConceptProperty_90","Unit of Weight"
"True","[]","True","297acd2a-f6c7-4637-a8af-bf16c804689b","decimal","Vital Signs Result","BiomedicalConceptProperty_91","Vital Signs Result"
"True","","True","c10e697f-1a71-45c3-ba37-2e0e0c3be559","string","Unit of Height","BiomedicalConceptProperty_92","Unit of Height"
"True","[]","True","9667ce23-1ef3-42e6-852e-22063e0b6533","decimal","Laboratory Test Result","BiomedicalConceptProperty_93","Laboratory Test Result"
"True","[]","True","5d71d1fe-b7b0-4306-b2e9-1bff2b445d25","boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_94","Laboratory Test Fasting Status"
"True","[]","True","6abb93ed-1a2c-4c6f-920e-e388416d3910","string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95","Unit of Catalytic Activity Concentration"
"True","[]","True","1d4713c9-fea6-43cb-9042-74361bd4ee49","string","Biospecimen Type","BiomedicalConceptProperty_96","Biospecimen Type"
"True","[]","True","95e11d7f-b3d8-42bf-a9a9-6716238821db","string","Laboratory Test Result","BiomedicalConceptProperty_97","Laboratory Test Result"
