"bcSynonyms","bcReference","uuid:ID","name","id","label"
"['Temperature']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","1070f93c-3bf2-4efd-8703-c1f9eba7c4e1","Body Temperature","BiomedicalConcept_18","Body Temperature"
"['Weight']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","68c86fb0-cb4d-414f-be26-0f84fbe9918d","Body Weight","BiomedicalConcept_19","Body Weight"
"['Height']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","224c1784-a2fb-41b0-ac7e-ebaaa0151c39","Body Height","BiomedicalConcept_20","Body Height"
"['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","e46d92fd-38a6-4920-b040-a21e70528f53","Alanine Aminotransferase Measurement","BiomedicalConcept_21","Alanine Aminotransferase Measurement"
"['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","5f1e7e7f-8e2a-48b9-93aa-30646020e984","Albumin Measurement","BiomedicalConcept_22","Albumin Measurement"
"['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","0e633ce8-e361-44bf-a396-3438b07d4060","Alkaline Phosphatase Measurement","BiomedicalConcept_23","Alkaline Phosphatase Measurement"
"['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","1aaca0f2-5776-434c-99be-a54a6f6d07cc","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","Aspartate Aminotransferase Measurement"
"['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","b9cf43f9-db58-4aaf-b75e-4d8f5be94fc6","Creatinine Measurement","BiomedicalConcept_25","Creatinine Measurement"
"['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","87e05302-30c1-4062-a375-076520e05917","Potassium Measurement","BiomedicalConcept_26","Potassium Measurement"
"['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","dc5572bb-8901-420a-9c8e-06fd85846951","Sodium Measurement","BiomedicalConcept_27","Sodium Measurement"
