"timingWindowLower","timingValue","timingWindowUpper","uuid:ID","timingWindow","name","id","label","description"
"","P2W","","0ccd36c9-add3-463f-adf4-cf6a09ecb8bf","","TIM1","Timing_1","Screening","Screening timing"
"PT4H","P2D","PT0H","c075b44b-58d7-4dcb-8f12-f7370ef219e2","-4..0 hours","TIM2","Timing_2","Pre dose","Pre dose timing"
"","P1D","","22eb66e5-523e-4a63-94d0-02385890a43c","","TIM3","Timing_3","Dosing","Dosing anchor"
"P3D","P2W","P3D","a7e0ad12-2ede-40b3-bfb0-633a2c6a85dd","-3..3 days","TIM4","Timing_4","Week 2","Week 2 timing"
"P3D","P4W","P3D","648e2f52-72d2-4cdf-a24e-252ffa2d9227","-3..3 days","TIM5","Timing_5","Week 4","Week 4 timing"
"P3D","P6W","P3D","e9754fc7-ca80-4426-ba4c-08ae7416d838","-3..3 days","TIM6","Timing_6","Week 6","Week 6 timing"
"P3D","P8W","P3D","055b7a95-6ff5-4d6b-80bb-0d8e10da7989","-3..3 days","TIM7","Timing_7","Week 8","Week 8 timing"
"","P2W","","4cc648a9-7c02-4772-8a9d-a928c3ded01f","","TIM8","Timing_8","Week 8 Home","Week 8 at home timing"
"P4D","P12W","P4D","44c7adfb-acb0-463a-a3bf-484e434fd319","-4..4 days","TIM9","Timing_9","Week 12","Week 12 timing"
"","P2W","","836ff8a1-0d45-440b-b5d0-7708f0d69b19","","TIM10","Timing_10","Week 12 Home","Week 12 at home timing"
"P4D","P16W","P4D","707e4c61-cb24-42e8-a5ea-efffb320b2e8","-4..4 days","TIM11","Timing_11","Week 16","Week 16 timing"
"","P2W","","a52292e4-722b-4297-adb9-cfbf7fe956e1","","TIM12","Timing_12","Week 16 Home","Week 16 at home timing"
"P4D","P20W","P4D","15c04e04-f934-481a-a0c8-0fcb230a7c5e","-4..4 days","TIM13","Timing_13","Week 20","Week 20 timing"
"","P2W","","41e97768-df5d-4b3a-b936-6aaef4bdc50d","","TIM14","Timing_14","Week 20 Home","Week 20 at home timing"
"P4D","P24W","P4D","f1db3a1d-4761-4a68-a6b8-f11a44db594b","-4..4 days","TIM15","Timing_15","Week 24","Week 24 timing"
"P3D","P26W","P3D","5d092f7b-9948-4f95-be80-fa555b61bbd7","-3..3 days","TIM16","Timing_16","Week 26","Week 26 timing"
"","P1D","","0f42c180-3777-4d9d-bf03-60a6989275bf","","TIM17","Timing_17","Adverse Event","Adverse Event"
"","P1D","","1af72400-4481-4bcb-81d6-ed5f22c41b81","","TIM18","Timing_18","Early Termination","Early Termination"
"","PT0M","","92f2e2aa-1253-4818-ab56-7a5383220dd9","","TIM19","Timing_19","BP Anchor","BP Anchor"
"","PT5M","","8bf00729-0196-4162-83b2-3f6d48843f88","","TIM20","Timing_20","BP while Supine","BP while Supine"
"PT2M","PT3M","PT0M","bc744c60-da0f-4c46-b933-bd4dccf4f923","-2..0 mins","TIM21","Timing_21","BP Stand Up","BP Stand Up"
"","PT0M","","53e1ac52-89d3-4089-b9fb-604466f15c7e","","TIM22","Timing_22","BP while standing","BP while standing"
