"sectionTitle","sectionNumber","uuid:ID","name","text","id"
"Root","0","5b4481d9-00d7-4ecb-a1fa-7b5b7f05114f","ROOT","","NarrativeContent_1"
"TITLE PAGE","0","23e1dc6b-207c-4e2e-bde5-da62d05d9b97","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2"
"PROTOCOL SUMMARY","1","32c62fa0-a11f-4de9-aab2-97e983271a0d","SECTION 1","<div></div>","NarrativeContent_3"
"Protocol Synopsis","1.1","fcfe6ec0-8ff1-4849-99c8-1c89e6a3fc59","SECTION 1.1","<div></div>","NarrativeContent_4"
"Trial Schema","1.2","62a21a91-f8ad-494d-9c14-30acf85b13a0","SECTION 1.2","<div></div>","NarrativeContent_5"
"Schedule of Activities","1.3","9e81bd71-012a-4dd6-b192-4db7a2fe38af","SECTION 1.3","<div></div>","NarrativeContent_6"
"INTRODUCTION","2","ea7109d1-66f5-4259-bf54-df793dd12a1a","SECTION 2","<div></div>","NarrativeContent_7"
"Purpose of Trial","2.1","77bfc196-4990-4fb9-a91d-4c7a3164044f","SECTION 2.1","<div></div>","NarrativeContent_8"
"Summary of Benefits and Risks","2.2","a05e8d61-d123-4976-b9f6-7ee10c8e3af1","SECTION 2.2","<div></div>","NarrativeContent_9"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","518b2275-0a34-4e47-99b9-e3c0c945ca01","SECTION 3","<div></div>","NarrativeContent_10"
"Primary Objectives","3.1","354d2f22-11bd-4279-bb28-af56af324c94","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11"
"TRIAL DESIGN","4","d5ff24ee-f469-4242-b8c2-3575402d8db5","SECTION 4","<div></div>","NarrativeContent_12"
"Description of Trial Design","4.1","ee618215-ef27-4ff2-a95f-26997e308df7","SECTION 4.1","<div></div>","NarrativeContent_13"
"Participant Input into Design","4.1.1","8fe508d8-3e34-4cd6-9382-2df6b11fdb1b","SECTION 4.1.1","<div></div>","NarrativeContent_14"
"Rationale for Trial Design","4.2","dccf9ed3-d334-4875-8823-1d6bd3369da6","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15"
"Rationale for Comparator","4.2.1","ee812e00-5bd6-4259-8348-84bef94a45f9","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16"
"Rationale for Adaptive or Novel Trial Design","4.2.2","a55869d3-9561-4f04-aebf-ad4f627d5f75","SECTION 4.2.2","<div></div>","NarrativeContent_17"
"Other Trial Design Considerations","4.2.3","d7728be6-c620-4def-89f4-feafff40dff8","SECTION 4.2.3","<div></div>","NarrativeContent_18"
"Access to Trial Intervention After End of Trial","4.3","09c13089-b747-487c-b68f-a852c3f1ac39","SECTION 4.3","<div></div>","NarrativeContent_19"
"Start of Trial and End of Trial","4.4","39134f05-3442-40f8-abce-aa5daf86b80e","SECTION 4.4","<div></div>","NarrativeContent_20"
"TRIAL POPULATION","5","579de37b-7449-4a0c-9777-23d433b1b154","SECTION 5","<div></div>","NarrativeContent_21"
"Selection of Trial Population","5.1","15960a4d-c263-448e-acdc-fa20110b09bd","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22"
"Rationale for Trial Population","5.2","2766ab30-3cd1-463c-a4fe-5c11b01b89fa","SECTION 5.2","<div></div>","NarrativeContent_23"
"Inclusion Criteria","5.3","23694b77-a179-44af-9d59-34ad9073c182","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24"
"Exclusion Criteria","5.4","b88fe3c0-c043-415a-bf02-3b27dfca6e3f","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25"
"Lifestyle Considerations","5.5","88244964-691d-47d9-b385-e279868b8157","SECTION 5.5","<div></div>","NarrativeContent_26"
"Meals and Dietary Restrictions","5.5.1","c2909b13-80aa-45d2-9954-24780996693e","SECTION 5.5.1","<div></div>","NarrativeContent_27"
"Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","976fb5c9-ce48-4bd7-9f09-854d800530e5","SECTION 5.5.2","<div><p>Not applicable</p></div>","NarrativeContent_28"
"Physical Activity","5.5.3","c391755b-1cc9-4c73-a850-23afdb4cda8c","SECTION 5.5.3","<div></div>","NarrativeContent_29"
"Other Activity","5.5.4","2e23e3bd-c851-4a60-871b-0dc0f8c39f6b","SECTION 5.5.4","<div></div>","NarrativeContent_30"
"Screen Failures","5.6","2745ea1e-f8d2-46a1-b90d-357e607ba17a","SECTION 5.6","<div></div>","NarrativeContent_31"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","f25ccc68-8e0a-4622-aa88-162d107b39a4","SECTION 6","<div></div>","NarrativeContent_32"
"Description of Trial Intervention","6.1","17093083-7d27-45db-adbe-f93c7dc64e9a","SECTION 6.1","<div></div>","NarrativeContent_33"
