"code","uuid:ID","codeSystemVersion","id","codeSystem","decode"
"C98388","f011c6c7-2a3a-4725-8806-66a86ae04a75","2023-09-29","Code_1","http://www.cdisc.org","Interventional Study"
"C15601","35bcba3d-c409-443f-aad2-6b59d1515707","2023-09-29","Code_2","http://www.cdisc.org","Phase II Trial"
"C132352","13e3fcad-beee-4e06-ba24-dbe408ea796a","2023-09-29","Code_5","http://www.cdisc.org","Sponsor Approval Date"
"C68846","ddc4bd97-5fd5-4baf-b0f5-c7a3faba7d16","2023-09-29","Code_6","http://www.cdisc.org","Global"
"C99904x3","69623a9b-94ed-4123-97d1-ac28dea7989b","2023-09-29","Code_54","http://www.cdisc.org","IRB/IEC Feedback"
"C17649","cffaf8bb-2614-428c-8c17-351a876c7c15","2023-09-29","Code_55","http://www.cdisc.org","Other"
"C41129","99945658-9680-4f0f-9103-c029dd877923","2023-09-29","Code_57","http://www.cdisc.org","Region"
"150","bfa5f0bc-32af-478d-a67c-aae177e2c618","2020-08","Code_56","ISO 3166 1 alpha3","Europe"
"C25464","c6d568f7-445e-489f-875d-c88fe857970b","2023-09-29","Code_59","http://www.cdisc.org","Country"
"DNK","04ca555a-fa4a-4f5d-9568-c900b3893f9d","2020-08","Code_58","ISO 3166 1 alpha3","Denmark"
"PHARMA","eaadd87d-f9ea-4d68-9aec-d575f6681940","12","Code_3","SPONSOR","Eli Lilly"
"C70793","58ba7efe-6b34-4617-ab9d-ceaab2743adf","2023-09-29","Code_60","http://www.cdisc.org","Clinical Study Sponsor"
"USA","7e9a51f0-ff0e-4a15-bed7-91442c83770a","2020-08","Code_61","ISO 3166 1 alpha3","United States of America"
"C93453","d4d89b6c-7571-43f7-ae26-8746bcfb4d4c","2023-09-29","Code_62","http://www.cdisc.org","Study Registry"
"C49656","72672ae1-9c1e-4609-a179-9c42c3088047","2023-09-29","Code_120","http://www.cdisc.org","Treatment Study"
"C49666","d57fc938-b8ee-4d6a-b90d-a59c6f32a93c","2023-09-29","Code_121","http://www.cdisc.org","Efficacy Study"
"C49667","b76b046f-1f83-4b03-886d-4231ad740d1a","2023-09-29","Code_122","http://www.cdisc.org","Safety Study"
"C49663","99cefd0e-1b90-4e30-823c-68da18bc8f46","2023-09-29","Code_123","http://www.cdisc.org","Pharmacokinetic Study"
"MILD_MOD_ALZ","ed1e3c75-b13d-47b3-ac44-dcfdabfabb0a","12","Code_117","SPONSOR","Mild to Moderate Alzheimer\'s Disease"
"26929004","94410160-5f9c-4f2d-8f6e-fa8eca80b3f8","January 31, 2018","Code_118","SNOMED","Alzheimer\'s disease"
"C82639","869aabb0-e6db-4071-a214-9d3cf4c7ea18","2023-09-29","Code_124","http://www.cdisc.org","Parallel Study"
"C25716","5a3a4a16-446d-4e73-978c-ffb4e7e63b27","2023-09-29","Code_66","http://www.cdisc.org","Visit"
"C51282","e9334d8d-752a-4003-917b-537921517f64","2023-09-29","Code_67","http://www.cdisc.org","Clinic"
"C175574","dc6a9537-ac23-42aa-a540-40b2312056f2","2023-09-29","Code_68","http://www.cdisc.org","In Person"
"C25716","a27f2d51-dd35-421e-9124-6b1dc71080f4","2023-09-29","Code_69","http://www.cdisc.org","Visit"
"C51282","5a887786-88b0-474e-a0e2-ac352a55f3bd","2023-09-29","Code_70","http://www.cdisc.org","Clinic"
"C175574","83935087-79c2-46d4-83b1-866f6a0ab82b","2023-09-29","Code_71","http://www.cdisc.org","In Person"
"C25716","4077e025-e4f6-45ae-8192-3bafb21d41f5","2023-09-29","Code_72","http://www.cdisc.org","Visit"
"C51282","6de1f51d-4a99-48c9-972a-8c06779bf42d","2023-09-29","Code_73","http://www.cdisc.org","Clinic"
"C175574","bf4b6080-64ed-4cb6-866b-bb02e581043e","2023-09-29","Code_74","http://www.cdisc.org","In Person"
"C25716","15e88da3-8495-4243-af98-51651ff57965","2023-09-29","Code_75","http://www.cdisc.org","Visit"
"C51282","229ab9da-c37e-4042-b864-f139c12ff1db","2023-09-29","Code_76","http://www.cdisc.org","Clinic"
"C175574","b7938a94-6d04-4098-9611-b4200f71c30c","2023-09-29","Code_77","http://www.cdisc.org","In Person"
