"id","name","text","uuid:ID"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","2f54fa1d-3f33-4fb1-8bf0-93396a4a9975"
"TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","f929dcf8-a698-4077-bf90-3e9915f49d69"
"TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","a57720d8-a561-4b19-8fe8-97a71aae77f6"
"TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","097df830-788f-476a-b355-65d4eec92344"
"TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","216f7be5-3d76-4ab8-b838-8152e0a33e45"
"TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","415ccebd-ab58-4138-938c-db1e9d5c92dc"
"TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","a41e9dd2-b3bb-400a-82bc-372350779731"
"TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","c51801f5-fdcb-4a4d-8b82-8d38c5225af3"
"TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","9060eb4d-5be6-425d-a8a7-e718270c5d9b"
"TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","18c647f1-a6eb-41c2-b619-041e310ab511"
"TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","cea7f6ea-ac27-4f38-90b0-eed03a640534"
"TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","4401ecab-26cf-4e88-9656-87705c6bd1a0"
"TransitionRule_11","ELEMENT_START_RULE_4","Randomized","90b5a50c-bb95-4e3d-a609-393723f01e74"
"TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","585f505b-da39-48b1-b4ef-60fc9e03b87f"
"TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","469a0698-fa53-45e9-b9a6-90609d3cca8f"
