"id","sectionNumber","sectionTitle","name","uuid:ID","text"
"NarrativeContent_1","0","Root","ROOT","66062d55-58b9-4911-977a-f83b02fcbd8e",""
"NarrativeContent_2","0","TITLE PAGE","SECTION 0","486a047e-5562-423f-a3fd-72f0f590a1de","<div><usdm:section name=""M11-title-page""></div>"
"NarrativeContent_3","1","PROTOCOL SUMMARY","SECTION 1","ed2541e4-1e7d-4174-a281-8b06d35ab485","<div></div>"
"NarrativeContent_4","1.1","Protocol Synopsis","SECTION 1.1","e876d4e4-ab30-4d5c-be0c-a42d038d0854","<div></div>"
"NarrativeContent_5","1.2","Trial Schema","SECTION 1.2","644c6db6-212a-49dc-9476-50aa7eaa211f","<div></div>"
"NarrativeContent_6","1.3","Schedule of Activities","SECTION 1.3","22fa43c8-758f-47f7-82be-9d4286e26979","<div></div>"
"NarrativeContent_7","2","INTRODUCTION","SECTION 2","e42b9268-2b34-4703-808b-7a0b941e6d84","<div></div>"
"NarrativeContent_8","2.1","Purpose of Trial","SECTION 2.1","481f5755-8fe0-44d2-8336-3d4ae20513da","<div></div>"
"NarrativeContent_9","2.2","Summary of Benefits and Risks","SECTION 2.2","5b1a9332-3a31-4c5a-b2c3-801665055763","<div></div>"
"NarrativeContent_10","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","77431143-a19d-487f-ac1c-e03a1100b773","<div></div>"
"NarrativeContent_11","3.1","Primary Objectives","SECTION 3.1","bf56b5cc-606c-4fa2-ab8d-25042552ed51","<div><usdm:section name=""M11-objective-endpoints""></div>"
"NarrativeContent_12","4","TRIAL DESIGN","SECTION 4","4cfeabd3-47cb-42d2-893a-d578126b78aa","<div></div>"
"NarrativeContent_13","4.1","Description of Trial Design","SECTION 4.1","82711acf-d855-40ee-83c4-5e7aaf573599","<div></div>"
"NarrativeContent_14","4.1.1","Participant Input into Design","SECTION 4.1.1","df23f524-855c-48c4-936c-09c01f5e92d7","<div></div>"
"NarrativeContent_15","4.2","Rationale for Trial Design","SECTION 4.2","1ebb2bcc-7d31-4614-a1c6-3d4d3ade3b24","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"NarrativeContent_16","4.2.1","Rationale for Comparator","SECTION 4.2.1","d0044603-9bfc-4017-a0d9-cfcb6352ef82","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"NarrativeContent_17","4.2.2","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","d29bc395-adf0-4f5c-9d08-18001ada6674","<div></div>"
"NarrativeContent_18","4.2.3","Other Trial Design Considerations","SECTION 4.2.3","32f8d3a2-964d-4dc5-8de0-32c609c7e2a4","<div></div>"
"NarrativeContent_19","4.3","Access to Trial Intervention After End of Trial","SECTION 4.3","89d97437-d562-4df1-b439-a39cb09732ce","<div></div>"
"NarrativeContent_20","4.4","Start of Trial and End of Trial","SECTION 4.4","0aa8714a-6c12-4e20-836d-50c762747d3a","<div></div>"
"NarrativeContent_21","5","TRIAL POPULATION","SECTION 5","293ca779-5cad-4211-b01f-255ef5daf2b8","<div></div>"
