"id","value","description","windowLower","name","uuid:ID","windowUpper","window","label"
"Timing_1","P2W","Screening timing","","TIM1","0b4be3cd-0fea-4157-a630-46b60d1f951d","","","Screening"
"Timing_2","P2D","Pre dose timing","PT4H","TIM2","0614f61d-ff0d-43d0-856d-8c6de51485d8","PT0H","-4..0 hours","Pre dose"
"Timing_3","P1D","Dosing anchor","","TIM3","e0a974f3-550b-4c0f-84f6-91886cc3c375","","","Dosing"
"Timing_4","P2W","Week 2 timing","P3D","TIM4","6f944941-9657-4874-b7a4-373ebd8ee2d3","P3D","-3..3 days","Week 2"
"Timing_5","P4W","Week 4 timing","P3D","TIM5","23e35062-5901-47c0-a79f-cc7dc95a0695","P3D","-3..3 days","Week 4"
"Timing_6","P6W","Week 6 timing","P3D","TIM6","91853a9f-6ec8-49bf-8bdf-bf4247c0bfbd","P3D","-3..3 days","Week 6"
"Timing_7","P8W","Week 8 timing","P3D","TIM7","b8c9d236-a0af-4e65-97c8-e6e1f526f7be","P3D","-3..3 days","Week 8"
"Timing_8","P2W","Week 8 at home timing","","TIM8","51317ec7-d9ac-4b31-b3c1-1106ec492c2a","","","Week 8 Home"
"Timing_9","P12W","Week 12 timing","P4D","TIM9","c1a2fc70-ca80-4b4e-abb4-29a0e3f114bf","P4D","-4..4 days","Week 12"
"Timing_10","P2W","Week 12 at home timing","","TIM10","bcfaacbd-3fcc-48a1-adc5-41cb356f486c","","","Week 12 Home"
"Timing_11","P16W","Week 16 timing","P4D","TIM11","e0782c64-b561-40fa-8128-be9edd8ec432","P4D","-4..4 days","Week 16"
"Timing_12","P2W","Week 16 at home timing","","TIM12","001ea1d2-f486-498c-857a-52e22005f183","","","Week 16 Home"
"Timing_13","P20W","Week 20 timing","P4D","TIM13","cb4d4809-9f12-437c-a989-09f62607b412","P4D","-4..4 days","Week 20"
"Timing_14","P2W","Week 20 at home timing","","TIM14","273cbd7e-c11f-4eb8-ac7a-79fc3b513698","","","Week 20 Home"
"Timing_15","P24W","Week 24 timing","P4D","TIM15","e0a89176-9d83-47a1-83b9-b7861445ccb3","P4D","-4..4 days","Week 24"
"Timing_16","P26W","Week 26 timing","P3D","TIM16","9194f808-45b1-4a2a-86da-77a6c8f0d441","P3D","-3..3 days","Week 26"
"Timing_17","P1D","Adverse Event","","TIM17","abe73a2e-a1d7-4c6c-b858-d215288eceb8","","","Adverse Event"
"Timing_18","P1D","Early Termination","","TIM18","0ca9c109-4b99-43f5-9393-cc8e56978f11","","","Early Termination"
"Timing_19","PT0M","BP Anchor","","TIM19","929e6360-bb46-418c-acb1-d3827c0326cb","","","BP Anchor"
"Timing_20","PT5M","BP while Supine","","TIM20","d9c3090c-c0a8-4ebd-8df4-a13efbc672ed","","","BP while Supine"
"Timing_21","PT3M","BP Stand Up","PT2M","TIM21","136eb7bb-fb21-4854-9ed2-6eb8d509a215","PT0M","-2..0 min","BP Stand Up"
"Timing_22","PT0M","BP while standing","","TIM22","fbec1ac8-687e-4f3e-b04e-9dda50ed87f2","","","BP while standing"
