"id","codeSystemVersion","codeSystem","code","uuid:ID","decode"
"Code_1","2023-09-29","http://www.cdisc.org","C98388","de5af8f9-1543-47aa-8bbe-2433aba93dc0","Interventional Study"
"Code_2","2023-09-29","http://www.cdisc.org","C15601","4f3f65b9-3ca3-4901-a106-1d97a15d5b0d","Phase II Trial"
"Code_5","2023-09-29","http://www.cdisc.org","C132352","41045b18-7733-43df-88aa-bfe5155139b0","Sponsor Approval Date"
"Code_6","2023-09-29","http://www.cdisc.org","C68846","27bf8ee1-cc97-4d64-9ca8-7f841d0d7d8b","Global"
"Code_65","2023-09-29","http://www.cdisc.org","C99904x3","9c92fc6d-2927-4f60-9cd4-95cb4123a9cc","IRB/IEC Feedback"
"Code_66","2023-09-29","http://www.cdisc.org","C17649","0703af58-5b40-4278-a3a1-5eadc00ffaa7","Other"
"Code_68","2023-09-29","http://www.cdisc.org","C41129","1c6f987d-eff3-4f8d-b948-39a145f2bbb7","Region"
"Code_67","2020-08","ISO 3166 1 alpha3","150","55134c9f-46a9-47b1-abe8-d74d55bfef6b","Europe"
"Code_3","12","SPONSOR","PHARMA","b652e9bf-2d20-40c0-85f4-f2d879d0b182","Eli Lilly"
"Code_69","2023-09-29","http://www.cdisc.org","C70793","b6f30152-d8c1-4baa-b4c3-a784b2c632cf","Clinical Study Sponsor"
"Code_70","2020-08","ISO 3166 1 alpha3","USA","dc5cdfc2-fefb-47b0-9176-e865f093f50b","United States of America"
"Code_71","2023-09-29","http://www.cdisc.org","C93453","a9ac86c3-4670-49e4-a9ba-244439c1177e","Study Registry"
"Code_129","2023-09-29","http://www.cdisc.org","C49656","4b612486-b435-45df-a5e2-b6e0a287beb9","Treatment Study"
"Code_130","2023-09-29","http://www.cdisc.org","C49666","636849a6-9ed1-42b3-a643-50ac243c2124","Efficacy Study"
"Code_131","2023-09-29","http://www.cdisc.org","C49667","8fc79e67-fe8b-4139-b247-8dd1207ebf12","Safety Study"
"Code_132","2023-09-29","http://www.cdisc.org","C49663","4cac77c9-392e-42ba-9a03-7440fbf96f22","Pharmacokinetic Study"
"Code_126","12","SPONSOR","MILD_MOD_ALZ","eb503300-bd5b-44ea-8aa4-c493cb798dcb","Mild to Moderate Alzheimer\'s Disease"
"Code_127","January 31, 2018","SNOMED","26929004","c02235b0-b947-446f-90ae-887779678f2a","Alzheimer\'s disease"
"Code_133","2023-09-29","http://www.cdisc.org","C82639","f1d27b25-b22e-4271-a586-1897f38b27af","Parallel Study"
"Code_75","2023-09-29","http://www.cdisc.org","C25716","51206d79-19ee-409d-9f16-deca72063bf0","Visit"
"Code_76","2023-09-29","http://www.cdisc.org","C51282","3b03ab35-b6ac-4e79-b993-b2d372446b16","Clinic"
"Code_77","2023-09-29","http://www.cdisc.org","C175574","59947a0e-6cd9-4590-a68f-42a223f63206","In Person"
"Code_78","2023-09-29","http://www.cdisc.org","C25716","dd1c4dd0-348b-45b5-9971-b4428bc44d97","Visit"
"Code_79","2023-09-29","http://www.cdisc.org","C51282","3c19a245-89a8-4c0e-9e1e-35f615612b6d","Clinic"
"Code_80","2023-09-29","http://www.cdisc.org","C175574","c78bc51f-0f16-4529-8ed6-1bcdbdbeac15","In Person"
"Code_81","2023-09-29","http://www.cdisc.org","C25716","edcddb61-6bff-405f-b118-26301d33ab94","Visit"
"Code_82","2023-09-29","http://www.cdisc.org","C51282","5076da85-bbc5-441c-8395-737445aa53d9","Clinic"
"Code_83","2023-09-29","http://www.cdisc.org","C175574","db3540ea-72ef-46fd-a68d-45e6e6d84d77","In Person"
"Code_84","2023-09-29","http://www.cdisc.org","C25716","9cf22ae6-4015-4481-b669-1ed2e0050022","Visit"
"Code_85","2023-09-29","http://www.cdisc.org","C51282","04b72ee4-8599-4681-96b5-a5526574aa74","Clinic"
"Code_86","2023-09-29","http://www.cdisc.org","C175574","f05d0317-9a76-454d-880d-902690fe6ba5","In Person"
"Code_87","2023-09-29","http://www.cdisc.org","C25716","aec5625b-ebc7-4e3f-be62-fc5904cdbb8d","Visit"
"Code_88","2023-09-29","http://www.cdisc.org","C51282","5662ca37-435d-4a36-8f77-b3c82842da3e","Clinic"
"Code_89","2023-09-29","http://www.cdisc.org","C175574","884e6b79-724f-4161-a0fe-124b64fce5fe","In Person"
