"id","reference","synonyms","name","uuid:ID","label"
"BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature","041200d3-ca33-4e68-9211-99a9a01d2e0f","Body Temperature"
"BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight","5762a161-47cd-422a-971a-e80540692dbc","Body Weight"
"BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height","379eede2-010b-4cf3-b786-c2b436877e60","Body Height"
"BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","088490c4-6f4e-4af4-a8f4-d9267e588754","Alanine Aminotransferase Measurement"
"BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","8df1bc6b-79a7-4af5-b609-666f8d8403b4","Albumin Measurement"
"BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","3824c390-0b29-415e-9adf-358e92219b27","Alkaline Phosphatase Measurement"
"BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","4a211a46-637c-46b3-80c2-d596e92a44c0","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","04ea6000-797c-462d-9ccd-1ba46c2a5656","Creatinine Measurement"
"BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement","df696474-5bc8-41c4-af09-5c1ba60ba0fc","Potassium Measurement"
"BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement","276b850b-cc46-4961-ab46-36ed87604611","Sodium Measurement"
"BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","Adverse Event","799fe4e9-8cde-4616-8e81-6aa351be8d96","Adverse Event"
"BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","521b0365-5d4d-4d68-a9e5-fc89c8ff2b04","Systolic Blood Pressure"
"BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","223a3af7-af84-4de6-ae78-9144a1f3b238","Diastolic Blood Pressure"
"BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature","eda46ebe-1ef8-4314-b872-cdbf5b421254","Body Temperature"
"BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight","e56a9e56-88a2-4fd0-9fbe-8f2822f800cf","Body Weight"
"BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height","f2c30166-daea-44b2-b26d-f00c1f225e12","Body Height"
"BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","be6f28e2-01d1-41a8-ae2d-bd3e56f5c0a6","Alanine Aminotransferase Measurement"
"BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","fe197db1-67ff-45b3-936f-f8c8cff307bd","Albumin Measurement"
"BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","6e6f7e23-e572-4ac2-9481-0c172c1cb4ee","Alkaline Phosphatase Measurement"
"BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","c712ada5-9a5e-48d4-a750-da056a54b984","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","ef1fb5a8-16c8-43ac-9aff-400e76d28875","Creatinine Measurement"
"BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement","1e15c1ab-091f-45ee-a6f3-bce46f5c824d","Potassium Measurement"
"BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement","759d3e05-51ef-4105-b37e-6af02488cd00","Sodium Measurement"
"BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","d09225c7-ce08-4cfd-b525-31a20116eb6d","Systolic Blood Pressure"
"BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","c45cae77-d25e-4307-8301-2a6684209521","Diastolic Blood Pressure"
"BiomedicalConcept_16","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","6e8fbc55-8ea4-4fa8-9900-5fd27d2fdf1b","Systolic Blood Pressure"
"BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","c6601c78-1206-4d06-8cc5-d7e285aae28e","Diastolic Blood Pressure"
