"id","description","name","uuid:ID","label"
"Encounter_1","Screening encounter","E1","66a9ea2c-517a-4eb7-9484-a9ef53900570","Screening 1"
"Encounter_2","Screening encounter - Ambulatory ECG Placement","E2","cec20e4b-ee7e-4521-b2c7-fd31468be079","Screening 2"
"Encounter_3","Baseline encounter - Ambulatory ECG Removal","E3","e6fd5ee8-1a6e-45de-9910-eff3e39bab41","Baseline"
"Encounter_4","Day 14","E4","d45ed069-f477-4a1d-8f5e-649b1b4e6bbb","Week 2"
"Encounter_5","Day 28","E5","d75376bf-cab5-4c0d-8a9b-f9e9bce9db6a","Week 4"
"Encounter_6","Day 42","E7","2ea9089d-21c1-44df-9f4e-1316cab3ab40","Week 6"
"Encounter_7","Day 56","E8","d61d87d1-4657-42ac-aa65-4cc58e865750","Week 8"
"Encounter_8","Day 84","E9","c9cab876-d50d-44ef-8509-2bc2876d4802","Week 12"
"Encounter_9","Day 112","E10","b736b729-01cf-4575-8769-948ee9db61e2","Week 16"
"Encounter_10","Day 140","E11","5cd5b41b-4614-422d-9f7a-31b0dd2db757","Week 20"
"Encounter_11","Day 168","E12","e4e04a8a-7ea7-4ea3-96b0-2cff1ad4a602","Week 24"
"Encounter_12","Day 182","E13","17163926-081c-4bf2-85fa-44c80a3f0fd4","Week 26"
