"id","uuid:ID","text","sectionTitle","sectionNumber","name"
"NarrativeContent_1","cf508f5b-a22e-4a7e-9f2b-a1107b2683e8","","Root","0","ROOT"
"NarrativeContent_2","1db7b511-0b27-434c-a488-637a02b0af31","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","PROTOCOL SUMMARY","1","SECTION 1"
"NarrativeContent_3","e4785d63-f0fa-45ba-8aa9-c970d4345537","<div></div>","Protocol Synopsis","1.1","SECTION 1.1"
"NarrativeContent_4","1aeb8917-8ca1-4404-8e56-043529a07e35","<div></div>","Trial Schema","1.2","SECTION 1.2"
"NarrativeContent_5","ed5fe290-4ae2-427f-b2e0-f7f09d9be89b","<div></div>","Schedule of Activities","1.3","SECTION 1.3"
"NarrativeContent_6","78632439-59bb-40ae-9c44-16e5bb47ac1b","<div></div>","INTRODUCTION","2","SECTION 2"
"NarrativeContent_7","94c68708-26b6-4f7a-a617-2d1298eb5976","<div></div>","Purpose of Trial","2.1","SECTION 2.1"
"NarrativeContent_8","dcb2cfaf-022f-4e79-9b1c-2c96451b74c2","<div></div>","Summary of Benefits and Risks","2.2","SECTION 2.2"
"NarrativeContent_9","4b3a447f-2023-4d4a-8b1c-a70765d46ae7","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","SECTION 3"
"NarrativeContent_10","964334d8-e7d2-46a7-8115-88453d095b09","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","Primary Objectives","3.1","SECTION 3.1"
"NarrativeContent_11","3a89249c-4bc2-42bc-8c24-57e66fb0dec5","<div></div>","TRIAL DESIGN","4","SECTION 4"
"NarrativeContent_12","39420282-f381-423c-80d2-ba624d86c916","<div></div>","Description of Trial Design","4.1","SECTION 4.1"
"NarrativeContent_13","8701bff6-925a-40fb-9fa0-375a92b694c4","<div></div>","Participant Input into Design","4.1.1","SECTION 4.1.1"
"NarrativeContent_14","2b794a10-5ef1-4a8e-b356-f9774ec4393f","<div></div>","Rationale for Trial Design","4.2","SECTION 4.2"
"NarrativeContent_15","1c811a7a-ee07-424e-93d8-1098d01c6318","<div></div>","Rationale for Comparator","4.2.1","SECTION 4.2.1"
"NarrativeContent_16","8faa3a0c-7861-4bc9-a64e-3ca9b5bd3b74","<div></div>","Rationale for Adaptive or Novel Trial Design","4.2.2","SECTION 4.2.2"
"NarrativeContent_17","28f84a51-2eaf-4f2e-8a93-5df7665286ea","<div></div>","Other Trial Design Considerations","4.2.3","SECTION 4.2.3"
"NarrativeContent_18","800ca5b7-7dc3-419a-8a54-1028921ca016","<div></div>","Access to Trial Intervention After End of Trial","4.3","SECTION 4.3"
"NarrativeContent_19","fc7568a3-bffa-4e0c-8d8e-0491a743a307","<div></div>","Start of Trial and End of Trial","4.4","SECTION 4.4"
"NarrativeContent_20","4c5921ba-39f8-4ebb-a6b9-bc9061c1fc5a","<div></div>","TRIAL POPULATION","5","SECTION 5"
"NarrativeContent_21","f4b1dc71-fa4e-46fa-add4-baa70d04dfdd","<div></div>","Selection of Trial Population","5.1","SECTION 5.1"
"NarrativeContent_22","bedfd25b-ecc1-4573-8cee-fda7510d1aa6","<div></div>","Rationale for Trial Population","5.2","SECTION 5.2"
"NarrativeContent_23","80fff1f2-86db-4200-8ffa-4959b8c4b53a","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","Inclusion Criteria","5.3","SECTION 5.3"
"NarrativeContent_24","52d6bb9a-567c-40af-bbd7-d53be1dbd8dd","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","Exclusion Criteria","5.4","SECTION 5.4"
"NarrativeContent_25","1d2fb907-4522-436b-a895-956683452c41","<div></div>","Lifestyle Considerations","5.5","SECTION 5.5"
"NarrativeContent_26","0ab46454-de36-4ceb-bcd7-a76284b82550","<div></div>","Meals and Dietary Restrictions","5.5.1","SECTION 5.5.1"
"NarrativeContent_27","9a918cac-af3c-45ff-a05b-7b62f02766ea","<div></div>","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","SECTION 5.5.2"
"NarrativeContent_28","33e643b3-db4e-4ab2-a1a0-a5a722690531","<div></div>","Physical Activity","5.5.3","SECTION 5.5.3"
"NarrativeContent_29","b8694a30-5011-4b40-bdaa-9370a0d0a323","<div></div>","Other Activity","5.5.4","SECTION 5.5.4"
"NarrativeContent_30","ec79438c-db7a-4335-83aa-cbe7f09abb36","<div></div>","Screen Failures","5.6","SECTION 5.6"
"NarrativeContent_31","b9fca085-8130-4a32-accf-cc31bb926e05","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","SECTION 6"
"NarrativeContent_32","aa2f87e5-f480-4bed-8689-0014335825c9","<div></div>","Description of Trial Intervention","6.1","SECTION 6.1"
"NarrativeContent_33","971af3c3-271c-41f8-a671-20cb22c6f90d","<div></div>","Rationale for Trial Intervention","6.2","SECTION 6.2"
"NarrativeContent_34","90fa34f1-8aca-4b85-8a39-e05c397e5097","<div></div>","Dosing and Administration","6.3","SECTION 6.3"
"NarrativeContent_35","3d2f9251-38c4-44b1-a79e-183db7db60f6","<div></div>","Trial Intervention Dose Modification","6.3.1","SECTION 6.3.1"
"NarrativeContent_36","aa4571a7-37fd-478d-a56e-d95c51c7d2aa","<div></div>","Treatment of Overdose","6.4","SECTION 6.4"
"NarrativeContent_37","39d2533e-4e0c-4ba8-b853-f6dfae07841a","<div></div>","Preparation, Handling, Storage and Accountability","6.5","SECTION 6.5"
"NarrativeContent_38","5de79b6d-15ce-41c2-8dbe-dbb430dfc7e7","<div></div>","Preparation of Trial Intervention","6.5.1","SECTION 6.5.1"
"NarrativeContent_39","5aede83b-90cd-4bd4-9fc1-9762f38be207","<div></div>","Handling and Storage of Trial Intervention","6.5.2","SECTION 6.5.2"
"NarrativeContent_40","6b2ede15-7a9d-4ca1-abb4-9406c5e63b44","<div></div>","Accountability of Trial Intervention","6.5.3","SECTION 6.5.3"
"NarrativeContent_41","b2fdfd75-8a3a-4fd7-91ef-f6bac8b2aee5","<div></div>","Participant Assignment, Randomisation and Blinding","6.6","SECTION 6.6"
"NarrativeContent_42","8386576b-d86f-48c1-a28d-72165689dc4c","<div></div>","Participant Assignment","6.6.1","SECTION 6.6.1"
"NarrativeContent_43","35f8d1d6-4815-4479-a795-672761bc2cee","<div></div>","Randomisation","6.6.2","SECTION 6.6.2"
"NarrativeContent_44","d886c968-e59e-44e9-bfa5-1d391e2b6bd3","<div><p>Blinding and unblinding text here please</p></div>","Blinding and Unblinding","6.6.3","SECTION 6.6.3"
"NarrativeContent_45","815c8343-d0e5-4b29-9bc7-7fa502134132","<div></div>","Trial Intervention Compliance","6.7","SECTION 6.7"
"NarrativeContent_46","5bd5a986-9315-4af5-acf5-459d2ad0c25a","<div></div>","Concomitant Therapy","6.8","SECTION 6.8"
"NarrativeContent_47","f49583f3-c0ba-4b33-84e7-bd0f8d55c3fd","<div></div>","Prohibited Concomitant Therapy","6.8.1","SECTION 6.8.1"
"NarrativeContent_48","1075fc39-01eb-49ac-92a1-d02f9d80e920","<div></div>","Permitted Concomitant Therapy","6.8.2","SECTION 6.8.2"
"NarrativeContent_49","f7ebba88-9c98-4a5e-b63f-9b7c9214ae1e","<div></div>","Rescue Therapy","6.8.3","SECTION 6.8.3"
"NarrativeContent_50","d806ff75-d2d1-419d-86bf-8161ee3932a1","<div></div>","Other Therapy","6.8.4","SECTION 6.8.4"
"NarrativeContent_51","4d91dd57-0c31-4a32-b28d-89212031202f","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","7","SECTION 7"
"NarrativeContent_52","794c40ef-92be-49d3-8e31-f909aef83fbb","<div></div>","Discontinuation of Trial Intervention","7.1","SECTION 7.1"
"NarrativeContent_53","31c40fe1-5538-4a12-99a6-e9009a714217","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention","7.1.1","SECTION 7.1.1"
"NarrativeContent_54","ab8769ce-b039-4ecd-8380-186a2f10a502","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention","7.1.2","SECTION 7.1.2"
"NarrativeContent_55","01fcfd94-6745-4e66-97ec-fa1a1470b21b","<div></div>","Rechallenge","7.1.3","SECTION 7.1.3"
"NarrativeContent_56","a4b9a542-d0ff-4915-a045-ad52cf28ce46","<div></div>","Participant Withdrawal from the Trial","7.2","SECTION 7.2"
"NarrativeContent_57","0f447255-36df-46c5-bbf6-5b85b21afb96","<div></div>","Lost to Follow-Up","7.3","SECTION 7.3"
"NarrativeContent_58","1308abbe-ddd0-41c3-bdc8-ccea7d8ef2d9","<div></div>","Trial Stopping Rules","7.4","SECTION 7.4"
"NarrativeContent_59","12faa35a-ecf0-49d1-81c7-b3b09bd19a54","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES","8","SECTION 8"
"NarrativeContent_60","f4c8ab8b-a77b-4ed6-af8e-7744af2721d2","<div></div>","Screening/Baseline Assessments and Procedures","8.1","SECTION 8.1"
"NarrativeContent_61","be8b434a-6706-4b8e-b06b-eb40b8a608f3","<div></div>","Efficacy Assessments and Procedures","8.2","SECTION 8.2"
"NarrativeContent_62","69ffec2e-9468-45df-8eaa-c3314ab0590d","<div></div>","Safety Assessments and Procedures","8.3","SECTION 8.3"
"NarrativeContent_63","f3744baf-4b00-4f66-a8de-20160c1382ac","<div></div>","Physical Examination","8.3.1","SECTION 8.3.1"
"NarrativeContent_64","41b5ab20-2357-4cde-a19d-e9bbdc81c7b6","<div></div>","Vital Signs","8.3.2","SECTION 8.3.2"
"NarrativeContent_65","02b18e9e-b55b-41d3-9d8b-544493502fd8","<div></div>","Electrocardiograms","8.3.3","SECTION 8.3.3"
"NarrativeContent_66","7a632193-9f99-485a-980f-c849bfa83557","<div></div>","Clinical Laboratory Assessments","8.3.4","SECTION 8.3.4"
"NarrativeContent_67","cdc3f40e-a249-4d73-a163-e7a12950992a","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring","8.3.5","SECTION 8.3.5"
"NarrativeContent_68","e9e1b2b5-dcb6-4d6f-9018-e2933c5b59f7","<div></div>","Adverse Events and Serious Adverse Events","8.4","SECTION 8.4"
"NarrativeContent_69","cd85edb2-aad6-4154-a401-9edabb872e76","<div></div>","Definitions of AE and SAE","8.4.1","SECTION 8.4.1"
"NarrativeContent_70","4c34b4d3-06d6-4340-88b1-a32949f5db1d","<div></div>","Time Period and Frequency for Collecting AE and SAE Information","8.4.2","SECTION 8.4.2"
"NarrativeContent_71","715f6830-d85d-4496-adf0-4b395ca397f4","<div></div>","Identifying AEs and SAEs","8.4.3","SECTION 8.4.3"
"NarrativeContent_72","dd465284-31c4-4f81-87e9-7dddcdd23188","<div></div>","Recording of AEs and SAEs","8.4.4","SECTION 8.4.4"
"NarrativeContent_73","f46909b1-1bc9-4dcc-8e81-47ee13d91493","<div></div>","Follow-up of AEs and SAEs","8.4.5","SECTION 8.4.5"
"NarrativeContent_74","de27a321-6093-4883-af56-19340692f21e","<div></div>","Reporting of SAEs","8.4.6","SECTION 8.4.6"
"NarrativeContent_75","8e9ecda1-eedc-4352-a35f-6d7136a77a5f","<div></div>","Regulatory Reporting Requirements for SAEs","8.4.7","SECTION 8.4.7"
"NarrativeContent_76","6e5ae657-db68-463a-8c79-042651698fcb","<div></div>","Serious and Unexpected Adverse Reaction Reporting","8.4.8","SECTION 8.4.8"
"NarrativeContent_77","f6f2ed96-9c58-4969-afdb-7583e665da10","<div></div>","Adverse Events of Special Interest","8.4.9","SECTION 8.4.9"
