"label","id","description","uuid:ID","purpose","text","instanceType","name"
"","Endpoint_1","","05c228a8-af62-4825-a211-a64d3d16414b","","Clinical status assessed using a 7-category ordinal scale at Day 28","ENDPOINT","END1"
"","Endpoint_2","","ffdc3807-830a-478e-aa8d-a97d19e38ef8","","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","ENDPOINT","END2"
"","Endpoint_3","","058b3246-501e-4d0f-ad47-613d80d5ca6f","","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","ENDPOINT","END3"
"","Endpoint_4","","afda5143-f4fd-4566-a617-7e817e36bd54","","Incidence of mechanical ventilation","ENDPOINT","END4"
"","Endpoint_5","","3ae870e2-d09a-4910-b1e8-cd8865a91922","","Ventilator-free days to Day 28","ENDPOINT","END5"
"","Endpoint_6","","eb1fd631-36a1-440e-a160-580e26fcd47b","","Incidence of intensive care unit (ICU) stay","ENDPOINT","END6"
"","Endpoint_7","","b96e4f1a-81d4-448c-af3f-9f042e1c1629","","Duration of ICU stay","ENDPOINT","END7"
"","Endpoint_8","","910a962e-9088-405b-b49c-396e0ea82daf","","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","ENDPOINT","END8"
"","Endpoint_9","","d1ea2ff3-d626-4000-956e-84e7a6873b7f","","Mortality rate at Days 7, 14, 21, 28, and 60","ENDPOINT","END9"
"","Endpoint_10","","f9f46a02-da29-4523-b0b4-baf3b31726ff","","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","ENDPOINT","END10"
"","Endpoint_11","","01ff006f-2301-4c89-8614-96cd6ce11d27","","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","ENDPOINT","END11"
"","Endpoint_12","","49ef17dd-00cf-43de-8241-0e6897f0fedd","","Duration of supplemental oxygen","ENDPOINT","END12"
