"label","id","description","uuid:ID","text","name"
"","TransitionRule_1","","2a6e5237-b142-466d-9f3f-682e8b45a459","Subject identified","ENCOUNTER_START_RULE_1"
"","TransitionRule_2","","6b8218bd-4a3b-455e-94f2-827ade3f3481","IEs passed","ENCOUNTER_START_RULE_1"
"","TransitionRule_3","","24d4e7c3-c031-4322-b1b9-b95d7acb8709","Radomized","ENCOUNTER_START_RULE_3"
"","TransitionRule_4","","1b891651-7224-40bc-babb-b0890733a9b5","Study Start","ELEMENT_START_RULE_1"
"","TransitionRule_5","","32622ff4-5f64-47e2-850d-541562e0e9fe","Screened","ELEMENT_END_RULE_1"
"","TransitionRule_6","","2c24c371-2620-46f8-86e8-a139b427a1c1","Screened","ELEMENT_START_RULE_2"
"","TransitionRule_7","","337a05a6-a90f-459a-af63-479a2beb9fbd","Radomized","ELEMENT_END_RULE_2"
"","TransitionRule_8","","85717ec0-a36b-4aad-87ec-5f6f766e5779","Radomized","ELEMENT_START_RULE_3"
"","TransitionRule_9","","6bc9961b-4cfd-4929-89e9-b67293f6501d","Completed treatment 1","ELEMENT_END_RULE_3"
"","TransitionRule_12","","d58a38eb-6fdc-42c5-9b29-6b7687e4d32a","Radomized","ELEMENT_START_RULE_5"
"","TransitionRule_13","","534fdf12-e53c-47c5-b52f-d0162e0d24da","Completed treatment 2","ELEMENT_END_RULE_5"
"","TransitionRule_10","","b1a3910e-93d3-42da-97ee-2a5b51eb8234","Treated","ELEMENT_START_RULE_4"
"","TransitionRule_11","","2e463c5d-ae2c-45dd-9109-15cccf7b69a3","Leave Study","ELEMENT_END_RULE_4"
