"label","uuid:ID","bcSynonyms","bcReference","id","name"
"Body Temperature","a0d6ae32-5443-4a1a-8492-cfcb27af4ffd","['Temperature']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_18","Body Temperature"
"Body Weight","eac2fe94-3ab3-40af-b7a3-e6163b10ebf0","['Weight']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_19","Body Weight"
"Body Height","036f8b9b-682c-4dbb-a937-e8cb25457623","['Height']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_20","Body Height"
"Alanine Aminotransferase Measurement","f6971e8a-2313-467f-9e06-29d27efa67df","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_21","Alanine Aminotransferase Measurement"
"Albumin Measurement","f22576c2-953d-4bb9-ac1c-b00469720c01","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_22","Albumin Measurement"
"Alkaline Phosphatase Measurement","80967d22-c998-44a8-ae1c-1fb9f6c0b277","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_23","Alkaline Phosphatase Measurement"
"Aspartate Aminotransferase Measurement","9dcc8267-3019-47b2-8117-9933471800bd","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_24","Aspartate Aminotransferase Measurement"
"Creatinine Measurement","92ee8475-2c30-4561-b3e1-52eb1dc8e3dd","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_25","Creatinine Measurement"
"Potassium Measurement","35ca5954-2773-4101-aea2-bb0d89c72295","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_26","Potassium Measurement"
"Sodium Measurement","66040ed0-d51c-4634-bb51-3f9300bbc74e","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_27","Sodium Measurement"
"Adverse Event","682fefd8-8693-4fd3-bc59-d904cba54f43","['Adverse Event Reported Term', 'AETERM']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","Adverse Event"
"Systolic Blood Pressure","67031f93-c3c1-4be8-bef1-13f692908750","['SYSBP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","Systolic Blood Pressure"
"Diastolic Blood Pressure","3114e0f9-2a19-42ac-8efa-2a43deaa3ccf","['DIABP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","Diastolic Blood Pressure"
"Body Temperature","31915df2-3522-45d5-97d3-5b7c87c4a498","['Temperature']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","Body Temperature"
"Body Weight","80439da5-5703-4cd0-8ae5-b526d1681e27","['Weight']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","Body Weight"
"Body Height","a5d3748f-d5d8-4522-a9bb-b1aaafd7a0a6","['Height']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","Body Height"
"Alanine Aminotransferase Measurement","1bca1230-2df4-4393-be13-5fdac69854a3","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","Alanine Aminotransferase Measurement"
"Albumin Measurement","32de209c-fb83-407c-a262-c7d66590c15c","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","Albumin Measurement"
"Alkaline Phosphatase Measurement","d49dac76-bb1a-485a-9633-b57f1e20c62b","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","Alkaline Phosphatase Measurement"
"Aspartate Aminotransferase Measurement","e3cd9ede-f829-4f47-8071-c45ced25d5c6","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","Aspartate Aminotransferase Measurement"
"Creatinine Measurement","0cd05005-6688-4c1c-886d-6e08afe2fa46","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","Creatinine Measurement"
"Potassium Measurement","875e9604-a595-4667-85d3-828bcb80f7d2","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","Potassium Measurement"
"Sodium Measurement","c2b482b6-cffc-4373-abf8-f2513d1a0eea","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","Sodium Measurement"
"Systolic Blood Pressure","a242cab5-11a4-4d8d-a351-612f7d0c9111","['SYSBP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","Systolic Blood Pressure"
"Diastolic Blood Pressure","94b3ff5e-a124-4883-9fb2-8149f73070f5","['DIABP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","Diastolic Blood Pressure"
"Systolic Blood Pressure","13c5035d-b74d-4401-9c12-ba8d5661bea1","['SYSBP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_16","Systolic Blood Pressure"
"Diastolic Blood Pressure","46685a4d-a845-468e-a305-b986e81192ea","['DIABP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_17","Diastolic Blood Pressure"
