"uuid:ID","text","sectionTitle","id","name","sectionNumber"
"98d681c7-737a-4267-bafb-90adb8065747","","Root","NarrativeContent_1","ROOT","0"
"bf7f5dfd-dfb8-4b7e-91d1-e1fea76b65cd","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE","NarrativeContent_2","SECTION 0","0"
"6deb2e57-9aa4-4c5d-a4da-60549b26e97d","<div></div>","PROTOCOL SUMMARY","NarrativeContent_3","SECTION 1","1"
"a8056b80-51cf-4b3a-8394-6cfeb048b083","<div></div>","Protocol Synopsis","NarrativeContent_4","SECTION 1.1","1.1"
"2f07e17e-32aa-47ce-8d2f-16200421183c","<div></div>","Trial Schema","NarrativeContent_5","SECTION 1.2","1.2"
"22b879fc-58f9-486a-8c49-42cd3bc57a5a","<div></div>","Schedule of Activities","NarrativeContent_6","SECTION 1.3","1.3"
"a71d51b9-5174-4f50-a083-35a1d6e1fe01","<div></div>","INTRODUCTION","NarrativeContent_7","SECTION 2","2"
"00b25bc4-2bc9-425d-8c11-22fb5ca89318","<div></div>","Purpose of Trial","NarrativeContent_8","SECTION 2.1","2.1"
"f068bf2b-f743-4bbb-819b-3d3d6c7021b7","<div></div>","Summary of Benefits and Risks","NarrativeContent_9","SECTION 2.2","2.2"
"06f2651f-95b9-404c-8706-37a08992998d","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10","SECTION 3","3"
"e64283cd-9e24-4e95-8179-ff36d216adf7","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives","NarrativeContent_11","SECTION 3.1","3.1"
"0b8a37ac-a367-4042-a6b7-8914642f6eee","<div></div>","TRIAL DESIGN","NarrativeContent_12","SECTION 4","4"
"84ed9973-6804-4cbd-9b5c-57926f6033ae","<div></div>","Description of Trial Design","NarrativeContent_13","SECTION 4.1","4.1"
"c17c2534-47e9-4770-8914-16fe7d1fbf74","<div></div>","Participant Input into Design","NarrativeContent_14","SECTION 4.1.1","4.1.1"
"97a4c486-b89c-4d56-a2a3-95e5aa206998","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design","NarrativeContent_15","SECTION 4.2","4.2"
"5a891e8e-8ce1-4c0b-b564-f11a094ba91d","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator","NarrativeContent_16","SECTION 4.2.1","4.2.1"
"4cee0261-a8c9-4af6-aa61-c4724395f412","<div></div>","Rationale for Adaptive or Novel Trial Design","NarrativeContent_17","SECTION 4.2.2","4.2.2"
"c9674212-dc47-4ff4-ba71-a014b3ab85e1","<div></div>","Other Trial Design Considerations","NarrativeContent_18","SECTION 4.2.3","4.2.3"
"e099251d-bf5b-4303-be2f-b56df01364ab","<div></div>","Access to Trial Intervention After End of Trial","NarrativeContent_19","SECTION 4.3","4.3"
"cf92c8c8-5511-4652-a134-40cfc0efda23","<div></div>","Start of Trial and End of Trial","NarrativeContent_20","SECTION 4.4","4.4"
"8dc3ed41-39e7-42e4-8569-602bb843631a","<div></div>","TRIAL POPULATION","NarrativeContent_21","SECTION 5","5"
"362666b3-95cc-42fc-a8e5-d475810b0bab","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population","NarrativeContent_22","SECTION 5.1","5.1"
"b31b0253-a141-4376-9560-c996df8da053","<div></div>","Rationale for Trial Population","NarrativeContent_23","SECTION 5.2","5.2"
"37beb5fa-13f5-4089-a2ba-f782af13261f","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria","NarrativeContent_24","SECTION 5.3","5.3"
"80697827-5092-42c2-b213-883b02f3a43a","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria","NarrativeContent_25","SECTION 5.4","5.4"
"7f19d659-dcb7-49a2-8ce2-9634b1650283","<div></div>","Lifestyle Considerations","NarrativeContent_26","SECTION 5.5","5.5"
"1b18764d-da5f-43d9-8c5b-4d23a2901326","<div></div>","Meals and Dietary Restrictions","NarrativeContent_27","SECTION 5.5.1","5.5.1"
"f95dcbcc-e3f9-4599-bec5-e431f9941258","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_28","SECTION 5.5.2","5.5.2"
"327aacdf-8ecf-474b-b666-4d0020072d1c","<div></div>","Physical Activity","NarrativeContent_29","SECTION 5.5.3","5.5.3"
"b1b66ff6-2043-4fb7-bb12-61d36e22d7ae","<div></div>","Other Activity","NarrativeContent_30","SECTION 5.5.4","5.5.4"
"5f91e6c0-b1ba-47f1-a35e-bba32157e414","<div></div>","Screen Failures","NarrativeContent_31","SECTION 5.6","5.6"
"61af42be-b870-40bd-830f-e3b6902a5cd0","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_32","SECTION 6","6"
"14cf0b5a-6632-4ba2-a86a-33c638de18d5","<div></div>","Description of Trial Intervention","NarrativeContent_33","SECTION 6.1","6.1"
"4753ea80-ff42-46ac-b1cc-40af07ae7134","<div></div>","Rationale for Trial Intervention","NarrativeContent_34","SECTION 6.2","6.2"
"21c58c62-7e36-42c9-a73b-ba4e1f7f2fd9","<div></div>","Dosing and Administration","NarrativeContent_35","SECTION 6.3","6.3"
"b2d818a3-2a09-4d9d-addb-898c4c748c2f","<div></div>","Trial Intervention Dose Modification","NarrativeContent_36","SECTION 6.3.1","6.3.1"
"65fecfed-8642-42a0-b02b-0ba2c72d335f","<div></div>","Treatment of Overdose","NarrativeContent_37","SECTION 6.4","6.4"
"d77cf5e8-4d8c-490e-abb1-981e0eaf82b3","<div></div>","Preparation, Handling, Storage and Accountability","NarrativeContent_38","SECTION 6.5","6.5"
"22fa19d4-6718-48f1-a027-19bcf0dd77e0","<div></div>","Preparation of Trial Intervention","NarrativeContent_39","SECTION 6.5.1","6.5.1"
"248623d5-cbce-4cac-9247-b1185fc2a947","<div></div>","Handling and Storage of Trial Intervention","NarrativeContent_40","SECTION 6.5.2","6.5.2"
"23354cf2-53c3-4b88-a390-96110b1f1013","<div></div>","Accountability of Trial Intervention","NarrativeContent_41","SECTION 6.5.3","6.5.3"
"8daa953b-bda1-4cd5-813a-540e4e8bdf3f","<div></div>","Participant Assignment, Randomisation and Blinding","NarrativeContent_42","SECTION 6.6","6.6"
"15a02337-20b9-476a-982e-47fe02b1bc7a","<div></div>","Participant Assignment","NarrativeContent_43","SECTION 6.6.1","6.6.1"
"68dbec7f-18e8-4b80-abde-6efb974d26a2","<div></div>","Randomisation","NarrativeContent_44","SECTION 6.6.2","6.6.2"
"7ab6cc5b-5eb5-4bac-8088-890374ac8b9a","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding","NarrativeContent_45","SECTION 6.6.3","6.6.3"
"171c10fa-cf16-460e-a5f1-ccb291a03ad7","<div></div>","Trial Intervention Compliance","NarrativeContent_46","SECTION 6.7","6.7"
"b23a55cb-f434-46e1-8de9-1dfd1a69608b","<div></div>","Concomitant Therapy","NarrativeContent_47","SECTION 6.8","6.8"
"4351b68c-0f90-4241-9aa0-af70af631c3c","<div></div>","Prohibited Concomitant Therapy","NarrativeContent_48","SECTION 6.8.1","6.8.1"
"ef8413b0-384a-4dfd-8218-5b9a614acb1a","<div></div>","Permitted Concomitant Therapy","NarrativeContent_49","SECTION 6.8.2","6.8.2"
"dd930f52-e2df-4488-989e-029273f41a7b","<div></div>","Rescue Therapy","NarrativeContent_50","SECTION 6.8.3","6.8.3"
"68b22d7b-44c2-4c58-850e-9d9bda91d1ba","<div></div>","Other Therapy","NarrativeContent_51","SECTION 6.8.4","6.8.4"
"d850a8b9-d5fa-4632-9dab-8fa9089ede80","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_52","SECTION 7","7"
"0e81f86d-3e59-4143-bda2-4a2db60e087e","<div></div>","Discontinuation of Trial Intervention","NarrativeContent_53","SECTION 7.1","7.1"
"a229373c-573d-44c2-ba68-30fc036ddd66","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_54","SECTION 7.1.1","7.1.1"
"35b26eb1-2804-4cc1-afe2-de93bb55a7c2","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent_55","SECTION 7.1.2","7.1.2"
"6b4fb3e7-df65-4b4e-9b12-65b0c5a19ccc","<div></div>","Rechallenge","NarrativeContent_56","SECTION 7.1.3","7.1.3"
"a1980a5e-6fe7-4fe6-b35d-f15c98121e55","<div></div>","Participant Withdrawal from the Trial","NarrativeContent_57","SECTION 7.2","7.2"
"875de0cd-cbea-470f-83df-8bd979dc6e83","<div></div>","Lost to Follow-Up","NarrativeContent_58","SECTION 7.3","7.3"
"9405712c-27a4-4e04-b8d5-d3b04595b338","<div></div>","Trial Stopping Rules","NarrativeContent_59","SECTION 7.4","7.4"
"56864b8c-4e39-47b1-acc7-71a556d49f80","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent_60","SECTION 8","8"
"6b40ae62-76fb-40fe-a75e-842cb20bdf19","<div></div>","Screening/Baseline Assessments and Procedures","NarrativeContent_61","SECTION 8.1","8.1"
"6c3ac0a1-250f-4e9f-8185-9a42aff65770","<div></div>","Efficacy Assessments and Procedures","NarrativeContent_62","SECTION 8.2","8.2"
"f14a18d1-2925-49f5-981f-84fc41c8a161","<div></div>","Safety Assessments and Procedures","NarrativeContent_63","SECTION 8.3","8.3"
"2ebddc10-4318-45c2-80cd-9025a108e799","<div></div>","Physical Examination","NarrativeContent_64","SECTION 8.3.1","8.3.1"
"2c918b86-a3cc-4d5f-bc7a-b4215d317299","<div></div>","Vital Signs","NarrativeContent_65","SECTION 8.3.2","8.3.2"
"9f65967f-a5e7-4fb4-bfbd-5cf86d839134","<div></div>","Electrocardiograms","NarrativeContent_66","SECTION 8.3.3","8.3.3"
"8537d953-19ae-4319-ac58-8cb7dc0c94c4","<div></div>","Clinical Laboratory Assessments","NarrativeContent_67","SECTION 8.3.4","8.3.4"
"f3990f17-f619-48e5-843e-a6b687e2da20","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent_68","SECTION 8.3.5","8.3.5"
"df6d7047-b987-4b4f-aa44-6c9b528180be","<div></div>","Adverse Events and Serious Adverse Events","NarrativeContent_69","SECTION 8.4","8.4"
"af7c5bfe-5411-41a1-987b-41d6995824f5","<div></div>","Definitions of AE and SAE","NarrativeContent_70","SECTION 8.4.1","8.4.1"
"66e7b207-cf36-4774-b46e-5def5c35ab7c","<div></div>","Time Period and Frequency for Collecting AE and SAE Information","NarrativeContent_71","SECTION 8.4.2","8.4.2"
"2803312d-ff1b-41bd-9ac3-9c1a3dd03e5a","<div></div>","Identifying AEs and SAEs","NarrativeContent_72","SECTION 8.4.3","8.4.3"
"ea08553f-e28a-46dd-be9c-d0f98da6c4cd","<div></div>","Recording of AEs and SAEs","NarrativeContent_73","SECTION 8.4.4","8.4.4"
"1a2cc1e0-7a3a-47b1-9068-ce5e8c0bc509","<div></div>","Follow-up of AEs and SAEs","NarrativeContent_74","SECTION 8.4.5","8.4.5"
"d75105e8-df1c-4959-9f25-58b81eb5f08c","<div></div>","Reporting of SAEs","NarrativeContent_75","SECTION 8.4.6","8.4.6"
"3fd62ee8-a481-479f-95bf-934bc81cf21a","<div></div>","Regulatory Reporting Requirements for SAEs","NarrativeContent_76","SECTION 8.4.7","8.4.7"
"23758d29-677a-41e3-ac56-eacebc789d30","<div></div>","Serious and Unexpected Adverse Reaction Reporting","NarrativeContent_77","SECTION 8.4.8","8.4.8"
"89dc42be-50f0-47bc-bdc6-e72ba0c4f2ab","<div></div>","Adverse Events of Special Interest","NarrativeContent_78","SECTION 8.4.9","8.4.9"
"d5769dd2-3055-4357-bebe-e6b1035c6f12","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","NarrativeContent_79","SECTION 8.4.10","8.4.10"
"1ddb1f0b-5f42-449e-93ec-fa7832638322","<div></div>","Pregnancy and Postpartum Information","NarrativeContent_80","SECTION 8.5","8.5"
"8ff247ac-e9c6-447b-9667-968ac16c8cfe","<div></div>","Participants Who Become Pregnant During the Trial","NarrativeContent_81","SECTION 8.5.1","8.5.1"
"c86a79c7-fdd4-4afe-b7bc-9919a1efe7ed","<div></div>","Participants Whose Partners Become Pregnant","NarrativeContent_82","SECTION 8.5.2","8.5.2"
"70c6ff87-b7a8-421d-b956-49ccf7f3447b","<div></div>","Medical Device Product Complaints for Drug/Device Combination Products","NarrativeContent_83","SECTION 8.6","8.6"
"9b7fb8ce-9314-47b9-a44d-f3ecd6bc13a9","<div></div>","Definition of Medical Device Product Complaints","NarrativeContent_84","SECTION 8.6.1","8.6.1"
"bd402618-6b7e-49b8-bff2-c31633c6274c","<div></div>","Recording of Medical Device Product Complaints","NarrativeContent_85","SECTION 8.6.2","8.6.2"
"0259944b-c45a-4c60-81d4-dfeb30c07f04","<div></div>","Time Period and Frequency for Collecting Medical Device Product Complaints .","NarrativeContent_86","SECTION 8.6.3","8.6.3"
"949877d1-74b7-4e91-9e92-8f61fb718664","<div></div>","Follow-Up of Medical Device Product Complaints","NarrativeContent_87","SECTION 8.6.4","8.6.4"
"8600d308-5a49-4f08-a5db-5aa35df56e99","<div></div>","Regulatory Reporting Requirements for Medical Device Product Complaints","NarrativeContent_88","SECTION 8.6.5","8.6.5"
"557fa7c4-dfe0-4fd1-9dc2-bce194fe6941","<div></div>","Pharmacokinetics","NarrativeContent_89","SECTION 8.7","8.7"
"df07c737-373d-45d2-ab48-7a739639b838","<div></div>","Genetics","NarrativeContent_90","SECTION 8.8","8.8"
"8b7fdf75-14f5-4abc-a602-c8fde61acd4e","<div></div>","Biomarkers","NarrativeContent_91","SECTION 8.9","8.9"
