"bcPropertyEnabled","label","uuid:ID","bcPropertyDatatype","id","name","bcPropertyResponseCodes","bcPropertyRequired"
"True","Vital Signs Result","7d61bf23-0197-4e76-ba93-a5e2ee095bf4","decimal","BiomedicalConceptProperty_86","Vital Signs Result","[]","True"
"True","Unit of Temperature","c870531a-17bd-4c54-9bd5-4d3a9409705b","string","BiomedicalConceptProperty_87","Unit of Temperature","","True"
"True","Vital Signs Location","0cf7361c-85d4-4cc5-8fa7-1b13f0df6236","string","BiomedicalConceptProperty_88","Vital Signs Location","[]","True"
"True","Vital Signs Result","c2d639eb-fc78-4ae0-884a-0115b73c21b4","decimal","BiomedicalConceptProperty_89","Vital Signs Result","[]","True"
"True","Unit of Weight","d65eceda-8ece-4de1-bce6-e875ac0f384d","string","BiomedicalConceptProperty_90","Unit of Weight","","True"
"True","Vital Signs Result","80492775-5239-48bd-91fe-152ee505834d","decimal","BiomedicalConceptProperty_91","Vital Signs Result","[]","True"
"True","Unit of Height","28421995-5cfa-407c-affc-e9285e739a0f","string","BiomedicalConceptProperty_92","Unit of Height","","True"
"True","Laboratory Test Result","12e8af5f-c1b0-42b5-a230-4999a00ced1e","decimal","BiomedicalConceptProperty_93","Laboratory Test Result","[]","True"
"True","Laboratory Test Fasting Status","258a670f-64a1-4409-850a-28e6196d7305","boolean","BiomedicalConceptProperty_94","Laboratory Test Fasting Status","[]","True"
"True","Unit of Catalytic Activity Concentration","b5fb16d2-12a0-45e6-b7ab-2ee389f6a02a","string","BiomedicalConceptProperty_95","Unit of Catalytic Activity Concentration","[]","True"
"True","Biospecimen Type","493a2cd0-108a-4103-91e4-32d958140128","string","BiomedicalConceptProperty_96","Biospecimen Type","[]","True"
"True","Laboratory Test Result","7ac90b5f-5e2a-4ce2-b5e9-e16a8521099d","string","BiomedicalConceptProperty_97","Laboratory Test Result","[]","True"
"True","Laboratory Test Fasting Status","bdf5b1c4-034a-47ab-9e5f-2b6135c3f00e","boolean","BiomedicalConceptProperty_98","Laboratory Test Fasting Status","[]","True"
