"timingValue","timingWindowLower","timingWindowUpper","description","label","uuid:ID","timingWindow","id","name"
"P2W","","","Screening timing","Screening","86733f98-946f-424f-b000-53e5109643a7","","Timing_1","TIM1"
"P2D","PT4H","PT0H","Pre dose timing","Pre dose","0b6d6440-c82b-456a-a080-e19c1db4a837","-4..0 hours","Timing_2","TIM2"
"P1D","","","Dosing anchor","Dosing","45aea62d-7348-42f5-b645-defb80a13917","","Timing_3","TIM3"
"P2W","P3D","P3D","Week 2 timing","Week 2","e30ad5e1-f7fa-4af5-ad9c-3eb58779a5d2","-3..3 days","Timing_4","TIM4"
"P4W","P3D","P3D","Week 4 timing","Week 4","da97a746-c944-49cb-a275-df1c40ec15cb","-3..3 days","Timing_5","TIM5"
"P6W","P3D","P3D","Week 6 timing","Week 6","743e6e22-1a27-43d6-918a-3205f495c791","-3..3 days","Timing_6","TIM6"
"P8W","P3D","P3D","Week 8 timing","Week 8","10e0e1ac-683b-4bc2-ab80-4ab4d6815670","-3..3 days","Timing_7","TIM7"
"P2W","","","Week 8 at home timing","Week 8 Home","7048ffcd-f73b-4210-9074-795189290746","","Timing_8","TIM8"
"P12W","P4D","P4D","Week 12 timing","Week 12","dadbafdd-03f8-4fa2-8377-9e4f09479ea9","-4..4 days","Timing_9","TIM9"
"P2W","","","Week 12 at home timing","Week 12 Home","d1ec5f92-6bea-463a-9343-f7989183384a","","Timing_10","TIM10"
"P16W","P4D","P4D","Week 16 timing","Week 16","f52df86c-5c92-46db-8d89-1b98fd93bfed","-4..4 days","Timing_11","TIM11"
"P2W","","","Week 16 at home timing","Week 16 Home","7f9f7a38-dd97-4dac-9a8e-eea0a0137ef4","","Timing_12","TIM12"
"P20W","P4D","P4D","Week 20 timing","Week 20","f206dc67-653f-4720-984f-869287716b2b","-4..4 days","Timing_13","TIM13"
"P2W","","","Week 20 at home timing","Week 20 Home","b51e15f5-f905-42da-b32a-bba75aa957a9","","Timing_14","TIM14"
"P24W","P4D","P4D","Week 24 timing","Week 24","83a47924-668c-4d91-b588-cf6e6ce1b5c8","-4..4 days","Timing_15","TIM15"
"P26W","P3D","P3D","Week 26 timing","Week 26","0982123e-0a07-45fe-b769-9dd91df6dfb7","-3..3 days","Timing_16","TIM16"
"P1D","","","Adverse Event","Adverse Event","83ae14f8-5c5e-4ca4-88c1-9a885a2193fd","","Timing_17","TIM17"
"P1D","","","Early Termination","Early Termination","a02cee36-3562-4483-aec3-ae4534af3004","","Timing_18","TIM18"
"PT0M","","","BP Anchor","BP Anchor","10e3d9bf-6825-4b0a-9acd-b297b00368bf","","Timing_19","TIM19"
"PT5M","","","BP while Supine","BP while Supine","067aa190-5396-45a6-b59f-ced9eb3002ef","","Timing_20","TIM20"
"PT3M","PT2M","PT0M","BP Stand Up","BP Stand Up","1ff84240-9373-4cdb-b6a0-f397557521d9","-2..0 mins","Timing_21","TIM21"
"PT0M","","","BP while standing","BP while standing","7ce5ce87-f623-4efb-9eb9-64339a6b39ea","","Timing_22","TIM22"
