"activityIsConditionalReason","definedProcedures","description","label","uuid:ID","activityIsConditional","id","name"
"","[]","","","0c7ffd3d-ecbb-461e-b113-13c230b6f66b","False","Activity_1","Informed consent"
"","[]","","","01517174-3b56-4248-8c6d-de6e675c35cd","False","Activity_2","Inclusion/exclusion criteria"
"","[]","","","d5c1ff60-af7e-489c-b0d5-634acfec5921","False","Activity_3","Patient number assigned"
"","[]","","Demographics","a99399ea-cef9-470f-9c8d-8c8e547f3eda","False","Activity_4","Demographics"
"","[]","","Hachinski","9a4622f7-770a-40fd-aadb-bd25bddaa489","False","Activity_5","Hachinski"
"","[]","","MMSE","a685463a-9f44-46d0-ae43-4e8cd4a96e93","False","Activity_6","MMSE"
"","[]","","","36695690-5f86-48a8-99e7-29fa127a1f7b","False","Activity_7","Physical examination"
"","[]","","","5ce12aee-0f43-4f22-9248-5a07114a40f7","False","Activity_8","Medical history"
"","[]","","","9169f59b-bf71-4c48-bf05-2419c374dcb8","False","Activity_9","Habits"
"","[]","","","952df4fd-07f2-4a30-9520-c981cc6b8dff","False","Activity_10","Chest X-ray"
"","[]","","","b601a4e5-9060-441e-8d48-df4a70050a8c","False","Activity_11","Apo E genotyping"
"","[]","","","63b07162-5207-4630-85dd-e26b71605631","False","Activity_12","Patient randomised"
"","[]","","Vital Signs and Temperature","caf4574b-2553-4b94-91a7-0cd098d4a6cb","False","Activity_13","Vital signs / Temperature"
"","[]","","","af6a8fa4-498e-46a4-895a-4abc9f3ceb55","False","Activity_14","Ambulatory ECG placed"
"","[]","","","4aa7c6ae-f5c5-4712-8285-b0a313103e41","False","Activity_15","Ambulatory ECG removed"
"","[]","","","808b308d-3ed5-47b9-90cc-e729fa4438de","False","Activity_16","ECG"
"","[]","","","666b0849-8cd3-497d-ba78-9cc8ab56300b","False","Activity_17","Placebo TTS test"
"","","","","0eb2bebe-a0b0-4a73-b374-7134b0ec6c8f","False","Activity_18","CT scan"
"","[]","","","4951d216-bf7f-48ab-afb2-71ffbc605da3","False","Activity_19","Concomitant medications"
"","[]","","","496ceadc-1e85-4e94-bf72-8a4a9354f3c4","False","Activity_20","Hematology"
"","[]","","","51bd24bd-490b-4649-8599-c87d97f53817","False","Activity_21","Chemistry"
"","[]","","","a0d3c40e-7fa2-4b20-8eaa-8866eb15037c","False","Activity_22","Uninalysis"
"","[]","","","4378638d-11f4-47ee-a64d-44b23849d0f5","False","Activity_23","Plasma Specimen (Xanomeline)"
"","[]","","","7ec69cb5-36e5-4b49-8c90-1262d9be43b1","False","Activity_24","Hemoglobin A1C"
"","[]","","Study drug record , Medications dispensed, Medications returned","2bfe92cd-174f-4002-b476-43bd3a6bfd0b","False","Activity_25","Study drug"
"","[]","","","5d9b2a51-3275-474a-91c0-ec4b9af0aad5","False","Activity_26","TTS Acceptability Survey"
"","[]","","","fc26237f-e46b-41f1-a3c3-eee7c411f368","False","Activity_27","ADAS-Cog"
"","[]","","","c5e36fd0-244f-48b7-b1c5-afce00fa8a79","False","Activity_28","CIBIC+"
"","[]","","","60874397-4f20-4ac0-877a-47bdd4981cec","False","Activity_29","DAD"
"","[]","","","1e8a2c81-f3fe-4cc6-9b8e-7d63fa039b1c","False","Activity_30","NPI-X"
"","[]","","","270e5533-b66d-444f-a394-716da6f407f5","False","Activity_31","Adverse events"
"","[]","","","4f35754a-cbec-4679-921d-8fb75ee80607","False","Activity_32","Check adverse events"
"","","","Supine for 5 minutes","d31092cc-752a-46a4-9f6d-e3d1aa46d273","False","Activity_33","Supine 5min"
"","[]","","Blood pressure supine","852393de-38d5-4299-9884-65ae7c22ea8f","False","Activity_34","Blood Pressure Supine"
"","","","Stand for 3 minutes","d404569d-8a8c-4e02-9522-d06b7a0510f4","False","Activity_35","Stand 3min"
"","[]","","Blood pressure standing","87318e52-28d6-468f-b26b-9cb90e358b15","False","Activity_36","Bood Pressure Standing"
