"description","label","uuid:ID","text","id","name"
"","","b252bf74-55f6-48e9-b94f-5d7219c2308c","Subject identifier","TransitionRule_1","ENCOUNTER_START_RULE_1"
"","","b7ae4e99-1458-4ec3-8ca3-cbb06f29e0fb","completion of screening activities","TransitionRule_2","ENCOUNTER_START_RULE_1"
"","","eea3c8f6-1f79-4258-a332-6f6f7ab85a94","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","ENCOUNTER_START_RULE_2"
"","","634ad10e-5ae0-404c-a055-357d23fe8417","subject has connection of ambulatory ECG machine removed","TransitionRule_4","ENCOUNTER_START_RULE_3"
"","","e34b7f5f-f392-4782-a6e8-edd224653ed6","Radomized","TransitionRule_5","ENCOUNTER_START_RULE_3"
"","","87aea7c7-0553-48f5-bf87-c2ef2be46391","End of treatment","TransitionRule_6","ENCOUNTER_START_RULE_12"
"","","05a5adb2-212d-47c5-9f17-aa829c93cee8","Informed consent","TransitionRule_7","ELEMENT_START_RULE_1"
"","","1e4842e3-6ace-4c6c-bb92-13b504bfb718","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","ELEMENT_END_RULE_1"
"","","bec7c807-d2f4-4236-ae6b-ede006f64444","Administration of first dose","TransitionRule_9","ELEMENT_START_RULE_2"
"","","d22c35f8-9a42-4f54-a3e8-d42356ac3403","End of last scheduled visit on study (including early termination)","TransitionRule_14","ELEMENT_START_RULE_7"
"","","f7ee8177-7d4d-40f1-9bb5-85258a94c1b2","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","ELEMENT_END_RULE_7"
"","","9b7107d7-36f9-4248-8c8b-13960103739a","Administration of first dose","TransitionRule_10","ELEMENT_START_RULE_3"
"","","af668662-ec6f-486b-bdd5-34c56841da5d","Randomized","TransitionRule_11","ELEMENT_START_RULE_4"
"","","98d6fe20-ff28-42ce-8a26-e09c64eb2535","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","ELEMENT_START_RULE_5"
"","","1d87ad63-05b4-40e5-b855-5a9dea1eaab0","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","ELEMENT_START_RULE_6"
