"code","uuid:ID","codeSystemVersion","decode","id","codeSystem"
"C98388","0ff3507c-14fc-464e-93ce-30e29874db1b","2023-09-29","Interventional Study","Code_1","http://www.cdisc.org"
"C15601","424218aa-8d97-4b59-a118-f5872e23cc4f","2023-09-29","Phase II Trial","Code_2","http://www.cdisc.org"
"C132352","a0441d17-f8c0-403c-a6db-2c6ee6ccb17a","2023-09-29","Sponsor Approval Date","Code_5","http://www.cdisc.org"
"C68846","2c83f735-ad5e-4284-a97c-1f50551b2a65","2023-09-29","Global","Code_6","http://www.cdisc.org"
"C99904x3","a778d0a5-177d-4a5a-b8df-d857ac3c258c","2023-09-29","IRB/IEC Feedback","Code_54","http://www.cdisc.org"
"C17649","b394fcac-b95d-40c8-bb46-c3190552a087","2023-09-29","Other","Code_55","http://www.cdisc.org"
"C41129","2fcb11d2-6872-4cdf-9dca-bc2ccec62fc2","2023-09-29","Region","Code_57","http://www.cdisc.org"
"150","579a772d-50a7-4ef3-b5a6-ec31deac006d","2020-08","Europe","Code_56","ISO 3166 1 alpha3"
"C25464","8a10b640-a583-41b1-85fb-258340526c4f","2023-09-29","Country","Code_59","http://www.cdisc.org"
"DNK","b7180462-5b1a-4693-be7e-906b4ca12634","2020-08","Denmark","Code_58","ISO 3166 1 alpha3"
"PHARMA","235299e4-fc61-4e14-8d98-7b53cd8d514f","12","Eli Lilly","Code_3","SPONSOR"
"C70793","b373603d-4589-43da-bc1a-262c201b9686","2023-09-29","Clinical Study Sponsor","Code_60","http://www.cdisc.org"
"USA","a2ae2c63-f6a3-414a-9805-e2abac8d985b","2020-08","United States of America","Code_61","ISO 3166 1 alpha3"
"C93453","a36d6522-bc68-4385-a972-49420a5e7161","2023-09-29","Study Registry","Code_62","http://www.cdisc.org"
"C49656","170dd084-41c3-4295-b935-76a96bf9279e","2023-09-29","Treatment Study","Code_120","http://www.cdisc.org"
"C49666","f1148707-fba5-473f-9364-57bc8e0a005d","2023-09-29","Efficacy Study","Code_121","http://www.cdisc.org"
"C49667","783c6d20-88a8-475a-8f29-bce1d4d4a5c8","2023-09-29","Safety Study","Code_122","http://www.cdisc.org"
"C49663","0e05f068-24e2-45e5-b374-024ca63595e1","2023-09-29","Pharmacokinetic Study","Code_123","http://www.cdisc.org"
"MILD_MOD_ALZ","24bc8e91-8bd3-462e-bad4-630441f9815b","12","Mild to Moderate Alzheimer\'s Disease","Code_117","SPONSOR"
"26929004","0e43943a-d413-4648-8e36-5c9f725a1181","January 31, 2018","Alzheimer\'s disease","Code_118","SNOMED"
"C82639","f02e6746-44af-4e8e-89d9-dcbf20b3a5e6","2023-09-29","Parallel Study","Code_124","http://www.cdisc.org"
"C25716","ee3524ec-911d-43f4-9961-5251e001c16f","2023-09-29","Visit","Code_66","http://www.cdisc.org"
"C51282","304eed75-1cf1-49df-b018-6296638a537d","2023-09-29","Clinic","Code_67","http://www.cdisc.org"
"C175574","412ca635-6649-4c3a-9c8b-47950af521ca","2023-09-29","In Person","Code_68","http://www.cdisc.org"
"C25716","436f89b1-205c-49c7-a789-1377011c0b25","2023-09-29","Visit","Code_69","http://www.cdisc.org"
"C51282","0bb78738-61d8-4544-964a-f708d74f6d87","2023-09-29","Clinic","Code_70","http://www.cdisc.org"
"C175574","c68a4018-96a1-46c2-8fcf-8bbda4faa15e","2023-09-29","In Person","Code_71","http://www.cdisc.org"
"C25716","ac582823-919d-42d7-9b77-0c16d3223f73","2023-09-29","Visit","Code_72","http://www.cdisc.org"
"C51282","ba52d629-e97d-44d4-ac16-a0695f8c3850","2023-09-29","Clinic","Code_73","http://www.cdisc.org"
"C175574","8fc8d5c1-530c-49b4-ba40-68dca6d6e5e7","2023-09-29","In Person","Code_74","http://www.cdisc.org"
"C25716","b546481c-1c14-42da-9cb5-6873d53a8d64","2023-09-29","Visit","Code_75","http://www.cdisc.org"
"C51282","8a29c13d-e71a-43fb-bd79-dd5ffdb41b54","2023-09-29","Clinic","Code_76","http://www.cdisc.org"
"C175574","a0c52a8f-8c46-4a39-b66a-f3af1858ab2b","2023-09-29","In Person","Code_77","http://www.cdisc.org"
"C25716","21b44188-e2fd-4471-b46e-373310d4cea5","2023-09-29","Visit","Code_78","http://www.cdisc.org"
"C51282","81abb435-53ee-4315-9cef-80fe91469efa","2023-09-29","Clinic","Code_79","http://www.cdisc.org"
"C175574","d3a45022-be5e-462b-9987-7c0287a4e090","2023-09-29","In Person","Code_80","http://www.cdisc.org"
"C25716","39bb7ef2-1cb2-4d78-b92c-dabb8be14529","2023-09-29","Visit","Code_81","http://www.cdisc.org"
"C51282","5314555c-209f-45a3-8d7e-b74b1f5ebb52","2023-09-29","Clinic","Code_82","http://www.cdisc.org"
"C175574","ba0968c9-a4b6-4301-a0ef-4a8f68a05e6f","2023-09-29","In Person","Code_83","http://www.cdisc.org"
"C25716","faf14acd-fb25-4f76-9597-335dd146487f","2023-09-29","Visit","Code_84","http://www.cdisc.org"
"C51282","84ee6519-6c7b-4d28-bdc5-94362cc71bdb","2023-09-29","Clinic","Code_85","http://www.cdisc.org"
"C175574","7802e13e-86fa-407c-92d2-57cbb77facdf","2023-09-29","In Person","Code_86","http://www.cdisc.org"
"C171537","328d7898-5b18-4386-b686-41c173597005","2023-09-29","Telephone Call","Code_87","http://www.cdisc.org"
"C25716","5a5e64a2-81e7-40dd-9e1f-cdae5af96d2f","2023-09-29","Visit","Code_88","http://www.cdisc.org"
"C51282","4f35e165-d7dd-495a-91c3-cc44f6c082bb","2023-09-29","Clinic","Code_89","http://www.cdisc.org"
"C175574","d05e99d1-a861-4d9e-a5db-607c9aad6ae7","2023-09-29","In Person","Code_90","http://www.cdisc.org"
"C171537","df0138a7-e042-4fcc-bc9a-25340bb9f8c7","2023-09-29","Telephone Call","Code_91","http://www.cdisc.org"
"C25716","6616d888-9589-406d-a2a0-7f1f7b180eff","2023-09-29","Visit","Code_92","http://www.cdisc.org"
"C51282","d2fa9e8b-8573-4948-ac34-7984503a35d8","2023-09-29","Clinic","Code_93","http://www.cdisc.org"
"C175574","52d45b7c-7454-42dd-9d94-30654306ceca","2023-09-29","In Person","Code_94","http://www.cdisc.org"
"C171537","ad1e42f2-6484-478f-8fe2-1b9eb1d0e6af","2023-09-29","Telephone Call","Code_95","http://www.cdisc.org"
"C25716","0cb192a5-0ff1-4638-baf2-ae2d790d5704","2023-09-29","Visit","Code_96","http://www.cdisc.org"
"C51282","e598e29a-88ac-4490-b648-0c4e0b5526e5","2023-09-29","Clinic","Code_97","http://www.cdisc.org"
"C175574","60344802-e120-41ba-a3c9-a9e79f99f70d","2023-09-29","In Person","Code_98","http://www.cdisc.org"
"C171537","0eb306c5-f405-4923-b4ff-ec60e57ff93f","2023-09-29","Telephone Call","Code_99","http://www.cdisc.org"
"C25716","0a8d1ac9-29bf-434e-93fc-f00f0fe6438d","2023-09-29","Visit","Code_100","http://www.cdisc.org"
"C51282","62638eed-7a53-4fc5-8c7a-123edefcc29e","2023-09-29","Clinic","Code_101","http://www.cdisc.org"
"C175574","c2a2809e-4c70-4a71-986c-ccddc200109c","2023-09-29","In Person","Code_102","http://www.cdisc.org"
"C25716","22d988fe-0009-4b6d-8e14-70e1fa6068de","2023-09-29","Visit","Code_103","http://www.cdisc.org"
"C51282","08a0513f-91d6-4815-b1e5-1258323942f4","2023-09-29","Clinic","Code_104","http://www.cdisc.org"
"C175574","6f2bdc8c-7741-4258-b4c7-93dcb3208df2","2023-09-29","In Person","Code_105","http://www.cdisc.org"
"383371000119108","65c21df2-fdd8-4707-8eca-a76ad43c9ae7","January 31, 2018","CT of head without contrast","Code_63","SNOMED"
"123","58b228bb-f5d3-400c-af39-d63013e4f632","12","Supine for 5 minutes","Code_64","SPONSOR"
"124","952e9987-b1c9-4fe5-9c27-2f0ea6cb0eca","12","Standingfor 1-3 minutes","Code_65","SPONSOR"
"C173522","0c1cfc42-2e9e-4aeb-b412-1c411f88c9c5","","Vital Signs Result","Code_244","NCI Thesaurus"
"C42537","670d88ce-7511-47c6-8e4f-16a8d43fcfad","2023-09-29","Kelvin","Code_245","http://www.cdisc.org"
"C44276","a800e2e3-be8b-41ce-bfa3-7e058c13b87f","","Unit of Temperature","Code_246","NCI Thesaurus"
"C83088","3c835faa-ce27-49da-8c0b-0986c50283d7","","Vital Signs Location","Code_247","NCI Thesaurus"
"C174446","537e94d9-9b8a-4b50-b648-0484127c055d","","Body Temperature","Code_243","NCI Thesaurus"
"C173522","0524b1dc-d3d9-4f7a-bc3f-786f85864f0b","","Vital Signs Result","Code_249","NCI Thesaurus"
"C28252","3c197894-d3b4-4d89-ab46-bef05b143895","2023-09-29","Kilogram","Code_250","http://www.cdisc.org"
"C48155","57546bb7-71bf-46de-95bc-c72caddc320f","2023-09-29","Gram","Code_251","http://www.cdisc.org"
"C48531","dbff6672-87b4-44f2-8592-5d6ac9606fa1","2023-09-29","Pound","Code_252","http://www.cdisc.org"
"C48208","db394810-1d39-4aaf-af4b-9ba91e027d92","","Unit of Weight","Code_253","NCI Thesaurus"
"C81328","b9621647-7c24-4b64-b378-f1b3e622cb4c","","Body Weight","Code_248","NCI Thesaurus"
"C173522","c89ef46e-455e-40e1-94ac-5b5e974b0f96","","Vital Signs Result","Code_255","NCI Thesaurus"
"C49668","50727d99-e6c0-4bab-b2a7-69ca1a8bd800","2023-09-29","Centimeter","Code_256","http://www.cdisc.org"
"C48500","5afbe979-99ea-4a7e-b1fc-34adaf988002","2023-09-29","Inch","Code_257","http://www.cdisc.org"
"C28251","adad46a4-0ef2-4ba9-8831-12326a2ec80e","2023-09-29","Millimeter","Code_258","http://www.cdisc.org"
"C41139","e4aecab5-8a36-4ac1-b893-dd1900a411b2","2023-09-29","Meter","Code_259","http://www.cdisc.org"
"C168688","18b73a6f-67f4-4af1-99a8-fa56cf1c3c56","","Unit of Height","Code_260","NCI Thesaurus"
"C164634","ec8d4235-95f7-49e1-a7b6-a5cfe549141c","","Body Height","Code_254","NCI Thesaurus"
"C36292","e239c224-a2ee-49e2-ba26-40e563fe85ac","","Laboratory Test Result","Code_262","NCI Thesaurus"
"C83309","3877f1cf-e519-48c5-aa41-1c1e436ad56c","","Laboratory Test Fasting Status","Code_263","NCI Thesaurus"
"C67365","be6e7675-143c-41e6-a192-d2eb2e4ca3bb","","Unit of Catalytic Activity Concentration","Code_264","NCI Thesaurus"
"C70713","a9ff623f-f230-492c-ba08-83be6787bfc2","","Biospecimen Type","Code_265","NCI Thesaurus"
"C64433","52c29af5-0b8a-4875-9281-a1e3ae2ef74c","","Alanine Aminotransferase Measurement","Code_261","NCI Thesaurus"
"C36292","60b7f705-484c-49f7-b300-9c591279fcab","","Laboratory Test Result","Code_267","NCI Thesaurus"
"C83309","c56d98e9-fb58-4671-9372-5b4951291557","","Laboratory Test Fasting Status","Code_268","NCI Thesaurus"
