"window","description","value","label","uuid:ID","id","name","windowLower","windowUpper"
"","Screening timing","P2W","Screening","64dd2bed-0f28-4c82-aa34-64c743f22ad6","Timing_1","TIM1","",""
"-4..0 hours","Pre dose timing","P2D","Pre dose","47fc0824-bc0f-42b3-a3ac-e00d81e21cf2","Timing_2","TIM2","PT4H","PT0H"
"","Dosing anchor","P1D","Dosing","136acef4-0994-49a6-9d7d-16580c9a8c0a","Timing_3","TIM3","",""
"-3..3 days","Week 2 timing","P2W","Week 2","5a20c8c9-2421-4173-b2e8-54618c3a0e48","Timing_4","TIM4","P3D","P3D"
"-3..3 days","Week 4 timing","P4W","Week 4","6d7374d0-a4e3-4679-bbb9-49688d7908e2","Timing_5","TIM5","P3D","P3D"
"-3..3 days","Week 6 timing","P6W","Week 6","53112869-fcf2-4fe9-ad21-a57c78831438","Timing_6","TIM6","P3D","P3D"
"-3..3 days","Week 8 timing","P8W","Week 8","24417f0e-4a87-43c7-88c0-b78fda42c458","Timing_7","TIM7","P3D","P3D"
"","Week 8 at home timing","P2W","Week 8 Home","28682cd6-8f87-4be9-98ba-a83da4116d8e","Timing_8","TIM8","",""
"-4..4 days","Week 12 timing","P12W","Week 12","6d878340-4cde-4df8-aa52-588db57ce68c","Timing_9","TIM9","P4D","P4D"
"","Week 12 at home timing","P2W","Week 12 Home","c23b4eb8-e8af-410e-a9d5-922f4d2bbe67","Timing_10","TIM10","",""
"-4..4 days","Week 16 timing","P16W","Week 16","50eec7bf-da2d-4443-a11b-260469ebabf4","Timing_11","TIM11","P4D","P4D"
"","Week 16 at home timing","P2W","Week 16 Home","243b9134-792f-4978-a3bf-5391db69eb24","Timing_12","TIM12","",""
"-4..4 days","Week 20 timing","P20W","Week 20","7681bd6e-04d7-43d4-a07b-134d3679ca65","Timing_13","TIM13","P4D","P4D"
"","Week 20 at home timing","P2W","Week 20 Home","05161dfd-74d1-4a96-9dd3-59eb716c45df","Timing_14","TIM14","",""
"-4..4 days","Week 24 timing","P24W","Week 24","9e422f41-ff35-4c94-b761-2ad74b857404","Timing_15","TIM15","P4D","P4D"
"-3..3 days","Week 26 timing","P26W","Week 26","52a05117-a805-4232-9c13-f1a4c3f34f99","Timing_16","TIM16","P3D","P3D"
"","Adverse Event","P1D","Adverse Event","93e24263-fd02-4b62-b03a-c680825f464d","Timing_17","TIM17","",""
"","Early Termination","P1D","Early Termination","f3238db1-c6a3-4498-adee-9420f6b31cf2","Timing_18","TIM18","",""
"","BP Anchor","PT0M","BP Anchor","3657f561-87ee-4ff5-9b66-eb832b36618a","Timing_19","TIM19","",""
"","BP while Supine","PT5M","BP while Supine","aff4d511-9d60-4dca-a755-e7be76235f04","Timing_20","TIM20","",""
"-2..0 min","BP Stand Up","PT3M","BP Stand Up","a5f6278f-c916-4824-842b-d5a1ffff75aa","Timing_21","TIM21","PT2M","PT0M"
"","BP while standing","PT0M","BP while standing","c2021d13-3c36-4533-b129-04febd025629","Timing_22","TIM22","",""
