"uuid:ID","id","sectionTitle","name","text","sectionNumber"
"2cc298c7-8174-43b9-9a20-1c610be1d2ab","NarrativeContent_1","Root","ROOT","","0"
"dc08a6c9-399e-4f85-9e9f-40c0116fa535","NarrativeContent_2","TITLE PAGE","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","0"
"e2049d1d-1bbb-4add-b7e3-abfc70c999a1","NarrativeContent_3","PROTOCOL SUMMARY","SECTION 1","<div></div>","1"
"0d3e0a7d-4d7d-45e6-a7f4-6ea12e70d58d","NarrativeContent_4","Protocol Synopsis","SECTION 1.1","<div></div>","1.1"
"38f54c08-ac2d-43d6-89ab-8dac38ca805c","NarrativeContent_5","Trial Schema","SECTION 1.2","<div></div>","1.2"
"289161b5-1dea-46c8-a88e-88b6c501d74a","NarrativeContent_6","Schedule of Activities","SECTION 1.3","<div></div>","1.3"
"688dc498-ac4f-495c-8e93-8455a0c3ec29","NarrativeContent_7","INTRODUCTION","SECTION 2","<div></div>","2"
"bbf02560-1bbd-4299-a69e-28c65d4a4eb7","NarrativeContent_8","Purpose of Trial","SECTION 2.1","<div></div>","2.1"
"d88f3014-5d8e-479e-81db-35b7fef62bcd","NarrativeContent_9","Summary of Benefits and Risks","SECTION 2.2","<div></div>","2.2"
"3dffef77-180c-4907-908d-cf1e9124a172","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","3"
"4a673b38-ded3-4c2a-9dbf-4198a9d56713","NarrativeContent_11","Primary Objectives","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1"
"9d1e8391-2ae5-495b-93f6-46d8766d3a71","NarrativeContent_12","TRIAL DESIGN","SECTION 4","<div></div>","4"
"f7ee8ad3-2d63-4dca-8955-e620f5986567","NarrativeContent_13","Description of Trial Design","SECTION 4.1","<div></div>","4.1"
"a28b5121-e72f-4316-bdf9-1d91891a85d5","NarrativeContent_14","Participant Input into Design","SECTION 4.1.1","<div></div>","4.1.1"
"45ccda23-00a6-4e03-be0d-55eacdb6cefd","NarrativeContent_15","Rationale for Trial Design","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2"
