"reference","synonyms","uuid:ID","label","id","name"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","65a2dbff-2d98-4043-bb45-7922e126480f","Body Temperature","BiomedicalConcept_18","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","0c8ac342-7f29-4aff-a742-0e05a09cd6f1","Body Weight","BiomedicalConcept_19","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","8f92c9c9-dae3-47da-ae11-d11e6b949c93","Body Height","BiomedicalConcept_20","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","95d1ae11-e73a-4c82-b642-d2339d1578aa","Alanine Aminotransferase Measurement","BiomedicalConcept_21","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","0496218a-0097-4566-a184-531dc8635b7a","Albumin Measurement","BiomedicalConcept_22","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","2da9e1f0-15c8-48c3-83f5-fe32ed8ffa08","Alkaline Phosphatase Measurement","BiomedicalConcept_23","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","ca87ccf3-d383-4dea-9411-434b1d160fa1","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","8331dadf-dad2-40a2-b580-e771c074b50f","Creatinine Measurement","BiomedicalConcept_25","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","4494c709-d13e-4371-9a5e-0a0f5abf96e0","Potassium Measurement","BiomedicalConcept_26","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","1b437847-5a44-4832-ac1d-158c623e5fd3","Sodium Measurement","BiomedicalConcept_27","Sodium Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","88b7a1a2-541a-4914-9245-58c0fa4befca","Adverse Event","BiomedicalConcept_1","Adverse Event"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","01cee6fe-11f6-4055-990e-e761d6cef9a1","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","ab2e3fa1-5d53-4a39-b606-9902b4471b65","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","106a27a3-a865-4457-8f88-7c8cb9048b19","Body Temperature","BiomedicalConcept_4","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","fcd3e054-9c1f-4d38-b7fb-fbab75656089","Body Weight","BiomedicalConcept_5","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","52d9d168-33cd-4f00-80e1-6685bbb73862","Body Height","BiomedicalConcept_6","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","b5fc60e6-e7e0-4cb9-9c34-cbfe7227a6f5","Alanine Aminotransferase Measurement","BiomedicalConcept_7","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","15dc9559-9cba-4d5d-b5d0-2e8feb6d2b25","Albumin Measurement","BiomedicalConcept_8","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","2baa20ec-0e74-4f34-80c5-b2f96a3faf77","Alkaline Phosphatase Measurement","BiomedicalConcept_9","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","99061195-2a9a-4d41-9dd8-11f731d95afc","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","e8d4fd62-47ab-4400-89e3-ab585fd28edb","Creatinine Measurement","BiomedicalConcept_11","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","18b046be-8f83-49ac-9a81-6e535f1f6227","Potassium Measurement","BiomedicalConcept_12","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","2eb59acb-347e-4335-86b5-c6159a6c253f","Sodium Measurement","BiomedicalConcept_13","Sodium Measurement"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","5a413cbe-99e0-43d0-a301-08461812aaa3","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","36f38619-26a9-490a-adb6-85d3c807c2a4","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","cb3797d0-97a5-41be-933b-f66570a0edf8","Systolic Blood Pressure","BiomedicalConcept_16","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","4bab5263-b6dc-401b-b80e-bf79d7e8d766","Diastolic Blood Pressure","BiomedicalConcept_17","Diastolic Blood Pressure"
