"id","uuid:ID","name","text"
"TransitionRule_1","b6ed0078-545b-46fa-994b-7c7cb89359fc","ENCOUNTER_START_RULE_1","Subject identifier"
"TransitionRule_2","0d59e646-0121-4c48-bdeb-7ff2af246c31","ENCOUNTER_START_RULE_1","completion of screening activities"
"TransitionRule_3","734d2278-bcc8-4694-925f-17c8be9039d8","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","257f14ad-1085-456f-939d-ef8f6bac5c3a","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","8f0c9321-4af2-42b9-8c89-1f1259bb5e2e","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule_6","d0bbe2dd-0691-47c3-b5c3-ee7c03b64634","ENCOUNTER_START_RULE_12","End of treatment"
"TransitionRule_7","dfa6267e-f89b-4d13-8db4-5016187890fd","ELEMENT_START_RULE_1","Informed consent"
"TransitionRule_8","8c288305-1408-4a0a-8289-a2c7e3a6c80f","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","29d6fe1b-0e20-4b83-8ccb-0103648321af","ELEMENT_START_RULE_2","Administration of first dose"
"TransitionRule_14","e89a56b6-b246-4406-96bb-b618ba211110","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","9aca3ef2-0070-46af-8d76-e453d81f7b30","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","32f59185-f6e2-45fe-abc5-d6383a913574","ELEMENT_START_RULE_3","Administration of first dose"
"TransitionRule_11","fd4b62f0-911b-45d8-aaeb-f5880391f11f","ELEMENT_START_RULE_4","Randomized"
"TransitionRule_12","f5138d41-22c9-4691-bfd0-54aad2c2ec80","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","c2a0b044-b8d5-4c5d-b6fc-06634c765200","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
