"name","isRequired","uuid:ID","instanceType","id","datatype","isEnabled","label"
"Sex","True","08565a6e-7ff5-48b7-b2c6-b3b73e678076","BiomedicalConceptProperty","BiomedicalConceptProperty_89","string","True","Sex"
"Race","True","b08a7ee7-5502-4f16-9beb-37d293dd8bb4","BiomedicalConceptProperty","BiomedicalConceptProperty_90","string","True","Race"
"Clinical Test Result","True","b2db9aa1-8585-4e6c-b0c0-1ca6025ef1dd","BiomedicalConceptProperty","BiomedicalConceptProperty_91","decimal","True","Clinical Test Result"
"Unit of Temperature","True","65932b47-eced-4026-9c5e-32f755e2f2dc","BiomedicalConceptProperty","BiomedicalConceptProperty_92","string","True","Unit of Temperature"
"Anatomic Site","True","7589d6bb-e811-44f0-8428-7a77963a851f","BiomedicalConceptProperty","BiomedicalConceptProperty_93","string","True","Anatomic Site"
"Clinical Test Result","True","d4d7550b-02af-4490-b71c-51c593840cd9","BiomedicalConceptProperty","BiomedicalConceptProperty_94","decimal","True","Clinical Test Result"
"Unit of Weight","True","e3efdd54-1d3a-4476-9509-74f30aec3647","BiomedicalConceptProperty","BiomedicalConceptProperty_95","string","True","Unit of Weight"
"Clinical Test Result","True","e87bf7b9-1a16-44cc-91d1-b6c25e95423b","BiomedicalConceptProperty","BiomedicalConceptProperty_96","decimal","True","Clinical Test Result"
"Unit of Height","True","1b59a25c-5ce8-4efe-84cd-7e1220b77c56","BiomedicalConceptProperty","BiomedicalConceptProperty_97","string","True","Unit of Height"
"Laboratory Test Result","True","08a210e3-b851-4a36-8bb6-a872c73de0c3","BiomedicalConceptProperty","BiomedicalConceptProperty_98","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","3e37860b-3fc5-4d13-b73b-748ba9d9be8b","BiomedicalConceptProperty","BiomedicalConceptProperty_99","boolean","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","e7638730-11bb-4f93-9d41-019bcef69d32","BiomedicalConceptProperty","BiomedicalConceptProperty_100","string","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","6868dc74-c768-4a8f-ab34-3441da2f043d","BiomedicalConceptProperty","BiomedicalConceptProperty_101","string","True","Biospecimen Type"
"Laboratory Test Result","True","d5ec0112-0cff-454c-8182-dc362cb79d49","BiomedicalConceptProperty","BiomedicalConceptProperty_102","string","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","56b28694-f98c-47ca-b5be-a631ce476624","BiomedicalConceptProperty","BiomedicalConceptProperty_103","boolean","True","Laboratory Test Fasting Status"
"Unit of Concentration","True","98d6e9a0-d722-48cd-a304-32d594140f69","BiomedicalConceptProperty","BiomedicalConceptProperty_104","string","True","Unit of Concentration"
"Biospecimen Type","True","9e790132-338d-4ebd-86e7-eb2c734e3961","BiomedicalConceptProperty","BiomedicalConceptProperty_105","string","True","Biospecimen Type"
"Laboratory Test Result","True","ced25d45-8292-4592-9e80-7b2477ba38c8","BiomedicalConceptProperty","BiomedicalConceptProperty_106","decimal","True","Laboratory Test Result"
"Laboratory Test Fasting Status","True","c6b2f41e-8ed7-430e-ba48-98ed38193951","BiomedicalConceptProperty","BiomedicalConceptProperty_107","boolean","True","Laboratory Test Fasting Status"
"Unit of Catalytic Activity Concentration","True","06b475c3-e0a9-4670-b754-ec8d5046150b","BiomedicalConceptProperty","BiomedicalConceptProperty_108","string","True","Unit of Catalytic Activity Concentration"
"Biospecimen Type","True","41a95493-fd73-4da9-a6a7-c12006cb5446","BiomedicalConceptProperty","BiomedicalConceptProperty_109","string","True","Biospecimen Type"
"Laboratory Test Result","True","faa15269-84e3-4f7e-a6d6-4041edb0add1","BiomedicalConceptProperty","BiomedicalConceptProperty_110","decimal","True","Laboratory Test Result"
