"windowUpper","name","description","uuid:ID","instanceType","windowLower","id","value","label","window"
"","TIM1","Screening timing","e70b8ddd-4854-4de6-b9a6-22ff438271f1","Timing","","Timing_1","P2W","Screening",""
"PT0H","TIM2","Pre dose timing","caca0713-f055-4c74-9edb-3736f20a708e","Timing","PT4H","Timing_2","P2D","Pre dose","-4..0 hours"
"","TIM3","Dosing anchor","488779ad-45cc-40b0-86d7-bac3e7b836df","Timing","","Timing_3","P1D","Dosing",""
"P3D","TIM4","Week 2 timing","b0c6269e-369f-4bed-9cac-1553c68a32d7","Timing","P3D","Timing_4","P2W","Week 2","-3..3 days"
"P3D","TIM5","Week 4 timing","c40ed656-56c2-4882-b65c-6ecf5627f84b","Timing","P3D","Timing_5","P4W","Week 4","-3..3 days"
"P3D","TIM6","Week 6 timing","93b5953b-b133-4bc1-b1a9-818fa028cfe0","Timing","P3D","Timing_6","P6W","Week 6","-3..3 days"
"P3D","TIM7","Week 8 timing","3e10a440-ff9d-42e2-8bf2-0cbdc579bf72","Timing","P3D","Timing_7","P8W","Week 8","-3..3 days"
"P4D","TIM9","Week 12 timing","e830849a-182a-4346-94d6-149952ee5ec8","Timing","P4D","Timing_9","P12W","Week 12","-4..4 days"
"P4D","TIM11","Week 16 timing","00516cf6-3bf3-4427-a895-1d3f2a7c4952","Timing","P4D","Timing_11","P16W","Week 16","-4..4 days"
"P4D","TIM13","Week 20 timing","c7644e0c-f9bb-4fd6-b96a-7c9e5fda2553","Timing","P4D","Timing_13","P20W","Week 20","-4..4 days"
"P4D","TIM15","Week 24 timing","643d42a8-c324-4566-ba7d-7c3154f213c5","Timing","P4D","Timing_15","P24W","Week 24","-4..4 days"
"P3D","TIM16","Week 26 timing","07743771-1569-499d-bfe3-003ed1c9433a","Timing","P3D","Timing_16","P26W","Week 26","-3..3 days"
"","TIM8","Week 8 at home timing","f15a06b1-d5d0-42c4-8edb-6cfe8a4a991c","Timing","","Timing_8","P2W","Week 8 Home",""
"","TIM10","Week 12 at home timing","b83e15bd-8932-4338-9a0e-0f42db3b088b","Timing","","Timing_10","P2W","Week 12 Home",""
"","TIM12","Week 16 at home timing","84af9d21-6450-4d18-bf54-59bf6c86ab4c","Timing","","Timing_12","P2W","Week 16 Home",""
"","TIM14","Week 20 at home timing","4b797c79-afda-4e23-9964-b54e47c149b3","Timing","","Timing_14","P2W","Week 20 Home",""
"","TIM17","Adverse Event","7762c0c0-88f6-456d-aa83-d33e39421fd6","Timing","","Timing_17","P1D","Adverse Event",""
"","TIM18","Early Termination","7a92f880-3bac-4f7a-a159-15d8a45d32f2","Timing","","Timing_18","P1D","Early Termination",""
"","TIM19","Supine","888653f4-4278-45b6-9db3-e6ed9c00d1fa","Timing","","Timing_19","PT0M","Supine",""
"","TIM20","VS while supine","3ef1b7fe-bd9c-4317-9216-b002345b62d2","Timing","","Timing_20","PT5M","VS while supine",""
"","TIM21","Standing","e5a2bee9-6f93-47d1-88ba-759e0cd99c46","Timing","","Timing_21","PT0M","Standing",""
"","TIM22","VS while standing","45ef9698-c70d-42b2-ac03-cbeda74a258b","Timing","","Timing_22","PT1M","VS while standing",""
"","TIM23","Standing","08412c6b-ab33-4547-a91d-c84eea2037df","Timing","","Timing_23","PT0M","Standing",""
"","TIM24","VS while standing","0cff3ab1-53e1-4bbc-8784-a7f2d73f47e4","Timing","","Timing_24","PT2M","VS while standing",""
