"text","name","uuid:ID","instanceType","id"
"Subject identifier","ENCOUNTER_START_RULE_1","3546b420-428f-4dc1-9747-26359d8f5c21","TransitionRule","TransitionRule_1"
"completion of screening activities","ENCOUNTER_START_RULE_1","ac8940bb-0e6a-47c8-abdb-05d81e8ccf51","TransitionRule","TransitionRule_2"
"subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","6d536a20-0e02-4b73-a68c-d63fc51a6e3b","TransitionRule","TransitionRule_3"
"subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","f8e39388-815d-4748-b5cd-17475cfe68cb","TransitionRule","TransitionRule_4"
"Radomized","ENCOUNTER_START_RULE_3","60a04f2f-c285-4691-be9e-25f1e262152c","TransitionRule","TransitionRule_5"
"End of treatment","ENCOUNTER_START_RULE_12","6f1f3fda-cde2-4f36-92a9-b47a42f10d6b","TransitionRule","TransitionRule_6"
"Informed consent","ELEMENT_START_RULE_1","8fd7f7bb-9356-4d77-831f-ee7a33c1ce1a","TransitionRule","TransitionRule_7"
"Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","89ca5da4-33e0-45e2-9709-505f6178a656","TransitionRule","TransitionRule_8"
"Administration of first dose","ELEMENT_START_RULE_2","197bbd64-8aef-43ff-82ad-fb5750a0a91f","TransitionRule","TransitionRule_9"
"End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","cf375b0d-2656-41e5-aecb-44613ba70c83","TransitionRule","TransitionRule_14"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","31470375-e200-4655-a18a-c257a35f1d11","TransitionRule","TransitionRule_15"
"Administration of first dose","ELEMENT_START_RULE_3","9806b535-fd19-4c0e-b454-e643e904442b","TransitionRule","TransitionRule_10"
"Randomized","ELEMENT_START_RULE_4","45351ac3-98ee-4c70-9472-bbdafbada20a","TransitionRule","TransitionRule_11"
"Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","8b08dcee-2b43-4d20-955c-81f53cf4a366","TransitionRule","TransitionRule_12"
"Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","99b17a2c-f58a-43a3-a73d-4aead0b42087","TransitionRule","TransitionRule_13"
