"text","name","description","uuid:ID","instanceType","id","purpose","label"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","END1","","429cfc62-7546-4eb9-bcb2-80a884bfa42d","Endpoint","Endpoint_1","",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","END2","","a9439e8f-30b3-4115-a623-daaf7f31bf88","Endpoint","Endpoint_2","",""
"Adverse events","END3","","22febfe4-8f42-4ca8-aa35-dc2f50beb313","Endpoint","Endpoint_3","",""
"Vital signs (weight, standing and supine blood pressure, heart rate)","END4","","09d3fe1a-052d-46d3-b5c4-e511e607670a","Endpoint","Endpoint_4","",""
"Laboratory evaluations (Change from Baseline)","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","683e7043-d991-404b-b09f-3928ae04e20f","Endpoint","Endpoint_5","",""
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","END6","","01f1e558-7504-4c24-bb9e-9868ada55222","Endpoint","Endpoint_6","",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","END7","","ca39b1c6-6cf1-4ae2-823d-32947949ff13","Endpoint","Endpoint_7","",""
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","END8","","ba81fd0c-aea5-492c-89ff-f0dd14456356","Endpoint","Endpoint_8","",""
"*** To be determined from protocol ***","END9","","979997a9-cd00-4e15-87f2-01ad39760107","Endpoint","Endpoint_9","",""
"*** To be determined from protocol ***","END10","","bbf83d01-280d-406f-aa9c-3b55bc8555c0","Endpoint","Endpoint_10","",""
"*** To be determined from protocol ***","END11","","3b4c9211-7b90-4cdb-aed2-4b382e40f11d","Endpoint","Endpoint_11","",""
