"name","description","uuid:ID","instanceType","id","label"
"E1","Screening encounter","d2eb5413-95c1-489c-b8a6-cdab1e9b06df","Encounter","Encounter_1","Screening 1"
"E2","Screening encounter - Ambulatory ECG Placement","893af788-3c15-49cd-b94f-31b0bac4265e","Encounter","Encounter_2","Screening 2"
"E3","Baseline encounter - Ambulatory ECG Removal","2d5262dc-8183-42bd-ae80-998235453a80","Encounter","Encounter_3","Baseline"
"E4","Day 14","0b52138f-e4a0-4afe-8711-0db75a6e19b4","Encounter","Encounter_4","Week 2"
"E5","Day 28","ccc5c9cb-d270-41b1-a58a-d33b5894df68","Encounter","Encounter_5","Week 4"
"E7","Day 42","0cf9a91e-5937-457d-ad88-e2bff6d40f8c","Encounter","Encounter_6","Week 6"
"E8","Day 56","57d8f5e6-a3a4-42cd-8fd8-e92cfd92a1d2","Encounter","Encounter_7","Week 8"
"E9","Day 84","85e12a2f-471c-4d92-9534-a778a40a9416","Encounter","Encounter_8","Week 12"
"E10","Day 112","51c7f50f-9fe1-4a24-a13f-7f5f765aacd2","Encounter","Encounter_9","Week 16"
"E11","Day 140","6fffafae-5164-4a3e-b406-26799bd6a205","Encounter","Encounter_10","Week 20"
"E12","Day 168","dd1ae693-2e63-4209-9609-d01635731f50","Encounter","Encounter_11","Week 24"
"E13","Day 182","7264ede3-db48-4d4f-85c6-f582e267c8a6","Encounter","Encounter_12","Week 26"
