"decode","codeSystemVersion","codeSystem","instanceType","uuid:ID","id","code"
"Interventional Study","2023-09-29","http://www.cdisc.org","Code","50d471a3-78a1-44a0-8b88-f00dea818969","Code_1","C98388"
"Phase II Trial","2023-09-29","http://www.cdisc.org","Code","97320b7a-df21-4ed8-9c68-3fff74937bf6","Code_2","C15601"
"Sponsor Approval Date","2023-09-29","http://www.cdisc.org","Code","f53d64f9-fcf1-4b58-85d1-b057b6645315","Code_9","C132352"
"Global","2023-09-29","http://www.cdisc.org","Code","b62040ad-3713-4a0c-8d71-0bca8eebf61e","Code_10","C68846"
"IRB/IEC Feedback","2023-09-29","http://www.cdisc.org","Code","dae1b515-8f4a-41e8-b1f8-382424ee4952","Code_72","C99904x3"
"Other","2023-09-29","http://www.cdisc.org","Code","220e9faa-5a3a-439a-8dcb-a3516d8b8352","Code_73","C17649"
"Region","2023-09-29","http://www.cdisc.org","Code","011f7552-5352-4e0d-bc92-deb70b25cc7b","Code_75","C41129"
"Europe","2020-08","ISO 3166 1 alpha3","Code","f6d86615-0a39-4fc5-8f79-acf580bf8fff","Code_74","150"
"Eli Lilly","12","SPONSOR","Code","f26fb969-ab36-40f2-9e56-69fad985a49c","Code_4","PHARMA"
"Clinical Study Sponsor","2023-09-29","http://www.cdisc.org","Code","686e2eda-b1f3-4ed1-ad6f-a1a036827fcd","Code_76","C70793"
"United States of America","2020-08","ISO 3166 1 alpha3","Code","1ef752e6-f9ff-43a7-bf08-d94d5bd5966b","Code_77","USA"
"Study Registry","2023-09-29","http://www.cdisc.org","Code","055a2c17-c087-4550-a476-6563a52a7dc2","Code_78","C93453"
"United States of America","2020-08","ISO 3166 1 alpha3","Code","19861d68-59fd-45dc-ade2-4e983b861726","Code_79","USA"
"Treatment Study","2023-09-29","http://www.cdisc.org","Code","40d3192b-c867-4772-a93f-d852fb1e2ae5","Code_137","C49656"
"Efficacy Study","2023-09-29","http://www.cdisc.org","Code","6c150882-b93c-407f-ab01-5f6ecdbd7d95","Code_138","C49666"
"Safety Study","2023-09-29","http://www.cdisc.org","Code","2bbe99bf-bf63-40e8-ab35-51f1ba4030f0","Code_139","C49667"
"Pharmacokinetic Study","2023-09-29","http://www.cdisc.org","Code","7f9f2147-c711-4a8b-b73e-38c71cb353c1","Code_140","C49663"
"Mild to Moderate Alzheimer's Disease","12","SPONSOR","Code","c27903fc-b69d-4ad1-a903-cecabd41396f","Code_134","MILD_MOD_ALZ"
"Alzheimer's disease","January 31, 2018","SNOMED","Code","94b7427c-af40-45f3-9b9a-395160f04d44","Code_135","26929004"
"EXTENSION","2023-09-29","http://www.cdisc.org","Code","cb139e6b-80a0-4097-a0db-eef1bfd706a2","Code_143","C99907x1"
"ADAPTIVE","2023-09-29","http://www.cdisc.org","Code","80746d3f-41e0-42f4-b1a8-5474d628f3c1","Code_144","C98704"
"Parallel Study","2023-09-29","http://www.cdisc.org","Code","214ca91c-485e-4e14-8359-a4e946332243","Code_141","C82639"
"Visit","2023-09-29","http://www.cdisc.org","Code","76387ed2-32c1-4dd1-8392-7d6249088888","Code_83","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","7e236d2b-349a-4150-ab85-d219860c6ffd","Code_84","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","a1d30122-9699-4678-a031-e31f914fb3b2","Code_85","C175574"
"Visit","2023-09-29","http://www.cdisc.org","Code","e9490df4-04e4-4414-9fdb-21fd5f46431e","Code_86","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","de2091f8-fe47-47b3-892e-ca9c62e7a314","Code_87","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","50516ea0-dafe-4189-86cc-a51137962bfe","Code_88","C175574"
"Visit","2023-09-29","http://www.cdisc.org","Code","5e851664-dd5b-472c-b9c5-fb90ff70bee9","Code_89","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","34cdb926-d5a2-4057-86d0-aa34946c0292","Code_90","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","e6d39473-9d48-4b7b-a253-741ee3e51c65","Code_91","C175574"
"Visit","2023-09-29","http://www.cdisc.org","Code","a6a4b8e3-38dc-466f-81e7-32f19ffa50a8","Code_92","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","25b73bb2-c9d8-4130-9b09-a6820fa4633f","Code_93","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","bdcaf9ef-8848-4067-b455-e37ffe603fe2","Code_94","C175574"
"Visit","2023-09-29","http://www.cdisc.org","Code","c8c3d3e7-8c5a-47fc-a3ab-0e235aaacd20","Code_95","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","a3276f2c-1c83-44f8-806b-b6b1a7c6ea6a","Code_96","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","48d1eecd-995b-4869-9477-0b7b827bf91b","Code_97","C175574"
"Visit","2023-09-29","http://www.cdisc.org","Code","9e11d5f6-9d29-4304-b0eb-0f9d343db1bd","Code_98","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","b59348b0-0c3b-495b-a58f-d5b7fed79653","Code_99","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","85b43482-c74b-4c08-8ec0-085028a12fd5","Code_100","C175574"
"Visit","2023-09-29","http://www.cdisc.org","Code","ab074a68-a3c6-477b-a8f7-ae4cbf35819e","Code_101","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","054f82c5-04b6-4e3f-b698-17c90bd1c12e","Code_102","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","8a5682ac-27cc-4eb3-aaa4-1fd05d01a0fc","Code_103","C175574"
"Telephone Call","2023-09-29","http://www.cdisc.org","Code","d2834713-62ba-4d1b-838f-eedbb6c31141","Code_104","C171537"
"Visit","2023-09-29","http://www.cdisc.org","Code","e50cb61c-f17b-495a-9214-29f11ba18678","Code_105","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","7f8ea80a-2368-446b-b100-10d66f4fd901","Code_106","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","08060a85-daeb-4b93-96a1-87a4424c10ae","Code_107","C175574"
"Telephone Call","2023-09-29","http://www.cdisc.org","Code","274f7611-1616-4ec8-a4ae-a98c09f66945","Code_108","C171537"
"Visit","2023-09-29","http://www.cdisc.org","Code","9f9b02fc-2e2e-4a9f-9edc-ece6a524f5c8","Code_109","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","89a91f98-d963-4a51-bb24-4fe31a187529","Code_110","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","4577c7da-c650-4fe6-a1e1-9b21185d22e6","Code_111","C175574"
"Telephone Call","2023-09-29","http://www.cdisc.org","Code","0062b49b-3675-499d-af23-38d9b3f35fd4","Code_112","C171537"
"Visit","2023-09-29","http://www.cdisc.org","Code","0a3f2af2-4a89-4a9d-a677-1ed2abb3010e","Code_113","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","10fec91e-1c97-4289-b102-e21054469765","Code_114","C51282"
"In Person","2023-09-29","http://www.cdisc.org","Code","fcc5e1b0-2e0d-4bb8-b655-bf03bc959d97","Code_115","C175574"
"Telephone Call","2023-09-29","http://www.cdisc.org","Code","86a359af-2474-41ad-acfe-babffee8e84e","Code_116","C171537"
"Visit","2023-09-29","http://www.cdisc.org","Code","582ea110-2106-4f73-9666-3a738e6d308f","Code_117","C25716"
"Clinic","2023-09-29","http://www.cdisc.org","Code","72e5eb6c-c74f-4bbd-815a-238d66ef8606","Code_118","C51282"
