"reference","synonyms","name","uuid:ID","instanceType","id","label"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","Sex","a6f5ce95-4731-43eb-a0e1-98c69a0072cf","BiomedicalConcept","BiomedicalConcept_20","Sex"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","Race","0938489f-1d5a-4746-86eb-2b71b67eb5e7","BiomedicalConcept","BiomedicalConcept_21","Race"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","['Temperature']","Body Temperature","c067c7a2-c669-4aba-ad4c-bf893c53dd10","BiomedicalConcept","BiomedicalConcept_22","Body Temperature"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","['Weight']","Body Weight","064957ce-3d3b-4533-9bce-68127a2db2fc","BiomedicalConcept","BiomedicalConcept_23","Body Weight"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","['Height']","Body Height","1c9944b9-9626-4bf8-a41a-20b6c2f6959d","BiomedicalConcept","BiomedicalConcept_24","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","45eac446-55c2-4244-aec9-01f30ba88f0f","BiomedicalConcept","BiomedicalConcept_25","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","d37e1398-c668-4934-a275-d8597c25d7c5","BiomedicalConcept","BiomedicalConcept_26","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","c544df38-9f3c-41a5-b708-0cb5babf3913","BiomedicalConcept","BiomedicalConcept_27","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","5fd15039-c567-4eb1-b3ed-3b90a94ed48a","BiomedicalConcept","BiomedicalConcept_28","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","fe7d5240-8463-47c9-954c-71ccb50c1b3a","BiomedicalConcept","BiomedicalConcept_29","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement","fa7b963a-e314-4c50-a3fb-70a00c6136ca","BiomedicalConcept","BiomedicalConcept_30","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement","7de84f25-9fdd-4bef-8750-70c9ba7144fc","BiomedicalConcept","BiomedicalConcept_31","Sodium Measurement"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","","Adverse Event","7b189180-8f82-41e5-94a1-40eac39beb81","BiomedicalConcept","BiomedicalConcept_1","Adverse Event"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","beabb95c-0a8d-462c-aa17-6138c77d65b1","BiomedicalConcept","BiomedicalConcept_2","Systolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","9e809656-4856-4cc5-b653-7faa04124918","BiomedicalConcept","BiomedicalConcept_3","Diastolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","['Temperature']","Body Temperature","314d7c9b-1e3a-430a-bbf7-a140c54a9fb5","BiomedicalConcept","BiomedicalConcept_4","Body Temperature"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","['Weight']","Body Weight","793de78e-cd2d-44fc-8b3f-ef9dad2841c3","BiomedicalConcept","BiomedicalConcept_5","Body Weight"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","['Height']","Body Height","f044ed12-292c-4b4f-96dc-689604a2ca7b","BiomedicalConcept","BiomedicalConcept_6","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","89ca8ef0-ceec-4b7d-8059-126fbe4b4419","BiomedicalConcept","BiomedicalConcept_7","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement","7ac2f449-57f3-44ba-bd1e-222ce8d9df47","BiomedicalConcept","BiomedicalConcept_8","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","39ce2ff5-6977-47c9-9392-a9fdbd503ea3","BiomedicalConcept","BiomedicalConcept_9","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","8f56545c-2763-42ae-9fa2-f0a250847ee8","BiomedicalConcept","BiomedicalConcept_10","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement","2957ace9-0ef4-4439-affd-b06d56fc9f9d","BiomedicalConcept","BiomedicalConcept_11","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement","fb650955-6cbe-4fca-afe9-eb5d5fd74255","BiomedicalConcept","BiomedicalConcept_12","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement","fa32b0b1-5ce2-4d9b-ba00-f10dae67a470","BiomedicalConcept","BiomedicalConcept_13","Sodium Measurement"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","c4d5056f-72a3-414a-8e91-d5fe4ce67d1b","BiomedicalConcept","BiomedicalConcept_14","Systolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","50dac513-0ae2-477c-bb5b-4133a9e4ec58","BiomedicalConcept","BiomedicalConcept_15","Diastolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","","Heart Rate","40b81f54-8e5c-492e-998f-1c5132fdf284","BiomedicalConcept","BiomedicalConcept_16","Heart Rate"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure","70ff82db-7c3c-4403-b399-b2b07d64dc34","BiomedicalConcept","BiomedicalConcept_17","Systolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure","1ed59f30-950e-4caa-875f-1cf81bba73b3","BiomedicalConcept","BiomedicalConcept_18","Diastolic Blood Pressure"
"/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","","Heart Rate","5309c4d6-d490-4a1f-bf6f-404709f71959","BiomedicalConcept","BiomedicalConcept_19","Heart Rate"
