"decode","codeSystem","uuid:ID","code","id","codeSystemVersion"
"Interventional Study","http://www.cdisc.org","c6c113de-3739-4abf-85d3-7c7daa6f6cab","C98388","Code_1","2023-09-29"
"Phase III Trial","http://www.cdisc.org","c8727989-cbbf-494b-bd8b-67920cc3f34a","C15602","Code_2","2023-09-29"
"Sponsor Approval Date","http://www.cdisc.org","ef9a92e5-deb7-41c8-9d13-b52dbbb6fd6d","C132352","Code_6","2023-09-29"
"Global","http://www.cdisc.org","a3d42bd1-c80b-4747-8e72-a807c73ab76c","C68846","Code_7","2023-09-29"
"Vacines Group","SPONSOR","675da1b5-f4b8-444f-a391-bc69fa41e26b","VAC","Code_3","12"
"Regulatory","SPONSOR","723afca5-c986-4322-928e-c87220ade0bc","REG","Code_4","12"
"Study Registry","http://www.cdisc.org","dae27d5c-f7fc-4d18-8591-bea2fc646cad","C93453","Code_10","2023-09-29"
"United Kingdom of Great Britain and Northern Ireland","ISO 3166 1 alpha3","eab9a8ed-b1b7-438a-971a-4b1cebc6d129","GBR","Code_11","2020-08"
"Clinical Study Sponsor","http://www.cdisc.org","ce3d307f-a32a-457e-9e50-f48d7ae906e5","C70793","Code_12","2023-09-29"
"France","ISO 3166 1 alpha3","2d64f320-d912-4f98-9e04-7fac60126ad2","FRA","Code_13","2020-08"
"Basic Research","http://www.cdisc.org","38dc1207-27e8-48ae-b460-c45682d13343","C15714","Code_42","2023-09-29"
"Device Feasibility Study","http://www.cdisc.org","8908f643-9142-4d2b-9431-95d35dda60de","C139174","Code_43","2023-09-29"
"Efficacy Study","http://www.cdisc.org","aa11149b-2b4e-40eb-8897-483f28a202b1","C49666","Code_44","2023-09-29"
"Type 2 diabetes","SPONSOR","e6b52e39-f4f7-4fb0-91e8-36d2cfe8c8b0","T2_DIABETES","Code_39","12"
"Diabetes mellitus (disorder)","SNOMED","5038e9ea-0694-482d-b91b-559eba3e1095","73211009","Code_40","January 31, 2018"
"Parallel Study","http://www.cdisc.org","c30ed5a1-119f-4889-84aa-6643a4fedef7","C82639","Code_45","2023-09-29"
"Visit","http://www.cdisc.org","8f413aef-2869-42d6-a416-6cd2ee83ae22","C25716","Code_16","2023-09-29"
"Clinic","http://www.cdisc.org","bc0e5b25-dca5-4477-afaa-4c32e92124e7","C51282","Code_17","2023-09-29"
"In Person","http://www.cdisc.org","c3a15be4-9426-418c-9a1a-65c5745bec96","C175574","Code_18","2023-09-29"
