"id","name","uuid:ID","text"
"TransitionRule_1","ENCOUNTER_START_RULE_1","b4434953-07e4-4de7-baae-2f0031497a90","Subject identified"
"TransitionRule_2","ENCOUNTER_START_RULE_1","3aac4a92-7687-42c8-a917-dec28dd09317","IEs passed"
"TransitionRule_3","ENCOUNTER_START_RULE_3","419621b3-b1f4-45d2-8cf3-182d3d52e577","Radomized"
"TransitionRule_4","ELEMENT_START_RULE_1","2356060d-1baf-4739-940a-754bdcbaba25","Study Start"
"TransitionRule_5","ELEMENT_END_RULE_1","759a1f67-eefc-4d77-bbba-8b06edbbe7db","Screened"
"TransitionRule_6","ELEMENT_START_RULE_2","f3461d9f-b55f-4663-9235-56b43d68812b","Screened"
"TransitionRule_7","ELEMENT_END_RULE_2","5f34752c-3c2c-4002-9790-70ac0a35f353","Radomized"
"TransitionRule_8","ELEMENT_START_RULE_3","0b66b2e9-d900-4d19-be15-37d299901a4f","Radomized"
"TransitionRule_9","ELEMENT_END_RULE_3","0e1f4f00-f15f-4bea-9f05-f30f2a7e53a6","Completed treatment 1"
"TransitionRule_12","ELEMENT_START_RULE_5","fdb77b24-3308-41f9-9045-d4e01af7cecd","Radomized"
"TransitionRule_13","ELEMENT_END_RULE_5","9fb85ffc-69fd-4156-a26c-0bbada393390","Completed treatment 2"
"TransitionRule_10","ELEMENT_START_RULE_4","550b51c3-a3a9-4495-aad3-e0dd58fb4132","Treated"
"TransitionRule_11","ELEMENT_END_RULE_4","3da86216-4f55-44d7-bc7a-aa573438a8d5","Leave Study"
