"uuid:ID","text","instanceType","name","label","id","purpose","description"
"3dd7ef83-a812-4641-b8b2-43eaaabd0935","Clinical status assessed using a 7-category ordinal scale at Day 28","ENDPOINT","END1","","Endpoint_1","",""
"132abe95-f7be-4158-8d99-efdab7aa8cab","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","ENDPOINT","END2","","Endpoint_2","",""
"fa732310-4cf8-4c36-ac24-ff635f92479b","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","ENDPOINT","END3","","Endpoint_3","",""
"049902d0-3fa9-4c2b-a0d3-18c7f72b50d2","Incidence of mechanical ventilation","ENDPOINT","END4","","Endpoint_4","",""
"1a68297d-4f4e-4521-a5c1-03dd62afb895","Ventilator-free days to Day 28","ENDPOINT","END5","","Endpoint_5","",""
"e5a7cfb3-e534-4bdb-93f9-15319a4636f7","Incidence of intensive care unit (ICU) stay","ENDPOINT","END6","","Endpoint_6","",""
"511535db-6ca8-4ef1-9305-931701c0c82d","Duration of ICU stay","ENDPOINT","END7","","Endpoint_7","",""
"ae9546ee-834a-43cc-8c2c-8f7fabf00f92","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","ENDPOINT","END8","","Endpoint_8","",""
"022adef8-b212-4340-80a0-07176d7844c7","Mortality rate at Days 7, 14, 21, 28, and 60","ENDPOINT","END9","","Endpoint_9","",""
"f18cd2a2-f74a-4067-b9e7-7ccc163af64f","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","ENDPOINT","END10","","Endpoint_10","",""
"0abb0fb9-9151-44c8-afe9-6db398656ee7","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","ENDPOINT","END11","","Endpoint_11","",""
"239c6c0e-9526-476a-b0e1-abb29488359b","Duration of supplemental oxygen","ENDPOINT","END12","","Endpoint_12","",""
