"uuid:ID","text","name","sectionTitle","id","sectionNumber"
"582cb906-9cc4-4211-9f09-880c5cca004c","","ROOT","Root","NarrativeContent_1","0"
"ddcf265c-d1cc-4b4b-9ea6-e354d4213380","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","SECTION 1","PROTOCOL SUMMARY","NarrativeContent_2","1"
"3d95b9c9-1628-4afa-a604-17866332569a","<div></div>","SECTION 1.1","Protocol Synopsis","NarrativeContent_3","1.1"
"014b4b00-830b-41bd-9af4-d18ca17901ef","<div></div>","SECTION 1.2","Trial Schema","NarrativeContent_4","1.2"
"1a433e30-5cd0-4642-af0b-ed9b5b4c1953","<div></div>","SECTION 1.3","Schedule of Activities","NarrativeContent_5","1.3"
"a3ca6c71-0592-44e2-8247-892e41c14412","<div></div>","SECTION 2","INTRODUCTION","NarrativeContent_6","2"
"22bddaeb-ee5a-42c2-87fb-059e1486b881","<div></div>","SECTION 2.1","Purpose of Trial","NarrativeContent_7","2.1"
"198d8cac-399e-4910-b8b6-ad864dc97af1","<div></div>","SECTION 2.2","Summary of Benefits and Risks","NarrativeContent_8","2.2"
"dcd87edb-1330-449c-821e-69ec76100da2","<div></div>","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_9","3"
"eafe61a1-7e76-45fb-a90b-76b13dd2e3ef","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","SECTION 3.1","Primary Objectives","NarrativeContent_10","3.1"
"ef5770fa-a0a5-4669-a676-5d04f84dee23","<div></div>","SECTION 4","TRIAL DESIGN","NarrativeContent_11","4"
"ce67570d-9cbf-49b9-ad94-98ee1ed8a4ae","<div></div>","SECTION 4.1","Description of Trial Design","NarrativeContent_12","4.1"
"34b36270-40df-4bfd-ac4d-5c4c374fadfe","<div></div>","SECTION 4.1.1","Participant Input into Design","NarrativeContent_13","4.1.1"
"a0858f1d-77b7-46dd-9489-b8d1495132eb","<div></div>","SECTION 4.2","Rationale for Trial Design","NarrativeContent_14","4.2"
"ad68a758-0bd0-4a8c-a64b-353ffe46d1cb","<div></div>","SECTION 4.2.1","Rationale for Comparator","NarrativeContent_15","4.2.1"
"28c9dee8-e425-4975-8564-fd83fa9b05b8","<div></div>","SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent_16","4.2.2"
"d0094441-339e-4ee0-ab32-5be41e97c54d","<div></div>","SECTION 4.2.3","Other Trial Design Considerations","NarrativeContent_17","4.2.3"
"48d21061-e38e-4ea1-b3cf-6db162ccb80e","<div></div>","SECTION 4.3","Access to Trial Intervention After End of Trial","NarrativeContent_18","4.3"
"a96781de-e738-47b6-8439-203672ab0a57","<div></div>","SECTION 4.4","Start of Trial and End of Trial","NarrativeContent_19","4.4"
"c4fed53f-a5bb-4151-91c4-f2b1924026a9","<div></div>","SECTION 5","TRIAL POPULATION","NarrativeContent_20","5"
"572f7681-18a9-4a65-bea6-e26a896936dd","<div></div>","SECTION 5.1","Selection of Trial Population","NarrativeContent_21","5.1"
"2e7d59aa-ef33-48c9-8594-3b1f0d356b38","<div></div>","SECTION 5.2","Rationale for Trial Population","NarrativeContent_22","5.2"
"263907d4-14bd-4f4f-b4b4-a5b3eeac6013","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","SECTION 5.3","Inclusion Criteria","NarrativeContent_23","5.3"
"340352f7-ef1c-485f-a43f-a54e03664055","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","SECTION 5.4","Exclusion Criteria","NarrativeContent_24","5.4"
"4e5d9510-43fc-4e1e-972d-f6591250bbf1","<div></div>","SECTION 5.5","Lifestyle Considerations","NarrativeContent_25","5.5"
"5d9a6c31-974a-45a4-b293-21e4cb59171f","<div></div>","SECTION 5.5.1","Meals and Dietary Restrictions","NarrativeContent_26","5.5.1"
"17bd7855-6fc1-4091-ada5-985b1f30f349","<div></div>","SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_27","5.5.2"
"10c7a979-c3db-4597-8918-3c09b6e0849c","<div></div>","SECTION 5.5.3","Physical Activity","NarrativeContent_28","5.5.3"
"1366e6fa-bdc9-41a8-878e-d7f8e9e6fb62","<div></div>","SECTION 5.5.4","Other Activity","NarrativeContent_29","5.5.4"
"50e8d3ea-dd1b-4108-878b-d3a06a42e7fb","<div></div>","SECTION 5.6","Screen Failures","NarrativeContent_30","5.6"
"e031a935-2a83-4f1c-9192-e3547e74151a","<div></div>","SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_31","6"
"aaedbb80-f5d8-4249-8d9d-20f92d06ffe9","<div></div>","SECTION 6.1","Description of Trial Intervention","NarrativeContent_32","6.1"
"4c178a7a-fe0f-48de-8c32-d912088db5f8","<div></div>","SECTION 6.2","Rationale for Trial Intervention","NarrativeContent_33","6.2"
"74dd07c7-7935-4a02-98ef-92fd6404cd97","<div></div>","SECTION 6.3","Dosing and Administration","NarrativeContent_34","6.3"
"7a1aeca2-31f0-49c6-bde0-bfe5e9839d1f","<div></div>","SECTION 6.3.1","Trial Intervention Dose Modification","NarrativeContent_35","6.3.1"
"8d43150a-5570-47c1-bb18-da0f5a996896","<div></div>","SECTION 6.4","Treatment of Overdose","NarrativeContent_36","6.4"
"a9629cab-58f9-4e97-82a5-670db7473dfd","<div></div>","SECTION 6.5","Preparation, Handling, Storage and Accountability","NarrativeContent_37","6.5"
"a159299a-5e65-4edb-9e5a-518aa80d6c84","<div></div>","SECTION 6.5.1","Preparation of Trial Intervention","NarrativeContent_38","6.5.1"
"1833e45f-d37c-4d88-b110-c5042c1ea2d2","<div></div>","SECTION 6.5.2","Handling and Storage of Trial Intervention","NarrativeContent_39","6.5.2"
"1286ea3c-077b-493e-9d89-be9980673537","<div></div>","SECTION 6.5.3","Accountability of Trial Intervention","NarrativeContent_40","6.5.3"
"f93fd330-cfbb-4e8a-8132-d20cb0c26931","<div></div>","SECTION 6.6","Participant Assignment, Randomisation and Blinding","NarrativeContent_41","6.6"
"fb5a0c6f-79ec-4324-876e-d8d62e6da032","<div></div>","SECTION 6.6.1","Participant Assignment","NarrativeContent_42","6.6.1"
"2e1437cb-6e9f-4bc1-8a57-653503f6e02a","<div></div>","SECTION 6.6.2","Randomisation","NarrativeContent_43","6.6.2"
"3da92d65-bd9a-4085-9c3c-2a2b2f956a4b","<div><p>Blinding and unblinding text here please</p></div>","SECTION 6.6.3","Blinding and Unblinding","NarrativeContent_44","6.6.3"
"deffb13d-2bc1-4036-9636-cdc92f11fb40","<div></div>","SECTION 6.7","Trial Intervention Compliance","NarrativeContent_45","6.7"
