"decode","id","codeSystemVersion","instanceType","code","uuid:ID","codeSystem"
"Interventional Study","Code_1","2023-09-29","Code","C98388","0b724c4a-d43f-4e6c-af4a-7caf6510c055","http://www.cdisc.org"
"Phase II Trial","Code_2","2023-09-29","Code","C15601","29902594-249e-4ed4-ab62-4db66174c30a","http://www.cdisc.org"
"Sponsor Approval Date","Code_9","2023-09-29","Code","C132352","a30cbfba-ef63-45b9-8a3b-93a30721e4be","http://www.cdisc.org"
"Global","Code_10","2023-09-29","Code","C68846","f4105c86-7c3e-43ac-ba20-1ac2fe723e9e","http://www.cdisc.org"
"IRB/IEC Feedback","Code_72","2023-09-29","Code","C99904x3","a8c6edf8-860f-4ad9-a04b-bb6863f64265","http://www.cdisc.org"
"Other","Code_73","2023-09-29","Code","C17649","3391e285-a8d8-42a7-934b-d710b724b832","http://www.cdisc.org"
"Region","Code_75","2023-09-29","Code","C41129","a4dfb799-1338-4f33-bc77-7dcff26fb5fb","http://www.cdisc.org"
"Europe","Code_74","2020-08","Code","150","ed950f5f-f95d-48bc-aff7-e7043e0cca2d","ISO 3166 1 alpha3"
"Eli Lilly","Code_4","12","Code","PHARMA","2d56228a-58ac-4f6f-b374-b2c7a847c56b","SPONSOR"
"Clinical Study Sponsor","Code_76","2023-09-29","Code","C70793","ac835bdb-65ef-4faf-9518-ba72ba2f6443","http://www.cdisc.org"
"Denmark","Code_77","2020-08","Code","DNK","4d6dcfc2-ba2a-4daf-92fe-8dc86a1ea939","ISO 3166 1 alpha3"
"Study Registry","Code_78","2023-09-29","Code","C93453","165abe7e-733c-4970-b342-2d4e913c633a","http://www.cdisc.org"
"Treatment Study","Code_136","2023-09-29","Code","C49656","c2013ef4-0155-420c-ba71-8595c151e216","http://www.cdisc.org"
"Efficacy Study","Code_137","2023-09-29","Code","C49666","06b522fa-d2f1-4dae-8832-9ce7be872710","http://www.cdisc.org"
"Safety Study","Code_138","2023-09-29","Code","C49667","e9e861d3-c43b-4809-a3c9-ca870dd0169d","http://www.cdisc.org"
"Pharmacokinetic Study","Code_139","2023-09-29","Code","C49663","e8a9bbbd-7de3-40bf-9594-bbd9a5e726de","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","Code_133","12","Code","MILD_MOD_ALZ","a193e2a5-9735-4b16-a2ea-99e943ddc0fd","SPONSOR"
"Alzheimer's disease","Code_134","January 31, 2018","Code","26929004","331712ef-f069-4607-9f97-29e430873625","SNOMED"
"EXTENSION","Code_142","2023-09-29","Code","C99907x1","ea413d5f-ca58-4b86-9889-3c375acdeac6","http://www.cdisc.org"
"ADAPTIVE","Code_143","2023-09-29","Code","C98704","41fbd83c-7ebf-4021-b89a-8bcc76b2d651","http://www.cdisc.org"
"Parallel Study","Code_140","2023-09-29","Code","C82639","41b66160-84de-4135-a3ae-27489e2ecbfe","http://www.cdisc.org"
"Visit","Code_82","2023-09-29","Code","C25716","68048231-32eb-474a-9772-ce4ac99b6ad7","http://www.cdisc.org"
"Clinic","Code_83","2023-09-29","Code","C51282","84ad7faf-4311-4677-ab00-7e43d0b4f291","http://www.cdisc.org"
"In Person","Code_84","2023-09-29","Code","C175574","8730f49b-4a78-41d7-8bb1-4c9a50637825","http://www.cdisc.org"
"Visit","Code_85","2023-09-29","Code","C25716","a58b60be-c904-4ad6-9fd8-6cb300229db4","http://www.cdisc.org"
"Clinic","Code_86","2023-09-29","Code","C51282","f8bede8c-114f-4755-9682-cf3368e96ac2","http://www.cdisc.org"
"In Person","Code_87","2023-09-29","Code","C175574","af954af4-4ae5-45a5-a225-fb7f3fcb76f2","http://www.cdisc.org"
"Visit","Code_88","2023-09-29","Code","C25716","3fe2f436-c7b4-434e-a4a5-ad8b69b0b9e2","http://www.cdisc.org"
"Clinic","Code_89","2023-09-29","Code","C51282","4af65f93-c684-48c3-8266-81a5129f73f2","http://www.cdisc.org"
"In Person","Code_90","2023-09-29","Code","C175574","f2f66abd-5f3b-4aa5-84d7-a2e305d84092","http://www.cdisc.org"
"Visit","Code_91","2023-09-29","Code","C25716","b0e94708-4c22-4ae7-962b-a53748f24735","http://www.cdisc.org"
"Clinic","Code_92","2023-09-29","Code","C51282","e438edbd-be4c-4ebe-b31c-06398f86a551","http://www.cdisc.org"
"In Person","Code_93","2023-09-29","Code","C175574","af6af880-d3be-4195-9162-1e3867d91783","http://www.cdisc.org"
"Visit","Code_94","2023-09-29","Code","C25716","74baac42-e922-4698-b151-7e08e7d14d2d","http://www.cdisc.org"
"Clinic","Code_95","2023-09-29","Code","C51282","a67389be-00e6-4130-9d3d-687dd65966e6","http://www.cdisc.org"
"In Person","Code_96","2023-09-29","Code","C175574","c2ed2d56-54c2-4801-8688-85d836131fe3","http://www.cdisc.org"
"Visit","Code_97","2023-09-29","Code","C25716","b139477f-1544-420a-9184-707e82fed859","http://www.cdisc.org"
"Clinic","Code_98","2023-09-29","Code","C51282","e7ee6994-7ae2-4caa-bba9-798e03ceee82","http://www.cdisc.org"
"In Person","Code_99","2023-09-29","Code","C175574","411201e7-d111-4629-9b1e-95b819911b96","http://www.cdisc.org"
"Visit","Code_100","2023-09-29","Code","C25716","a7682f5f-c19f-4dba-8883-0927366429e6","http://www.cdisc.org"
"Clinic","Code_101","2023-09-29","Code","C51282","3d6f143b-67c9-4b8f-a7aa-6e5d70111a38","http://www.cdisc.org"
"In Person","Code_102","2023-09-29","Code","C175574","b769d49a-4e95-4846-8f01-89320f8b6890","http://www.cdisc.org"
"Telephone Call","Code_103","2023-09-29","Code","C171537","8f8b56c9-6216-4ff4-8977-68beaf636c45","http://www.cdisc.org"
"Visit","Code_104","2023-09-29","Code","C25716","1061410a-0d1a-4b63-9cdd-97ab62c7ca35","http://www.cdisc.org"
"Clinic","Code_105","2023-09-29","Code","C51282","bed898da-9a82-415a-b87b-1d140962921b","http://www.cdisc.org"
"In Person","Code_106","2023-09-29","Code","C175574","3a311cd8-b69b-43bf-893b-68369d864068","http://www.cdisc.org"
"Telephone Call","Code_107","2023-09-29","Code","C171537","a86f4915-3341-4cb4-8ecb-19247ec331a9","http://www.cdisc.org"
"Visit","Code_108","2023-09-29","Code","C25716","79979b35-7236-43b5-876d-364abb38fe3b","http://www.cdisc.org"
"Clinic","Code_109","2023-09-29","Code","C51282","90b78d60-f8e6-4c02-96aa-49df15f7c550","http://www.cdisc.org"
"In Person","Code_110","2023-09-29","Code","C175574","08feefa9-0a76-4fd8-917d-1ce378ea1786","http://www.cdisc.org"
"Telephone Call","Code_111","2023-09-29","Code","C171537","8cca8ea1-6c02-4009-a0da-6ba700b964d0","http://www.cdisc.org"
"Visit","Code_112","2023-09-29","Code","C25716","302ba25f-65b9-4f59-a5bd-7c8690abad9a","http://www.cdisc.org"
"Clinic","Code_113","2023-09-29","Code","C51282","5b97309e-949a-44a8-af44-c4c39403361c","http://www.cdisc.org"
"In Person","Code_114","2023-09-29","Code","C175574","61183087-1a98-4e23-ba06-5ef770fb2df8","http://www.cdisc.org"
"Telephone Call","Code_115","2023-09-29","Code","C171537","3c22854f-7aad-4e39-8499-bf2bd70a1a50","http://www.cdisc.org"
"Visit","Code_116","2023-09-29","Code","C25716","27e60f1f-27e3-4c12-b40e-3c9b1fdc6807","http://www.cdisc.org"
"Clinic","Code_117","2023-09-29","Code","C51282","9467b3d0-f6f2-4aff-8403-da8d27e9105e","http://www.cdisc.org"
"In Person","Code_118","2023-09-29","Code","C175574","d6678c27-9fc4-4037-ab8d-16965c1891fe","http://www.cdisc.org"
"Visit","Code_119","2023-09-29","Code","C25716","3650e061-62c6-46ed-a396-385a885df34b","http://www.cdisc.org"
"Clinic","Code_120","2023-09-29","Code","C51282","10306c58-7e9b-4b45-9388-be3b4a4d319a","http://www.cdisc.org"
"In Person","Code_121","2023-09-29","Code","C175574","acd0670f-4ed0-4f99-bbdf-8142d4396b76","http://www.cdisc.org"
"CT of head without contrast","Code_79","January 31, 2018","Code","383371000119108","3056b616-adb5-4c10-936d-fe4dd011d1e4","SNOMED"
"Subject Supine","Code_80","12","Code","123","0cd269fe-3084-4fcf-a5f2-a6075493ddf2","SPONSOR"
"Subject Standing","Code_81","12","Code","124","380ea69f-c623-4fe2-86fd-75bdb28b4734","SPONSOR"
"Vital Signs Result","Code_278","","Code","C173522","dedb620b-5907-4930-835a-fc00b1092706","NCI Thesaurus"
"Kelvin","Code_279","2023-09-29","Code","C42537","1bcab91b-285b-4115-ba87-1954598e5904","http://www.cdisc.org"
"Unit of Temperature","Code_280","","Code","C44276","990140b3-4999-4f69-9abc-834d12b2ad0f","NCI Thesaurus"
"Vital Signs Location","Code_281","","Code","C83088","1fdf3456-f2df-4dc7-8846-8c0898a5e136","NCI Thesaurus"
"Body Temperature","Code_277","","Code","C174446","e228f7a2-26d0-4647-a65e-d1fa8c4a3e76","NCI Thesaurus"
"Vital Signs Result","Code_283","","Code","C173522","90435c1b-7caf-42a8-bff6-d72cee466a0d","NCI Thesaurus"
"Kilogram","Code_284","2023-09-29","Code","C28252","a50be715-a8e7-4120-b4bd-c17d4ae8bd22","http://www.cdisc.org"
"Gram","Code_285","2023-09-29","Code","C48155","01b22a42-70a4-481b-b031-df32c9c04299","http://www.cdisc.org"
"Pound","Code_286","2023-09-29","Code","C48531","5ef847dd-6e78-48e3-89ca-f65a3639e660","http://www.cdisc.org"
"Unit of Weight","Code_287","","Code","C48208","7f855032-842b-4fe7-b88d-7db2b6438bdf","NCI Thesaurus"
"Body Weight","Code_282","","Code","C81328","46b6ab7d-c79c-4df3-bee8-b5bb4acea810","NCI Thesaurus"
"Vital Signs Result","Code_289","","Code","C173522","44da1fd5-4d7c-4657-8e2f-d042e904faa2","NCI Thesaurus"
"Centimeter","Code_290","2023-09-29","Code","C49668","6698cd12-adac-46bd-aab2-1d50fdc252ba","http://www.cdisc.org"
"Inch","Code_291","2023-09-29","Code","C48500","fe60815a-fa8e-4fce-9354-174b932cc84f","http://www.cdisc.org"
"Millimeter","Code_292","2023-09-29","Code","C28251","2d8d7715-85b3-4f6a-9e0f-6d9ddb169af5","http://www.cdisc.org"
"Meter","Code_293","2023-09-29","Code","C41139","1c66af4a-cb47-4157-8672-d39a3f202809","http://www.cdisc.org"
"Unit of Height","Code_294","","Code","C168688","1e644e0c-f30e-44c3-9e94-455b58565910","NCI Thesaurus"
"Body Height","Code_288","","Code","C164634","4ebdc333-5b6b-4c69-b9c3-407cc4864ebd","NCI Thesaurus"
"Laboratory Test Result","Code_296","","Code","C36292","04fdfecb-ba5f-4d34-93ee-826263458ff5","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_297","","Code","C83309","293f897e-a3f4-4a7c-b382-fbebe128b503","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_298","","Code","C67365","e328405e-8017-4eab-b002-1802fe549d7c","NCI Thesaurus"
"Biospecimen Type","Code_299","","Code","C70713","fd7a2ba7-a769-4acb-9b3f-4a7eb9113713","NCI Thesaurus"
"Alanine Aminotransferase Measurement","Code_295","","Code","C64433","f0946897-181d-472e-855a-d6a0b6c48411","NCI Thesaurus"
"Laboratory Test Result","Code_301","","Code","C36292","ae20a4c7-e33d-49f2-a300-05b89658d614","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_302","","Code","C83309","46d8e2d4-1bb1-4eec-b912-d15cfb17807e","NCI Thesaurus"
"Unit of Concentration","Code_303","","Code","C48207","121590fe-a75d-467c-bddd-507a1112baf9","NCI Thesaurus"
"Biospecimen Type","Code_304","","Code","C70713","7d39cf58-1861-4e38-b029-77cdcdce9402","NCI Thesaurus"
"Albumin Measurement","Code_300","","Code","C64431","1638a899-89fc-4486-8888-1851e3e9b9fe","NCI Thesaurus"
"Laboratory Test Result","Code_306","","Code","C36292","8580eb52-7ad6-46d7-a643-3480cd71d16b","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_307","","Code","C83309","ef87d4c5-4090-48cd-8017-410c62f2ca5e","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_308","","Code","C67365","613d5f4c-73a4-4052-b5f3-d84d65c7c1ba","NCI Thesaurus"
"Biospecimen Type","Code_309","","Code","C70713","eb118238-3a22-404a-80cc-2b84c424a996","NCI Thesaurus"
"Alkaline Phosphatase Measurement","Code_305","","Code","C64432","6ae063a7-f174-4641-8c9c-2d1c2492482c","NCI Thesaurus"
"Laboratory Test Result","Code_311","","Code","C36292","2b76a41c-e075-4697-9975-108186715e35","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_312","","Code","C83309","dd2b8cba-6dd9-48bd-9eef-711c4095e08e","NCI Thesaurus"
"Unit of Catalytic Activity Concentration","Code_313","","Code","C67365","b649aac8-7830-4a1b-8607-215168871bf6","NCI Thesaurus"
"Biospecimen Type","Code_314","","Code","C70713","2a14330f-3c3b-4f3e-ad1d-9ec0af6e3d54","NCI Thesaurus"
"Aspartate Aminotransferase Measurement","Code_310","","Code","C64467","02345193-99f4-4d78-bcf1-7bc245f2da30","NCI Thesaurus"
"Laboratory Test Result","Code_316","","Code","C36292","42b2b4db-7285-461c-8bbc-437f1b213d1c","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_317","","Code","C83309","55c5f5b9-99eb-4743-8462-23aa35dc56bb","NCI Thesaurus"
"Unit of Concentration","Code_318","","Code","C48207","1b4fa6a1-f02f-42ef-b33e-e5e76c9738e0","NCI Thesaurus"
"Biospecimen Type","Code_319","","Code","C70713","d286ffe8-8ea5-4cea-8631-bbdb01f11e6d","NCI Thesaurus"
"Creatinine Measurement","Code_315","","Code","C64547","5fb4a490-3b7b-4b5c-9a78-3d82cef5b8b3","NCI Thesaurus"
"Laboratory Test Result","Code_321","","Code","C36292","39293ea3-f3ba-4075-bc5b-c9805dd9f088","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_322","","Code","C83309","8229e985-2472-4407-8a88-127d2241f06b","NCI Thesaurus"
"Molarity Unit","Code_323","","Code","C64567","3583a88a-0e80-4f70-bbe4-9ad93244be72","NCI Thesaurus"
"Biospecimen Type","Code_324","","Code","C70713","f8afc188-de2c-4909-9852-4a0d7e5718e0","NCI Thesaurus"
"Potassium Measurement","Code_320","","Code","C64853","5a697dc4-f9c8-4c20-bd8c-e146cf55b2ed","NCI Thesaurus"
"Laboratory Test Result","Code_326","","Code","C36292","68b357bf-be2a-42b4-9207-b1f40e2294aa","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_327","","Code","C83309","a938a833-c59f-4c36-afe1-8942fa9a4202","NCI Thesaurus"
"Molarity Unit","Code_328","","Code","C64567","4f9ab709-5f91-452b-b773-734789677757","NCI Thesaurus"
"Biospecimen Type","Code_329","","Code","C70713","5c5a1adc-47d0-4b66-9eb3-6d2616ebfa25","NCI Thesaurus"
"Sodium Measurement","Code_325","","Code","C64809","b4754db0-4294-45fd-a932-0541e3c10d98","NCI Thesaurus"
"Adverse Event Verbatim Description","Code_145","","Code","C78541","6a665e1f-3d50-4115-8cb0-bf53a52ec4e8","NCI Thesaurus"
"Adverse Event Dictionary Derived Term","Code_146","","Code","C83344","98120d56-2659-4d2d-894b-5562cd9ef390","NCI Thesaurus"
"Adverse Event Category","Code_147","","Code","C83198","60d9f412-feab-45eb-b445-0f1bf2f07495","NCI Thesaurus"
"Adverse Event Subcategory","Code_148","","Code","C83212","6ae7d7ab-f9fc-4e89-9a8d-b7f967a95b68","NCI Thesaurus"
"Adverse Event Pre-specified","Code_149","","Code","C87840","5f64e753-3b43-4087-ab8f-a6606e6125af","NCI Thesaurus"
"Severity of Adverse Event","Code_150","","Code","C53253","d869e6be-5afc-4c30-a8bc-7c1c0e948b2a","NCI Thesaurus"
"Adverse Event Toxicity Grade","Code_151","","Code","C78605","18e5274f-8748-47f6-af37-d3908e138332","NCI Thesaurus"
"Seriousness of Adverse Event","Code_152","","Code","C53252","66e6b227-9daf-4152-999a-d9a2922cbfd7","NCI Thesaurus"
"Adverse Event Action Taken with Study Treatment","Code_153","","Code","C83013","4762303e-305c-4efe-9954-f7c26889e4ce","NCI Thesaurus"
"Adverse Event Attribution to Product or Procedure","Code_154","","Code","C41358","b3c2c137-6819-4743-abd7-3cf5ddf53449","NCI Thesaurus"
"Intermittent","Code_155","2023-09-29","Code","C71325","c0788756-87d6-4fc8-a1d7-12ccbf237d81","http://www.cdisc.org"
"Adverse Event Pattern","Code_156","","Code","C83208","7c1a1809-11b1-4eb9-8e77-b9196d440cc9","NCI Thesaurus"
"Adverse Event Outcome","Code_157","","Code","C49489","e1355851-34cd-4540-9e07-4733da985929","NCI Thesaurus"
"Adverse Event Start Date Time","Code_158","","Code","C83215","e871ef12-2b5b-4f1b-9327-c0687673f75e","NCI Thesaurus"
"Adverse Event End Date Time","Code_159","","Code","C83201","b99732f1-ae36-439c-a29c-86822d1705f2","NCI Thesaurus"
"Adverse Event","Code_144","","Code","C41331","69fdb72f-589a-4181-9a7a-e97c60776160","NCI Thesaurus"
"Vital Signs Result","Code_161","","Code","C173522","a423260b-2731-452e-81b1-eb75f82dfc1c","NCI Thesaurus"
"Pascal","Code_162","2023-09-29","Code","C42547","a69e1426-32c6-452a-9197-2ed6eb87ca18","http://www.cdisc.org"
"Unit of Pressure","Code_163","","Code","C49669","20f1d6ad-d8dd-4c86-84e2-e9838c9c1743","NCI Thesaurus"
"Vital Signs Location","Code_164","","Code","C83088","aa724feb-b0a1-4903-aac0-e1f2f5a6af04","NCI Thesaurus"
"Vital Signs Laterality","Code_165","","Code","C123975","cd85e9cb-132a-4fbf-bb8e-af29677ad66e","NCI Thesaurus"
"Test Method","Code_166","","Code","C82535","aeaba180-ff04-4116-88bc-7c7663f1f19f","NCI Thesaurus"
"Vital Signs Position","Code_167","","Code","C83114","c37cb9cd-2d38-463f-8e56-15a45b9b0b48","NCI Thesaurus"
"Systolic Blood Pressure","Code_160","","Code","C25298","b426a1d6-4dba-4aae-ab5b-349eaf1aea28","NCI Thesaurus"
"Vital Signs Result","Code_169","","Code","C173522","3109ff65-7e91-4e4f-89c4-1c22359dde91","NCI Thesaurus"
"Pascal","Code_170","2023-09-29","Code","C42547","bc7368ca-0c15-41ff-afc7-6cb93162cdef","http://www.cdisc.org"
"Unit of Pressure","Code_171","","Code","C49669","03b4bb64-8b2b-4d1a-8f9b-db1e2fbe2df6","NCI Thesaurus"
"Vital Signs Location","Code_172","","Code","C83088","511de04e-d41d-476c-86a9-6110756bb90c","NCI Thesaurus"
"Vital Signs Laterality","Code_173","","Code","C123975","ae64df90-2745-4b5a-ba3c-7f90a4922c30","NCI Thesaurus"
"Test Method","Code_174","","Code","C82535","e3c4c924-8ec1-49c2-8ee8-940c917c5079","NCI Thesaurus"
"Vital Signs Position","Code_175","","Code","C83114","00ad9fc3-1f6a-41a3-93da-348d44df5be8","NCI Thesaurus"
"Diastolic Blood Pressure","Code_168","","Code","C25299","66c00ee2-b4ef-4bc5-976a-15522e9a7f38","NCI Thesaurus"
"Vital Signs Result","Code_177","","Code","C173522","18516aa5-5105-4002-b3be-754043bda296","NCI Thesaurus"
"Kelvin","Code_178","2023-09-29","Code","C42537","c1694f07-ce98-4354-9ec1-c2114af4a699","http://www.cdisc.org"
"Unit of Temperature","Code_179","","Code","C44276","0c28c434-629e-4300-93f9-cbd71f4f5b5e","NCI Thesaurus"
"Vital Signs Location","Code_180","","Code","C83088","1f8a88d6-9dd1-444c-96e6-94da2cb17ae7","NCI Thesaurus"
"Body Temperature","Code_176","","Code","C174446","80cd5c2b-32b1-4f4e-9dee-b85342ca964c","NCI Thesaurus"
"Vital Signs Result","Code_182","","Code","C173522","de3e7d24-27ec-4533-82b5-cffc3fc50451","NCI Thesaurus"
"Kilogram","Code_183","2023-09-29","Code","C28252","1cc57931-2469-4ad5-8f3c-d5ace59a3f5c","http://www.cdisc.org"
"Gram","Code_184","2023-09-29","Code","C48155","c8a63aef-b4d5-4e94-a35d-066f85fbdf0a","http://www.cdisc.org"
"Pound","Code_185","2023-09-29","Code","C48531","38e38198-3ae4-4d69-a281-2ef3430f789c","http://www.cdisc.org"
"Unit of Weight","Code_186","","Code","C48208","42514d79-678f-48ae-b51e-cabf6acfcbf8","NCI Thesaurus"
"Body Weight","Code_181","","Code","C81328","504b9d93-d9cf-442c-860b-4feff7ffd986","NCI Thesaurus"
"Vital Signs Result","Code_188","","Code","C173522","78b8b6f7-7443-4964-8a9d-b8e16c981994","NCI Thesaurus"
"Centimeter","Code_189","2023-09-29","Code","C49668","72b946d1-da1d-4e87-b7d5-39bf39465062","http://www.cdisc.org"
"Inch","Code_190","2023-09-29","Code","C48500","9b3669bb-9844-49bb-9d05-986c7c4e894d","http://www.cdisc.org"
"Millimeter","Code_191","2023-09-29","Code","C28251","233f3aad-dd84-463a-aac0-d4440df71a7b","http://www.cdisc.org"
"Meter","Code_192","2023-09-29","Code","C41139","da05e33f-d178-47ee-b492-0b13d6b772ff","http://www.cdisc.org"
"Unit of Height","Code_193","","Code","C168688","4880d06d-facc-48ac-8ab1-dcef7e64579d","NCI Thesaurus"
"Body Height","Code_187","","Code","C164634","d23cc1c2-4c74-4f9f-9fda-03d1d1e99a1c","NCI Thesaurus"
"Laboratory Test Result","Code_195","","Code","C36292","44852787-b40d-4763-bbff-0648bb9cb882","NCI Thesaurus"
"Laboratory Test Fasting Status","Code_196","","Code","C83309","69c994c7-28f8-4582-9cad-badc28154ff7","NCI Thesaurus"
