"synonyms","name","id","label","reference","instanceType","uuid:ID"
"['Temperature']","Body Temperature","BiomedicalConcept_20","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","d4299bdf-9b0a-41a2-9a18-e79220d32f5e"
"['Weight']","Body Weight","BiomedicalConcept_21","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","70093ec1-8258-45fc-aa20-9c09941244c6"
"['Height']","Body Height","BiomedicalConcept_22","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","8b9ca679-c7ff-48c0-ac57-507d86d7dde0"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_23","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","3d6d8078-4d8c-428a-b317-db4647264f3a"
"['Albumin']","Albumin Measurement","BiomedicalConcept_24","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","1b851ab5-445d-4bcb-82f0-dbea054e9ce1"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_25","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","8518cf43-d842-4528-84c3-d06201941f08"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","746d61f3-959b-41f6-b1e8-6c54a20c5fb9"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_27","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","fec05101-42e5-4bcb-81fb-68d61f6b1b51"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_28","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","087124a9-81a6-4d7d-b906-a7fe94033cfa"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_29","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","4607f465-3b0a-4d14-903c-b137756bd198"
"['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept","3b4c7138-c1c5-48a8-8e0d-760f1f501a35"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","ffd2db0c-7dcd-4932-9c1a-bda685d25ac1"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","50422c9d-2bac-464d-930c-66be1e6b46ee"
"['Temperature']","Body Temperature","BiomedicalConcept_4","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","2acc8c8d-7b23-410c-b161-1110dfca9c0f"
"['Weight']","Body Weight","BiomedicalConcept_5","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","36967f0e-3cff-450c-93ea-c0ba52ed565a"
"['Height']","Body Height","BiomedicalConcept_6","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","ed1ec162-3723-488a-8479-98ca0a658ed9"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_7","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","0816694e-0b45-4de8-a135-fc02d0b6e228"
"['Albumin']","Albumin Measurement","BiomedicalConcept_8","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","428de08f-fc78-43b3-8b20-138012ef0716"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_9","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","03b6424a-5c13-490d-b177-f26e9e34b4f6"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","a309eb56-3f19-4d69-a71e-1e0f6c3daa28"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_11","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","351a599f-a539-4a10-b7be-afcd081a977e"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_12","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","ad8e4dc2-3d5f-40ec-b412-5ef94544f7a8"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_13","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","4f901b82-1b89-4317-90b7-2b2edea67370"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_14","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","beae2cf9-2184-4e1a-94b1-101fccc88599"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_15","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","ce7a6026-4ff6-4e18-86b1-62fa499064ba"
"","Heart Rate","BiomedicalConcept_16","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","ed56fb86-46db-4479-a445-03e30a9e67ba"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_17","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","e6c4f3a5-0482-4616-991b-a685aaa71996"
"['DIABP']","Diastolic Blood Pressure","BiomedicalConcept_18","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","f4e4f678-0dda-4001-ae5f-0e370f17632c"
"","Heart Rate","BiomedicalConcept_19","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","b58f5a2c-bdc6-45a9-8dbe-915dd1b4ec39"
