"name","id","description","label","instanceType","uuid:ID"
"Informed consent","Activity_1","","","Activity","aa2a6d5b-ef08-4fed-b906-cb31094d808b"
"Inclusion/exclusion criteria","Activity_2","","","Activity","4415b57a-c524-4a29-8b25-e7c2eb3bb646"
"Patient number assigned","Activity_3","","","Activity","17cb8297-8eb4-42b6-b931-7b28d27242ea"
"Demographics","Activity_4","","Demographics","Activity","15d459fa-f129-43e1-bb46-b084edcc4b31"
"Hachinski","Activity_5","","Hachinski","Activity","62800ce0-71f5-4e7d-91d4-6884d1645d6f"
"MMSE","Activity_6","","MMSE","Activity","3cfd54cd-66db-4a22-954b-d97f157ba843"
"Physical examination","Activity_7","","","Activity","8e1f2a4c-a2a1-4814-97b7-bc97ca1317e2"
"Medical history","Activity_8","","","Activity","11f12f8e-3d76-4b7b-9731-2b1a0a97d6d7"
"Habits","Activity_9","","","Activity","3a7e9227-ca79-43cf-b243-bb97126ed291"
"Chest X-ray","Activity_10","","","Activity","1e5475b9-0942-4589-96a6-f3ff3395476c"
"Apo E genotyping","Activity_11","","","Activity","a1435c55-cd01-436e-b596-7492632c1783"
"Patient randomised","Activity_12","","","Activity","833f634b-4831-42ad-877c-85d7aab4af9b"
"Vital signs / Temperature","Activity_13","","Vital Signs and Temperature","Activity","d2bfde00-4111-4bb9-9fab-ebfeff788d64"
"Ambulatory ECG placed","Activity_14","","","Activity","85d17a0f-0d16-4bea-8415-32e9dcb9d6ae"
"Ambulatory ECG removed","Activity_15","","","Activity","b73a3492-bbda-464a-99b9-d3ea5610dda5"
"ECG","Activity_16","","","Activity","86f2deb6-56da-4575-a6f0-75a986700458"
"Placebo TTS test","Activity_17","","","Activity","afc7b29f-3f28-44de-a221-7533049a60a8"
"CT scan","Activity_18","","","Activity","b1fd56fc-ffc4-4e9c-af26-9e18ca64ba90"
"Concomitant medications","Activity_19","","","Activity","6f7554c6-dd15-4eef-b66d-8925dc1f2fe6"
"Hematology","Activity_20","","","Activity","569011a4-f79e-4d81-b191-6754154a29e1"
"Chemistry","Activity_21","","","Activity","12e31e9b-8152-4153-b918-fa6b5e354549"
"Uninalysis","Activity_22","","","Activity","ab98b9f1-8162-47e7-b6b5-41cb64255d6f"
"Plasma Specimen (Xanomeline)","Activity_23","","","Activity","abe6a413-014b-46e6-82ef-2d6e495df1b9"
"Hemoglobin A1C","Activity_24","","","Activity","c6156d9a-09e3-41db-90ad-1310b517ec11"
"Study drug","Activity_25","","Study drug record , Medications dispensed, Medications returned","Activity","7c47643f-21e1-4260-8db0-54d90d912853"
"TTS Acceptability Survey","Activity_26","","","Activity","7a580776-1035-42c5-9f5f-31f586bf06d6"
"ADAS-Cog","Activity_27","","","Activity","a6599d5f-19a8-4977-b29e-0bddc11da8d7"
"CIBIC+","Activity_28","","","Activity","ecb190e3-f691-49d7-8282-e1ad867d2d4a"
"DAD","Activity_29","","","Activity","726169c6-2ca7-4ae5-bea0-0aba6c4c566c"
"NPI-X","Activity_30","","","Activity","5cf21213-20cf-429b-a3b9-d51a725e9044"
"Adverse events","Activity_31","","","Activity","d68cf716-8751-4672-ba13-2b6af7e8909a"
"Check adverse events","Activity_32","","","Activity","e1f4ac9d-470f-4396-a3ca-3144ca9fef9f"
"Supine","Activity_33","","Subject supine","Activity","388d2301-8098-4159-9797-b2441e2422c9"
"Vital Signs Supine","Activity_34","","Vital signs while supine","Activity","554c5722-e897-42a8-80f6-6d2d1c76e061"
"Stand","Activity_35","","Subject Standing","Activity","234450fd-fd12-404b-8578-181921780782"
"Vital Signs Standing","Activity_36","","Vital signs while standing","Activity","fb92bfc3-cd9c-4163-b0c1-85bc9676debd"
