"windowLower","value","name","id","description","label","instanceType","window","uuid:ID","windowUpper"
"","P2W","TIM1","Timing_1","Screening timing","Screening","Timing","","8a07fe16-5405-48c1-8e84-fd5af2cd9840",""
"PT4H","P2D","TIM2","Timing_2","Pre dose timing","Pre dose","Timing","-4..0 hours","a5e6146f-54ab-4321-9f43-4fa2d789ec2c","PT0H"
"","P1D","TIM3","Timing_3","Dosing anchor","Dosing","Timing","","1ed58a12-c269-4651-96af-395110dd88e4",""
"P3D","P2W","TIM4","Timing_4","Week 2 timing","Week 2","Timing","-3..3 days","33d0a29e-107f-4bd6-a4ad-eba7a3b5b00c","P3D"
"P3D","P4W","TIM5","Timing_5","Week 4 timing","Week 4","Timing","-3..3 days","b420fdde-8972-4ace-aa85-a41bcad25cb3","P3D"
"P3D","P6W","TIM6","Timing_6","Week 6 timing","Week 6","Timing","-3..3 days","12be1a13-01a5-45f2-b5f9-754653d84c99","P3D"
"P3D","P8W","TIM7","Timing_7","Week 8 timing","Week 8","Timing","-3..3 days","59a9f3b1-d1fb-4c75-8f97-dc36b1f12252","P3D"
"P4D","P12W","TIM9","Timing_9","Week 12 timing","Week 12","Timing","-4..4 days","a339bbb4-b4e0-4ea7-a098-61fe1a24b019","P4D"
"P4D","P16W","TIM11","Timing_11","Week 16 timing","Week 16","Timing","-4..4 days","f45b4c46-cf6f-4a89-b76a-c02af5d22d1f","P4D"
"P4D","P20W","TIM13","Timing_13","Week 20 timing","Week 20","Timing","-4..4 days","40eba6b1-bfeb-47ca-ad2f-1efeabfd2cae","P4D"
"P4D","P24W","TIM15","Timing_15","Week 24 timing","Week 24","Timing","-4..4 days","614c3c90-27d4-4bef-ad85-69b16894eed1","P4D"
"P3D","P26W","TIM16","Timing_16","Week 26 timing","Week 26","Timing","-3..3 days","5c60efc3-d7b7-402c-b2cf-b8de1bb70c2d","P3D"
"","P2W","TIM8","Timing_8","Week 8 at home timing","Week 8 Home","Timing","","ae6e6d6e-0e3a-4593-afa9-d274bfcc40ef",""
"","P2W","TIM10","Timing_10","Week 12 at home timing","Week 12 Home","Timing","","da7e26b3-bc1a-4bd2-a7d2-09708394eaba",""
"","P2W","TIM12","Timing_12","Week 16 at home timing","Week 16 Home","Timing","","c69d74ef-d4be-4e5a-8748-a42b411e7d34",""
"","P2W","TIM14","Timing_14","Week 20 at home timing","Week 20 Home","Timing","","3c665046-4ae6-455a-bf45-9e9615fa7392",""
"","P1D","TIM17","Timing_17","Adverse Event","Adverse Event","Timing","","12ee5746-a34a-4739-96d0-0f6cf2203f53",""
"","P1D","TIM18","Timing_18","Early Termination","Early Termination","Timing","","78708324-f46d-4f2b-a788-2aa5ead3a37c",""
"","PT0M","TIM19","Timing_19","Supine","Supine","Timing","","c7222136-aa52-4dd5-a376-ed6a21d4c3b4",""
"","PT5M","TIM20","Timing_20","VS while supine","VS while supine","Timing","","9da9745a-5622-4754-bf6c-8010bacc1a5f",""
"","PT0M","TIM21","Timing_21","Standing","Standing","Timing","","1c720b6d-4c5f-4ae8-84c7-6f46e791e1de",""
"","PT1M","TIM22","Timing_22","VS while standing","VS while standing","Timing","","b882c6d5-f475-458d-bcff-49d1d7bd4e8a",""
"","PT0M","TIM23","Timing_23","Standing","Standing","Timing","","25913771-f225-46fa-a2ce-97df8c6e4705",""
"","PT2M","TIM24","Timing_24","VS while standing","VS while standing","Timing","","d6a2e0bb-2b4b-4b06-a25f-6cebb4851979",""
