"name","id","instanceType","uuid:ID","text"
"ENCOUNTER_START_RULE_1","TransitionRule_1","TransitionRule","beeb25b1-03db-4011-8d49-6f65ebe2959a","Subject identifier"
"ENCOUNTER_START_RULE_1","TransitionRule_2","TransitionRule","42acd928-b69b-47a3-b6fc-f8ecf8c54ed9","completion of screening activities"
"ENCOUNTER_START_RULE_2","TransitionRule_3","TransitionRule","a10405bf-f4ca-45ce-af4e-5b4fd5f8790d","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","TransitionRule_4","TransitionRule","3680976b-3d39-4130-8c20-1984ee7ad19b","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","TransitionRule_5","TransitionRule","b9a021f5-1a61-4151-8456-f0e8420a0d05","Radomized"
"ENCOUNTER_START_RULE_12","TransitionRule_6","TransitionRule","d0393d8e-0ff2-465a-9c28-a5403b3a16c1","End of treatment"
"ELEMENT_START_RULE_1","TransitionRule_7","TransitionRule","6c72912e-67c3-43e4-b5c2-7f9f1c8d8f2a","Informed consent"
"ELEMENT_END_RULE_1","TransitionRule_8","TransitionRule","697b71cf-307d-4f13-8e94-4efd6ecd37cf","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","TransitionRule_9","TransitionRule","7d156e15-de3f-4904-90a0-a0a9fd9adda2","Administration of first dose"
"ELEMENT_START_RULE_7","TransitionRule_14","TransitionRule","4bebba50-0dce-4120-bdb3-5b45a4819844","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","TransitionRule_15","TransitionRule","9d00614e-4750-4535-9ce1-a06c9f5cd873","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","TransitionRule_10","TransitionRule","e32a787f-0588-4728-8cc9-63bcaf2f4a92","Administration of first dose"
"ELEMENT_START_RULE_4","TransitionRule_11","TransitionRule","86c8b989-af92-4260-93f5-98255a9fd372","Randomized"
"ELEMENT_START_RULE_5","TransitionRule_12","TransitionRule","6bad9ee3-7ca6-4ca3-a1c7-9d513e6e1956","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","TransitionRule_13","TransitionRule","2c44076b-5556-4412-9e06-87e33a12de5d","Administration of first dose (from patches supplied at Visit 12)"
