"name","id","instanceType","sectionTitle","sectionNumber","uuid:ID","text"
"ROOT","NarrativeContent_1","NarrativeContent","Root","0","d457e89f-a9c2-4642-baa0-d6a9fbbb2302",""
"SECTION 0","NarrativeContent_2","NarrativeContent","TITLE PAGE","0","a7dbca27-6aa5-4416-b39f-0327783aea85","<div><usdm:section name=""M11-title-page""></div>"
"SECTION 1","NarrativeContent_3","NarrativeContent","PROTOCOL SUMMARY","1","dae6b01a-dedd-41e6-ad38-79f55b9c9706","<div></div>"
"SECTION 1.1","NarrativeContent_4","NarrativeContent","Protocol Synopsis","1.1","2b0a0cb6-1666-408f-aaed-91d3b2f69290","<div></div>"
"SECTION 1.2","NarrativeContent_5","NarrativeContent","Trial Schema","1.2","4c34399e-a2f0-4bb0-bc84-9a0304d7dace","<div></div>"
"SECTION 1.3","NarrativeContent_6","NarrativeContent","Schedule of Activities","1.3","a235c378-5df5-485c-acee-95a6a9bff571","<div></div>"
"SECTION 2","NarrativeContent_7","NarrativeContent","INTRODUCTION","2","51521f71-68ee-4e6f-ab6f-d0f1e210d6e6","<div></div>"
"SECTION 2.1","NarrativeContent_8","NarrativeContent","Purpose of Trial","2.1","163008ce-8c94-40b4-aee3-c17e13ee793a","<div></div>"
"SECTION 2.2","NarrativeContent_9","NarrativeContent","Summary of Benefits and Risks","2.2","f2511778-24fc-4b6e-a595-d6940ecc5225","<div></div>"
"SECTION 3","NarrativeContent_10","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","8dc1b9e8-11ff-4f3f-9364-6b3262d42619","<div></div>"
"SECTION 3.1","NarrativeContent_11","NarrativeContent","Primary Objectives","3.1","37ffaaf7-3a34-446a-8b22-5c36116975fd","<div><usdm:section name=""M11-objective-endpoints""></div>"
"SECTION 4","NarrativeContent_12","NarrativeContent","TRIAL DESIGN","4","0ce73d0e-ecfd-4bd2-9a31-c39167d5c9da","<div></div>"
"SECTION 4.1","NarrativeContent_13","NarrativeContent","Description of Trial Design","4.1","0beea589-83f8-4f76-89ea-e49da8cd70e0","<div></div>"
"SECTION 4.1.1","NarrativeContent_14","NarrativeContent","Participant Input into Design","4.1.1","fdfe602a-6c39-47bb-8318-d642ae60e964","<div></div>"
