"datatype","name","id","isEnabled","label","instanceType","isRequired","uuid:ID"
"decimal","Vital Signs Result","BiomedicalConceptProperty_98","True","Vital Signs Result","BiomedicalConceptProperty","True","7f838af6-d17c-4d97-ada9-290803498248"
"string","Unit of Temperature","BiomedicalConceptProperty_99","True","Unit of Temperature","BiomedicalConceptProperty","True","499362fe-8710-44e4-a899-aeb0c5206806"
"string","Vital Signs Location","BiomedicalConceptProperty_100","True","Vital Signs Location","BiomedicalConceptProperty","True","14e4b5a2-9091-4314-94cb-183d89837f3e"
"decimal","Vital Signs Result","BiomedicalConceptProperty_101","True","Vital Signs Result","BiomedicalConceptProperty","True","09e879fe-9fc3-47c1-a0f2-04dc3a68cb5d"
"string","Unit of Weight","BiomedicalConceptProperty_102","True","Unit of Weight","BiomedicalConceptProperty","True","3ebc539f-55e0-4efd-9e89-81006259cb40"
"decimal","Vital Signs Result","BiomedicalConceptProperty_103","True","Vital Signs Result","BiomedicalConceptProperty","True","ffa7c20e-c81c-4d82-a196-97e047959d2b"
"string","Unit of Height","BiomedicalConceptProperty_104","True","Unit of Height","BiomedicalConceptProperty","True","5b91dc92-3af9-49d5-8705-d789086823c6"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_105","True","Laboratory Test Result","BiomedicalConceptProperty","True","219cd22c-abce-439f-95fd-7bde505674bb"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","True","8c41b0e5-f1d0-4a44-93c3-64622c058d36"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","True","8b589951-f22e-4db6-b64f-ccb0fc98664c"
"string","Biospecimen Type","BiomedicalConceptProperty_108","True","Biospecimen Type","BiomedicalConceptProperty","True","8797d12f-6738-48b3-b101-617a45f4d0e0"
"string","Laboratory Test Result","BiomedicalConceptProperty_109","True","Laboratory Test Result","BiomedicalConceptProperty","True","7007a980-7d2d-42dc-b557-afea464e0f7f"
