"name","id","description","label","instanceType","uuid:ID"
"E1","Encounter_1","Screening encounter","Screening 1","Encounter","73a89c7e-dcf2-4a71-91dc-ad685e7c6374"
"E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter","ed8e7610-c96b-4f33-9af0-154b5acb997e"
"E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter","22b90a4c-6b9d-44f0-9a22-2a3fc0c11b92"
"E4","Encounter_4","Day 14","Week 2","Encounter","4ed8d930-c71b-458b-95df-6c7770441d6c"
"E5","Encounter_5","Day 28","Week 4","Encounter","a0813dbc-63f4-4be1-969b-3b278bc9032d"
"E7","Encounter_6","Day 42","Week 6","Encounter","51d3a5cd-a8d4-4b64-bb28-e51700ff99c3"
"E8","Encounter_7","Day 56","Week 8","Encounter","c87e97b4-9de8-43d8-9e44-7966116c2866"
"E9","Encounter_8","Day 84","Week 12","Encounter","da50996f-df0a-4e6c-abfd-44821a6e30b8"
"E10","Encounter_9","Day 112","Week 16","Encounter","99a305ec-0bee-4262-8bdd-dbe3d8504695"
"E11","Encounter_10","Day 140","Week 20","Encounter","aa66dda6-c062-466d-b4eb-8a3c08334c0e"
"E12","Encounter_11","Day 168","Week 24","Encounter","ec732476-6a23-47bd-b80f-30a568dd4907"
"E13","Encounter_12","Day 182","Week 26","Encounter","78095106-40e2-45c5-af95-ad84c679d143"
