"windowUpper","window","name","value","uuid:ID","id","label","description","windowLower","instanceType"
"","","TIM1","P2W","be10d046-06ee-4526-99b9-f5eb97647455","Timing_1","Screening","Screening timing","","Timing"
"PT0H","-4..0 hours","TIM2","P2D","62bbf3b7-ca46-43af-b8bc-c318d535b75e","Timing_2","Pre dose","Pre dose timing","PT4H","Timing"
"","","TIM3","P1D","993b1e29-d282-4e26-8834-8c08749a1623","Timing_3","Dosing","Dosing anchor","","Timing"
"P3D","-3..3 days","TIM4","P2W","69b3ffe7-7e8a-49db-8e2e-0df841a61ec4","Timing_4","Week 2","Week 2 timing","P3D","Timing"
"P3D","-3..3 days","TIM5","P4W","78a8fce4-2577-4e75-81e4-9203a3fd7641","Timing_5","Week 4","Week 4 timing","P3D","Timing"
"P3D","-3..3 days","TIM6","P6W","36423631-ce3e-4494-a599-059a73189ba9","Timing_6","Week 6","Week 6 timing","P3D","Timing"
"P3D","-3..3 days","TIM7","P8W","3c48f3c8-13b3-4a58-b7b7-7b8367a606ff","Timing_7","Week 8","Week 8 timing","P3D","Timing"
"P4D","-4..4 days","TIM9","P12W","495cff7b-8e54-4ca6-8fc4-2b7fc7eddb30","Timing_9","Week 12","Week 12 timing","P4D","Timing"
"P4D","-4..4 days","TIM11","P16W","9b68a7b3-0abf-4716-a974-caf24c270908","Timing_11","Week 16","Week 16 timing","P4D","Timing"
"P4D","-4..4 days","TIM13","P20W","1e6a23d9-a2f7-49a9-a4ae-55adccc1d0de","Timing_13","Week 20","Week 20 timing","P4D","Timing"
"P4D","-4..4 days","TIM15","P24W","7d50a511-8b1a-48fb-8147-43a9b2d68d40","Timing_15","Week 24","Week 24 timing","P4D","Timing"
"P3D","-3..3 days","TIM16","P26W","137b1fe6-78dd-4964-a486-4b36ef8514f4","Timing_16","Week 26","Week 26 timing","P3D","Timing"
"","","TIM8","P2W","bd784034-7e8d-4f9f-b42d-0bc170ee0064","Timing_8","Week 8 Home","Week 8 at home timing","","Timing"
"","","TIM10","P2W","998c44b3-332e-44a5-9ea8-98aa0e9efe38","Timing_10","Week 12 Home","Week 12 at home timing","","Timing"
"","","TIM12","P2W","eaf4f7c3-a6c4-4497-97b3-1f31436d2250","Timing_12","Week 16 Home","Week 16 at home timing","","Timing"
"","","TIM14","P2W","83a25965-42a4-43a8-9675-7144a52b4b80","Timing_14","Week 20 Home","Week 20 at home timing","","Timing"
"","","TIM17","P1D","3d7cacc9-d08d-4aa0-bf39-d81184b942c9","Timing_17","Adverse Event","Adverse Event","","Timing"
"","","TIM18","P1D","e637f895-c264-434e-9013-df3e90ed001e","Timing_18","Early Termination","Early Termination","","Timing"
"","","TIM19","PT0M","572473d9-f972-4709-a1f4-927109d267e0","Timing_19","Supine","Supine","","Timing"
"","","TIM20","PT5M","c1c7b44d-ed39-4b47-afcd-b5d6d63ac3b8","Timing_20","VS while supine","VS while supine","","Timing"
"","","TIM21","PT0M","f07c5f25-f76b-4c88-8606-41bbd850fb0d","Timing_21","Standing","Standing","","Timing"
"","","TIM22","PT1M","de268e62-4135-4167-a9ef-a3cc0d496186","Timing_22","VS while standing","VS while standing","","Timing"
"","","TIM23","PT0M","d524ffaa-b8b3-4494-8eb1-e246df6266a3","Timing_23","Standing","Standing","","Timing"
"","","TIM24","PT2M","20adfae0-b216-4c0c-9e87-9f15e1680a46","Timing_24","VS while standing","VS while standing","","Timing"
