"name","reference","id","uuid:ID","label","synonyms","instanceType"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","a3cfc360-eafb-4f99-95ad-8abf620c1574","Body Temperature","['Temperature']","BiomedicalConcept"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","3e698d2c-4a61-42a2-9443-c7fb327e57f2","Body Weight","['Weight']","BiomedicalConcept"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","04b842cf-e5c1-4dff-a49d-54cc8d43b3cf","Body Height","['Height']","BiomedicalConcept"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","ed8e8837-b301-4007-a80c-5710195ed7bf","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","9d835c80-643e-4ed1-99e3-eea0dbc982dd","Albumin Measurement","['Albumin']","BiomedicalConcept"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","380cb1e4-fc2d-4a16-94ec-916612cf96cd","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","cec87659-50aa-4685-9a02-8f2fda409628","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","129002eb-8f2e-4968-91d6-478cdddd0e7a","Creatinine Measurement","['Creatinine']","BiomedicalConcept"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","70742139-2f0f-4cd4-b333-2b1d049c3138","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","d090018a-d458-448c-b85b-744d749a5eed","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept"
"Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","83c2c95d-e2f9-4572-a656-2ccdf13eaed1","Adverse Event","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept"
