"decode","uuid:ID","id","code","codeSystem","codeSystemVersion","instanceType"
"Interventional Study","891f7e13-867b-43e3-8786-d63f469a0502","Code_1","C98388","http://www.cdisc.org","2023-09-29","Code"
"Phase II Trial","c778f42d-1101-4516-9577-6278dde1319f","Code_2","C15601","http://www.cdisc.org","2023-09-29","Code"
"Sponsor Approval Date","16dd2f3e-6abb-4241-bf34-f28d19ee5a70","Code_9","C132352","http://www.cdisc.org","2023-09-29","Code"
"Global","7f767493-6496-40ae-b3dc-749b4f2d989c","Code_10","C68846","http://www.cdisc.org","2023-09-29","Code"
"IRB/IEC Feedback","00e3cc39-73dd-4180-bc7f-e06f2bea2cd0","Code_72","C99904x3","http://www.cdisc.org","2023-09-29","Code"
"Other","abfca885-1101-4601-a887-63c75e569d12","Code_73","C17649","http://www.cdisc.org","2023-09-29","Code"
"Region","951b0f43-b622-47b7-8c2f-9eb8577dd303","Code_75","C41129","http://www.cdisc.org","2023-09-29","Code"
"Europe","70a62af2-e20d-478b-9061-a9df53097eda","Code_74","150","ISO 3166 1 alpha3","2020-08","Code"
"Eli Lilly","e347210d-1a2b-4261-a807-a219ebaa96eb","Code_4","PHARMA","SPONSOR","12","Code"
"Clinical Study Sponsor","dd1b49f0-5bdc-431f-8d80-7f8da4c95916","Code_76","C70793","http://www.cdisc.org","2023-09-29","Code"
"Denmark","f976fdd9-0327-4260-a11c-c1c82d1c1f55","Code_77","DNK","ISO 3166 1 alpha3","2020-08","Code"
"Study Registry","be55de46-5261-4819-a28c-5a688694584c","Code_78","C93453","http://www.cdisc.org","2023-09-29","Code"
"Treatment Study","941ea0c0-2c6e-420c-b27b-e7a3687a7036","Code_136","C49656","http://www.cdisc.org","2023-09-29","Code"
"Efficacy Study","04b9a780-a373-4825-89c5-240d749f4735","Code_137","C49666","http://www.cdisc.org","2023-09-29","Code"
"Safety Study","812a8f69-d8cb-4eca-9420-6dbe5c7d45eb","Code_138","C49667","http://www.cdisc.org","2023-09-29","Code"
"Pharmacokinetic Study","c03ce0c1-045f-402e-83a7-2d6b494ffd86","Code_139","C49663","http://www.cdisc.org","2023-09-29","Code"
"Mild to Moderate Alzheimer's Disease","ba038123-5d20-41b8-ba93-a2a5de49a151","Code_133","MILD_MOD_ALZ","SPONSOR","12","Code"
"Alzheimer's disease","8b406c8f-e157-4122-b3df-78309b6e0711","Code_134","26929004","SNOMED","January 31, 2018","Code"
"EXTENSION","2bee2d71-da4e-4d31-a59d-5464607d4005","Code_142","C99907x1","http://www.cdisc.org","2023-09-29","Code"
"ADAPTIVE","c00594ca-9936-4cad-9bd2-ba2a8eb36f8c","Code_143","C98704","http://www.cdisc.org","2023-09-29","Code"
"Parallel Study","d1727319-1107-4bf1-941e-56975038060f","Code_140","C82639","http://www.cdisc.org","2023-09-29","Code"
"Visit","a410fcbf-efbf-4ac4-b2e9-fcc884a09688","Code_82","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","9e64925a-d85c-472d-a391-4c3d33c3ca5c","Code_83","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","6cac610b-3e8b-494a-95ea-d0d41267d382","Code_84","C175574","http://www.cdisc.org","2023-09-29","Code"
"Visit","55af33e4-d40a-4d63-8a8b-04704353e418","Code_85","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","f7c21a41-484b-40ae-8767-ef84d32d5b1e","Code_86","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","37aeb64b-781e-49a7-94ed-313cd92e1727","Code_87","C175574","http://www.cdisc.org","2023-09-29","Code"
"Visit","420631a5-7a02-48f7-aff2-baec0f3d2278","Code_88","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","d16da3d1-51f6-46a5-a203-6c394001723d","Code_89","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","3005bcaf-dc1e-4292-aabc-fbbee67aa8d1","Code_90","C175574","http://www.cdisc.org","2023-09-29","Code"
"Visit","4f50df8e-de7f-40b2-ab4c-f1835200a479","Code_91","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","476b0ad9-c50e-4fef-bf6e-9f7f6a649c38","Code_92","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","650f3189-cc51-4cb8-bc49-cb416f74d553","Code_93","C175574","http://www.cdisc.org","2023-09-29","Code"
"Visit","7e46ed9c-6879-4b01-a428-bf45b1ab5212","Code_94","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","2c684e11-7245-4a9b-9286-7c2c39cb5708","Code_95","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","0fd2cb0b-bfaf-4af5-a838-1922a0bbed15","Code_96","C175574","http://www.cdisc.org","2023-09-29","Code"
"Visit","a6559019-519c-4975-8636-7d9c439556f8","Code_97","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","9cf80664-f518-4dda-9013-53a37facd73f","Code_98","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","a46e358c-39b3-42e0-8f2e-774675a19d81","Code_99","C175574","http://www.cdisc.org","2023-09-29","Code"
"Visit","3b957fdb-daa7-4e5e-b4e3-fd4e6f1dda58","Code_100","C25716","http://www.cdisc.org","2023-09-29","Code"
"Clinic","da959dc3-1b2a-465d-a34e-dd36ed785c51","Code_101","C51282","http://www.cdisc.org","2023-09-29","Code"
"In Person","5f9f661c-f24c-41d3-802d-ba7616d2259d","Code_102","C175574","http://www.cdisc.org","2023-09-29","Code"
"Telephone Call","4efbf227-49f5-4576-8e6d-7a9ee577f519","Code_103","C171537","http://www.cdisc.org","2023-09-29","Code"
"Visit","a413e4da-1d3d-4ddc-a722-41edecbbe726","Code_104","C25716","http://www.cdisc.org","2023-09-29","Code"
