"sectionNumber","name","uuid:ID","id","text","sectionTitle","instanceType"
"0","ROOT","fe9fd9b7-402b-415f-b4bc-29e261fc515d","NarrativeContent_1","","Root","NarrativeContent"
"0","SECTION 0","c08b198b-95aa-4d44-a35c-ecb13a95da8a","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE","NarrativeContent"
"1","SECTION 1","41102043-280d-41df-ae64-f09800f9ff90","NarrativeContent_3","<div></div>","PROTOCOL SUMMARY","NarrativeContent"
"1.1","SECTION 1.1","e3666c5d-7d5e-441b-aa3c-0206c2e03f02","NarrativeContent_4","<div></div>","Protocol Synopsis","NarrativeContent"
"1.2","SECTION 1.2","d8777d0e-1e1c-4661-b247-a65e3e35081b","NarrativeContent_5","<div></div>","Trial Schema","NarrativeContent"
"1.3","SECTION 1.3","4f7101ca-f3bf-46ec-aa41-c32e4c28f1de","NarrativeContent_6","<div></div>","Schedule of Activities","NarrativeContent"
"2","SECTION 2","70bd1588-647f-460d-84e6-e851209b9cc7","NarrativeContent_7","<div></div>","INTRODUCTION","NarrativeContent"
"2.1","SECTION 2.1","8f8ac980-60c5-449b-8e8d-245f8ca5e724","NarrativeContent_8","<div></div>","Purpose of Trial","NarrativeContent"
"2.2","SECTION 2.2","dd457902-19c5-44ba-a99d-1c336c3d7ab9","NarrativeContent_9","<div></div>","Summary of Benefits and Risks","NarrativeContent"
"3","SECTION 3","58327027-813b-4481-9a3b-2e05893b1adc","NarrativeContent_10","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent"
"3.1","SECTION 3.1","99a63d25-252c-43b4-ae93-a88c219ca613","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives","NarrativeContent"
"4","SECTION 4","d41fd108-e16d-4aa5-8520-488b14054b41","NarrativeContent_12","<div></div>","TRIAL DESIGN","NarrativeContent"
"4.1","SECTION 4.1","dd3e5f45-a479-4729-a2c6-19ca7b85759b","NarrativeContent_13","<div></div>","Description of Trial Design","NarrativeContent"
"4.1.1","SECTION 4.1.1","c027292b-7dc7-41cb-a600-181f02a35a75","NarrativeContent_14","<div></div>","Participant Input into Design","NarrativeContent"
"4.2","SECTION 4.2","53120f93-5105-41ce-bd54-7b907c471d1f","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design","NarrativeContent"
"4.2.1","SECTION 4.2.1","02d8f5e2-20ba-4fc7-a6ca-d6fb5284b75a","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator","NarrativeContent"
