"name","uuid:ID","id","label","isRequired","isEnabled","datatype","instanceType"
"Vital Signs Result","98db16ac-e1ae-4b10-aeb0-bafe6e27008f","BiomedicalConceptProperty_98","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Temperature","77bc839d-b202-4b94-98e3-41a5a608ba6e","BiomedicalConceptProperty_99","Unit of Temperature","True","True","string","BiomedicalConceptProperty"
"Vital Signs Location","7758a4eb-6994-4ef5-9cdf-a9643bbd6a6e","BiomedicalConceptProperty_100","Vital Signs Location","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","f2f2b3ac-a766-47b9-b536-2847b9c2eab4","BiomedicalConceptProperty_101","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Weight","e56e9f23-c063-4115-b290-b212d6db8e0e","BiomedicalConceptProperty_102","Unit of Weight","True","True","string","BiomedicalConceptProperty"
"Vital Signs Result","c1f420ef-7989-4ab4-a769-160ea52946b9","BiomedicalConceptProperty_103","Vital Signs Result","True","True","decimal","BiomedicalConceptProperty"
"Unit of Height","046b0488-b2a1-4c2b-8a8c-40952f8868e1","BiomedicalConceptProperty_104","Unit of Height","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","930f0c02-4a95-4b42-a601-5ef4f646e56b","BiomedicalConceptProperty_105","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","c0ea80b1-8379-4072-b338-e2149f9cf70c","BiomedicalConceptProperty_106","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","812a52b1-0ac6-46fd-86d9-54476fbac76f","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","592fc681-d1fe-406a-8d55-77ccd9fea9b3","BiomedicalConceptProperty_108","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","32425958-f681-4a5d-a674-f47139a670f5","BiomedicalConceptProperty_109","Laboratory Test Result","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","30ef16bc-b041-4d41-bafa-c14afec40c45","BiomedicalConceptProperty_110","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Unit of Concentration","1bc2db8c-b01b-4f8c-8248-70be94e37db1","BiomedicalConceptProperty_111","Unit of Concentration","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","b0b5b8b2-0a57-459b-ab36-b00af3586a8e","BiomedicalConceptProperty_112","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","c0f449d3-1f5c-43a4-8334-f72bd1966578","BiomedicalConceptProperty_113","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","12666b00-03ed-4e39-8030-090fed31c04f","BiomedicalConceptProperty_114","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","412f11ee-b5af-408a-9c49-160772490cdc","BiomedicalConceptProperty_115","Unit of Catalytic Activity Concentration","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","3127503b-6531-413a-b328-e2cc1fff6b5c","BiomedicalConceptProperty_116","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","88537d6e-c237-4151-a640-0733c18ab8c8","BiomedicalConceptProperty_117","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","152294d8-5719-492d-8592-613e0dfa6f3a","BiomedicalConceptProperty_118","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","615a44ed-78a3-4c19-804d-63b04ec679d2","BiomedicalConceptProperty_119","Unit of Catalytic Activity Concentration","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","b6500a37-0eab-496d-8a2f-874e99614c2b","BiomedicalConceptProperty_120","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","9c7296cc-8c5d-40f3-9576-6e0272974abe","BiomedicalConceptProperty_121","Laboratory Test Result","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","56f0bd47-ca3c-4ade-ae0f-88d22766f3b3","BiomedicalConceptProperty_122","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Unit of Concentration","f574ba56-239a-48cf-a511-0a7e904dc210","BiomedicalConceptProperty_123","Unit of Concentration","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","92288ff5-e270-4802-a84a-9b7ee19f6d20","BiomedicalConceptProperty_124","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","659feead-b926-4379-b750-025b703b2f83","BiomedicalConceptProperty_125","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","3696c389-6013-4a33-90ab-381b8c64b847","BiomedicalConceptProperty_126","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
"Molarity Unit","e1d93d8b-00f0-497c-b617-2d837cf2c075","BiomedicalConceptProperty_127","Molarity Unit","True","True","string","BiomedicalConceptProperty"
"Biospecimen Type","e3c7c017-ade3-4cf9-ba9c-9131ab8e9034","BiomedicalConceptProperty_128","Biospecimen Type","True","True","string","BiomedicalConceptProperty"
"Laboratory Test Result","9bfe639d-a23d-480d-ad25-ea86b5ecc96b","BiomedicalConceptProperty_129","Laboratory Test Result","True","True","decimal","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","c79a962f-ac9a-4cb6-aca8-989fec2553a8","BiomedicalConceptProperty_130","Laboratory Test Fasting Status","True","True","boolean","BiomedicalConceptProperty"
