"uuid:ID","purpose","id","description","text","name","instanceType","label"
"bb9800be-8e42-443d-8d69-e879f675229b","","Endpoint_1","","Clinical status assessed using a 7-category ordinal scale at Day 28","END1","ENDPOINT",""
"a84bbed1-3ffe-4a13-b17f-62d6d9fa4219","","Endpoint_2","","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","END2","ENDPOINT",""
"8d1c7f0b-2db8-483e-bcb0-7380f80e767b","","Endpoint_3","","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","END3","ENDPOINT",""
"38d559ad-6946-490f-870b-72694f049394","","Endpoint_4","","Incidence of mechanical ventilation","END4","ENDPOINT",""
"895c92fd-830e-4720-be0e-62f32c064f76","","Endpoint_5","","Ventilator-free days to Day 28","END5","ENDPOINT",""
"e37aecd9-3ad0-4d10-b69d-265db5963407","","Endpoint_6","","Incidence of intensive care unit (ICU) stay","END6","ENDPOINT",""
"4465af74-baf8-46fd-8a78-4c5b228bff34","","Endpoint_7","","Duration of ICU stay","END7","ENDPOINT",""
"a52e4b04-e417-4da9-a651-3662251e03cd","","Endpoint_8","","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","END8","ENDPOINT",""
"e397ac44-1945-4b1c-8a00-73ad3c463a73","","Endpoint_9","","Mortality rate at Days 7, 14, 21, 28, and 60","END9","ENDPOINT",""
"6e866580-7777-475b-9f25-50afe9b34fca","","Endpoint_10","","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","END10","ENDPOINT",""
"1d078531-b55c-419f-895d-db392568b49b","","Endpoint_11","","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","END11","ENDPOINT",""
"e6f6cf18-f1ab-44c9-bba5-5fa40e4fd82e","","Endpoint_12","","Duration of supplemental oxygen","END12","ENDPOINT",""
