"uuid:ID","id","description","text","name","label"
"4a530334-629c-47b7-9048-a93b1c93f4c0","TransitionRule_1","","Subject identified","ENCOUNTER_START_RULE_1",""
"a893801a-be25-4f3d-9f93-d7ef7cbee2b6","TransitionRule_2","","IEs passed","ENCOUNTER_START_RULE_1",""
"8afddbf4-8b34-45be-af35-6ca4d7ada6b4","TransitionRule_3","","Radomized","ENCOUNTER_START_RULE_3",""
"e3227d21-8e64-4a1e-b105-197f0cf47adf","TransitionRule_4","","Study Start","ELEMENT_START_RULE_1",""
"468626d4-2b2f-46b4-a2a4-77d6b233aff5","TransitionRule_5","","Screened","ELEMENT_END_RULE_1",""
"45f5f3e5-9ec5-4d75-98f7-32af2922c50a","TransitionRule_6","","Screened","ELEMENT_START_RULE_2",""
"8b0b2119-39e8-4c56-8c10-20e4b483d523","TransitionRule_7","","Radomized","ELEMENT_END_RULE_2",""
"6370ce61-3562-4e35-a23e-44fd3449f4c9","TransitionRule_8","","Radomized","ELEMENT_START_RULE_3",""
"0f147201-8e7a-4e15-87fb-c2e40b58fa1d","TransitionRule_9","","Completed treatment 1","ELEMENT_END_RULE_3",""
"db835d96-78ed-4486-8b7a-ea61bf940048","TransitionRule_12","","Radomized","ELEMENT_START_RULE_5",""
"762138c4-4bc1-4981-b721-70491bba4fdb","TransitionRule_13","","Completed treatment 2","ELEMENT_END_RULE_5",""
"e840fa40-e9c1-4bcd-8f9d-ffc8d3d7ad86","TransitionRule_10","","Treated","ELEMENT_START_RULE_4",""
"40123f71-8e95-4310-9017-69ba1037172f","TransitionRule_11","","Leave Study","ELEMENT_END_RULE_4",""
