"uuid:ID","sectionNumber","id","text","name","sectionTitle"
"e997c46c-2bad-4c6c-b736-7fe4ab527dc9","0","NarrativeContent_1","","ROOT","Root"
"68550dc2-17ab-4b93-8238-c0972afdecc4","1","NarrativeContent_2","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","SECTION 1","PROTOCOL SUMMARY"
"228186bf-7fff-419d-b278-896f28a884e0","1.1","NarrativeContent_3","<div></div>","SECTION 1.1","Protocol Synopsis"
"ec977f37-34ae-45b7-a4be-41cfa619d62a","1.2","NarrativeContent_4","<div></div>","SECTION 1.2","Trial Schema"
"0e8e8888-f852-4950-b09c-253f125896c4","1.3","NarrativeContent_5","<div></div>","SECTION 1.3","Schedule of Activities"
"7abb2ccd-2d24-468a-a0e8-7ed52237891e","2","NarrativeContent_6","<div></div>","SECTION 2","INTRODUCTION"
"8be4e036-687d-4d15-9c4a-415f61034962","2.1","NarrativeContent_7","<div></div>","SECTION 2.1","Purpose of Trial"
"65c025a2-bd74-441d-84e8-90bcbc5526a0","2.2","NarrativeContent_8","<div></div>","SECTION 2.2","Summary of Benefits and Risks"
"3879390a-90ea-46a9-9282-262482d2bfbe","3","NarrativeContent_9","<div></div>","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"31de93bc-12a6-4903-b654-f0e01ef4d4a6","3.1","NarrativeContent_10","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","SECTION 3.1","Primary Objectives"
"ad112dbc-fb6b-4052-a4c4-0b71026c1767","4","NarrativeContent_11","<div></div>","SECTION 4","TRIAL DESIGN"
"c2bd42c7-a13b-4f72-b3de-d6c1d4e82da5","4.1","NarrativeContent_12","<div></div>","SECTION 4.1","Description of Trial Design"
"9c2c1a9e-65a8-460b-be7d-7aca70d80e8f","4.1.1","NarrativeContent_13","<div></div>","SECTION 4.1.1","Participant Input into Design"
"6631c53d-8565-4e6a-990e-63ee92084655","4.2","NarrativeContent_14","<div></div>","SECTION 4.2","Rationale for Trial Design"
"3d6596d6-7a12-45a7-9b91-794a9cee16c2","4.2.1","NarrativeContent_15","<div></div>","SECTION 4.2.1","Rationale for Comparator"
"c0f5a005-f3c1-4402-908f-9d710d1badf7","4.2.2","NarrativeContent_16","<div></div>","SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design"
"a31e2b71-0cc6-410e-b7c3-28c43a61197d","4.2.3","NarrativeContent_17","<div></div>","SECTION 4.2.3","Other Trial Design Considerations"
"7ac6467d-50a7-4ddf-aab7-1d3d40ca8c66","4.3","NarrativeContent_18","<div></div>","SECTION 4.3","Access to Trial Intervention After End of Trial"
"4163d214-dab6-4cd5-ac22-07e86fd9219b","4.4","NarrativeContent_19","<div></div>","SECTION 4.4","Start of Trial and End of Trial"
"a5e12883-a524-450e-89ba-efebcc47defe","5","NarrativeContent_20","<div></div>","SECTION 5","TRIAL POPULATION"
"33da8e17-9a1e-4414-af98-8696062c8972","5.1","NarrativeContent_21","<div></div>","SECTION 5.1","Selection of Trial Population"
"45c7812f-43d5-401d-b76e-29adae0efb25","5.2","NarrativeContent_22","<div></div>","SECTION 5.2","Rationale for Trial Population"
"a6714c33-4ff9-4238-bc2b-0acd7858b49b","5.3","NarrativeContent_23","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","SECTION 5.3","Inclusion Criteria"
"c414c121-dd16-4116-a50d-160edb1c1a36","5.4","NarrativeContent_24","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","SECTION 5.4","Exclusion Criteria"
"7540e1de-95fe-4a37-887b-8cde36db9c2f","5.5","NarrativeContent_25","<div></div>","SECTION 5.5","Lifestyle Considerations"
"588c886b-c381-4c1d-b362-9ff212c05d4e","5.5.1","NarrativeContent_26","<div></div>","SECTION 5.5.1","Meals and Dietary Restrictions"
"3bf1f569-a00b-4eed-8e6d-1acda6173c4b","5.5.2","NarrativeContent_27","<div></div>","SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits"
"bd5217e0-f016-4e5a-a72b-ddc02022fdce","5.5.3","NarrativeContent_28","<div></div>","SECTION 5.5.3","Physical Activity"
"996e4dfd-ccc1-4596-a5e9-7d7e34f65d9b","5.5.4","NarrativeContent_29","<div></div>","SECTION 5.5.4","Other Activity"
"d6f43501-0f7c-4333-a8b8-ad8c13429d8b","5.6","NarrativeContent_30","<div></div>","SECTION 5.6","Screen Failures"
"fc9d4366-3c79-4a9b-bbec-01fc0816d938","6","NarrativeContent_31","<div></div>","SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"0eca405c-0cb5-4376-8c71-73cc62757e57","6.1","NarrativeContent_32","<div></div>","SECTION 6.1","Description of Trial Intervention"
"2e485d77-b830-4ae9-ad42-5f4ab9548dba","6.2","NarrativeContent_33","<div></div>","SECTION 6.2","Rationale for Trial Intervention"
"0ccfff04-39ec-46f2-9807-37d8b30c7ccd","6.3","NarrativeContent_34","<div></div>","SECTION 6.3","Dosing and Administration"
