"name","label","id","uuid:ID","description","instanceType"
"Informed consent","Informed consent","Activity_1","ac49aea5-ef43-4c96-be89-154f71ab0a24","","Activity"
"Inclusion/exclusion criteria","Inclusion and exclusion criteria","Activity_2","514797bb-e530-4745-b7a5-2ac149a669e9","","Activity"
"Patient number assigned","Patient number assigned","Activity_3","1c9a2718-b469-4b2b-a294-44b6823b65ae","","Activity"
"Demographics","Demographics","Activity_4","0ca56e49-26f9-4f03-a8c3-0750d6d6b3dd","","Activity"
"Hachinski","Hachinski Ischemic Scale","Activity_5","0c68a61b-f30d-4d73-ab18-1932d34218a5","","Activity"
"MMSE","MMSE","Activity_6","67d4a6ce-fc51-4bfb-b885-1077f81f849a","","Activity"
"Physical examination","Physical examination","Activity_7","e0e810b4-7e30-4536-8efb-f33a89eee50e","","Activity"
"Medical history","Medical history","Activity_8","48b899b7-b4e7-4552-983c-c21268cf1e2b","","Activity"
"Habits","Habits","Activity_9","5139d4de-4039-4d24-9116-f73f8c04e96a","","Activity"
"Chest X-ray","Chest X-ray","Activity_10","f8091667-1a05-4b88-8f6b-5ee1fad642d2","","Activity"
"Apo E genotyping","Apo E genotyping","Activity_11","944640d0-5214-492c-b04a-84c481572b3f","","Activity"
"Patient randomised","Patient randomised","Activity_12","16f9e7c3-f572-481c-9919-ce44c0c714d1","","Activity"
"Vital signs / Temperature","Vital Signs and Temperature","Activity_13","1f9371a5-a46a-4a50-ab8f-911276e5afe0","","Activity"
"Ambulatory ECG placed","Ambulatory ECG placed","Activity_14","da0033bd-8fe4-48a5-b9ac-e6af908ccda8","","Activity"
"Ambulatory ECG removed","Ambulatory ECG removed","Activity_15","fb660356-52fc-48d2-a60a-c0a5ccbb7f3c","","Activity"
"ECG","ECG","Activity_16","f1eada39-3c3c-4abc-878b-c2c212ddfc62","","Activity"
"Placebo TTS test","Placebo TTS test","Activity_17","5d42eecc-fc75-440d-a683-ebe454d175a0","","Activity"
"CT scan","CT scan","Activity_18","dba3f01b-3e4c-4bc2-8d76-8691ed5f5602","","Activity"
"Concomitant medications","Concomitant medications","Activity_19","cd209df9-0da6-4a1c-bde8-6bc3793dc0ac","","Activity"
"Hematology","Hematology","Activity_20","d5955191-86fd-4d6d-a4e3-f6dda4b0f891","","Activity"
"Chemistry","Chemistry","Activity_21","08dc0157-d8b7-49cf-8398-c0418a1a9640","","Activity"
"Uninalysis","Uninalysis","Activity_22","e1968d11-2852-468a-8557-238513191b17","","Activity"
"Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","Activity_23","d113191e-740a-49a4-8728-d0b925e1c059","","Activity"
"Hemoglobin A1C","Hemoglobin A1C","Activity_24","75d665ef-dfe3-43f8-90e7-8f98f42a14af","","Activity"
"Study drug","Study drug record , Medications dispensed, Medications returned","Activity_25","b27c5461-0940-41f8-9cda-ac013119d33f","","Activity"
"TTS Acceptability Survey","TTS Acceptability Survey","Activity_26","e4cabd5d-1b27-4d1f-b139-2c41bba4c96e","","Activity"
"ADAS-Cog","ADAS-Cog","Activity_27","fa6ed8d2-f24c-4ec1-a258-9662f2a5cc40","","Activity"
"CIBIC+","CIBIC+","Activity_28","12642e09-12cd-4c69-92c9-cb3b625a145f","","Activity"
"DAD","DAD","Activity_29","d5a23c84-9b7a-4a0c-a1a5-b4063cc1ec7e","","Activity"
"NPI-X","NPI-X","Activity_30","b32a4c43-3cfb-450a-8342-01dce5ded854","","Activity"
"Adverse events","Adverse events","Activity_31","dbc17c01-abad-4466-84c6-d47302e8c78f","","Activity"
"Check adverse events","Check adverse events","Activity_32","8472930e-6436-48e3-81ee-8f0894f8179d","","Activity"
"Supine","Subject supine","Activity_33","c3d5e9c3-42ab-41b8-8d6f-d543c1ef062b","","Activity"
"Vital Signs Supine","Vital signs while supine","Activity_34","ac92c8cb-4fe9-4f66-abef-60f6e30f52e2","","Activity"
"Stand","Subject Standing","Activity_35","d15d69e3-9be8-47dc-987b-73125804b87f","","Activity"
"Vital Signs Standing","Vital signs while standing","Activity_36","bf0d6b7b-2762-4da2-9705-f8b526403d31","","Activity"
