"name","label","synonyms","id","uuid:ID","reference","instanceType"
"Sex","Sex","","BiomedicalConcept_20","e4e84a9d-b00d-4ba4-9121-8253abc639fa","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept"
"Race","Race","['Racial Group']","BiomedicalConcept_21","00cb6497-0fd7-4561-a7bf-f3279c5f18a1","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept"
"Body Temperature","Body Temperature","['Temperature']","BiomedicalConcept_22","1a3b6f64-dff7-46df-ada9-cbd2846de73d","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept"
"Body Weight","Body Weight","['Weight']","BiomedicalConcept_23","e29b0781-b39a-4f6a-ac0a-04c24bb3961b","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept"
"Body Height","Body Height","['Height']","BiomedicalConcept_24","62091fc5-73de-4516-b94d-d93bb9de2d5d","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept"
"Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_25","9f995e11-cade-4259-97ef-e4485a2adb2f","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"Albumin Measurement","Albumin Measurement","['Albumin']","BiomedicalConcept_26","3556c09f-9f1c-4900-b5eb-a75bec69b426","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_27","98a5c840-4389-429a-aed5-76d6a6d6c197","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_28","ffa9c450-bd0b-4794-b966-bbdea7a7ef4e","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"Creatinine Measurement","Creatinine Measurement","['Creatinine']","BiomedicalConcept_29","e2c93946-2e8d-49a0-ac1b-c5cb2f5b624d","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"Potassium Measurement","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_30","68ad27d0-5fe1-4f1a-840f-b7738ebc753d","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_31","85836cb0-0a38-44e1-adff-42300b0c6fa0","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"Adverse Event","Adverse Event","","BiomedicalConcept_1","3c924d3b-acb2-4126-858f-e750e22a855a","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","BiomedicalConcept"
"Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_2","bfc5e9ec-9256-413c-afba-38e9d8706ecb","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept"
"Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_3","7eb2a7b3-6d97-4114-96df-5a6a10c8c19f","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept"
"Body Temperature","Body Temperature","['Temperature']","BiomedicalConcept_4","50fb23ee-2c1e-44c0-9c80-031a8be655f3","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept"
"Body Weight","Body Weight","['Weight']","BiomedicalConcept_5","3ce7ec83-f3ea-48fc-a1c4-6237f84e2b10","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept"
"Body Height","Body Height","['Height']","BiomedicalConcept_6","d9a5c8cb-3074-4697-9762-99b85e3fafa7","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept"
"Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_7","3871c660-661d-4a42-908f-1a1fa14904b0","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"Albumin Measurement","Albumin Measurement","['Albumin']","BiomedicalConcept_8","0de38f2c-9928-40b3-8b28-b1f448594f82","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_9","84c1f65d-058b-4429-bb79-b56aaf8107e0","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_10","c127ef77-13db-4bfc-97d4-61e8a30db07d","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"Creatinine Measurement","Creatinine Measurement","['Creatinine']","BiomedicalConcept_11","5f593d2d-ad7d-429a-b409-d0039ed485d1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
