"name","label","id","uuid:ID","description","instanceType"
"E1","Screening 1","Encounter_1","7a9f5b57-fac6-4bf2-b978-4d13381ed2f5","Screening encounter","Encounter"
"E2","Screening 2","Encounter_2","2a27ab07-fd03-42aa-a6ca-10d5b8899c74","Screening encounter - Ambulatory ECG Placement","Encounter"
"E3","Baseline","Encounter_3","4cc0f80b-1379-4c1a-a11d-973dadc09a6a","Baseline encounter - Ambulatory ECG Removal","Encounter"
"E4","Week 2","Encounter_4","636f2619-a3b8-4066-91cf-d404e8204be5","Day 14","Encounter"
"E5","Week 4","Encounter_5","a8adf9cb-595d-4eaa-8e53-4713fbf3a9b5","Day 28","Encounter"
"E7","Week 6","Encounter_6","cf68ac81-5693-4e16-b1bb-877c01263522","Day 42","Encounter"
"E8","Week 8","Encounter_7","8e6ff556-1cbe-4abc-bea5-6eb00d4f44e5","Day 56","Encounter"
"E9","Week 12","Encounter_8","be4e2b0d-1fe2-456a-adaa-925c3422bf26","Day 84","Encounter"
"E10","Week 16","Encounter_9","8753f2cd-90ec-4bf1-a5e1-60c54dd42a45","Day 112","Encounter"
"E11","Week 20","Encounter_10","17cabe50-149a-40b8-9138-b7164d6d8b39","Day 140","Encounter"
"E12","Week 24","Encounter_11","746dcf3c-4b76-437e-ab60-c53a22c458eb","Day 168","Encounter"
"E13","Week 26","Encounter_12","87add351-2770-42bb-aaf6-ed8e207065fa","Day 182","Encounter"
