"decode","instanceType","code","codeSystemVersion","id","uuid:ID","codeSystem"
"Interventional Study","Code","C98388","2023-09-29","Code_1","8ea912b1-2042-4323-b4dc-9e7af63fb996","http://www.cdisc.org"
"Phase II Trial","Code","C15601","2023-09-29","Code_2","4a426c50-4805-48d4-a2ff-63b74c26604f","http://www.cdisc.org"
"Sponsor Approval Date","Code","C132352","2023-09-29","Code_9","580a3955-67ce-4507-a552-6b806b1a8614","http://www.cdisc.org"
"Global","Code","C68846","2023-09-29","Code_10","35a73bc8-3294-42e3-9926-47d0c76bee11","http://www.cdisc.org"
"IRB/IEC Feedback","Code","C99904x3","2023-09-29","Code_72","5a09599a-d950-411e-b93e-3a1cf3020061","http://www.cdisc.org"
"Other","Code","C17649","2023-09-29","Code_73","d6f223fb-1354-4998-b6db-c2badd4d5ecb","http://www.cdisc.org"
"Region","Code","C41129","2023-09-29","Code_75","f49cae35-1f15-4e1d-8349-33978dbf1279","http://www.cdisc.org"
"Europe","Code","150","2020-08","Code_74","8648e612-f4a4-4e6f-ba04-3ab6f4f6c86c","ISO 3166 1 alpha3"
"Eli Lilly","Code","PHARMA","12","Code_4","712e72c9-57a1-4774-b9a7-23710ac24cae","SPONSOR"
"Clinical Study Sponsor","Code","C70793","2023-09-29","Code_76","7e23f8b4-0f6a-4b72-8599-f9772d804f54","http://www.cdisc.org"
"United States of America","Code","USA","2020-08","Code_77","4010ee5a-9cce-47b6-a00e-dca3291d1570","ISO 3166 1 alpha3"
"Study Registry","Code","C93453","2023-09-29","Code_78","ea9c59e3-da5b-44bb-9959-7d858c381694","http://www.cdisc.org"
"United States of America","Code","USA","2020-08","Code_79","4d84f16b-a350-4f06-af6d-652fed2e2f22","ISO 3166 1 alpha3"
"Treatment Study","Code","C49656","2023-09-29","Code_137","06fa88df-d497-49b2-8b48-052e756f9746","http://www.cdisc.org"
"Efficacy Study","Code","C49666","2023-09-29","Code_138","63c4b0de-4f24-48b1-af8f-f0c8ae9ac463","http://www.cdisc.org"
"Safety Study","Code","C49667","2023-09-29","Code_139","486372ef-7627-4143-a461-3008e79e6c26","http://www.cdisc.org"
"Pharmacokinetic Study","Code","C49663","2023-09-29","Code_140","4f95ed5b-6d86-4f32-9723-1ff26cdd0354","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","Code","MILD_MOD_ALZ","12","Code_134","1c071756-0611-4463-8c2b-33eece351613","SPONSOR"
"Alzheimer's disease","Code","26929004","January 31, 2018","Code_135","c0bf0bc7-cb41-4bbb-a932-884b816ae70c","SNOMED"
"EXTENSION","Code","C99907x1","2023-09-29","Code_143","06547ddc-0018-49f6-87bc-c260179a1bf3","http://www.cdisc.org"
"ADAPTIVE","Code","C98704","2023-09-29","Code_144","fa574339-33b8-4f81-8800-8600b463914f","http://www.cdisc.org"
"Parallel Study","Code","C82639","2023-09-29","Code_141","9ccf7452-36dc-4ce9-9a11-7ad444346949","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_83","c1146430-dd71-44da-b3e1-ea789b1992e7","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_84","0d51f5e3-c7bc-4305-8de8-bda1c0cf075c","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_85","a044e35a-1b9c-4520-bdb0-6d3c1a3cc8c9","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_86","c9d7aeb0-1bbe-4ab2-a9d6-5f16b67b70e1","http://www.cdisc.org"
"Clinic","Code","C51282","2023-09-29","Code_87","8f9a3e5e-2e41-4720-8a1c-473b17c5dc46","http://www.cdisc.org"
"In Person","Code","C175574","2023-09-29","Code_88","0bdc0df3-d897-4c19-af80-ca82ebe0242d","http://www.cdisc.org"
"Visit","Code","C25716","2023-09-29","Code_89","3823f19b-52f2-43ed-a66f-79ca375ff3b2","http://www.cdisc.org"
