"isRequired","name","label","id","datatype","uuid:ID","isEnabled","instanceType"
"True","Sex","Sex","BiomedicalConceptProperty_89","string","fbc7ce0b-4c00-4a47-a650-9b1b57ceea70","True","BiomedicalConceptProperty"
"True","Race","Race","BiomedicalConceptProperty_90","string","c74c3cd3-8ab6-4277-9128-5475409be7a9","True","BiomedicalConceptProperty"
"True","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty_91","decimal","14be12a7-8e26-492c-8274-a6f734aec4b7","True","BiomedicalConceptProperty"
"True","Unit of Temperature","Unit of Temperature","BiomedicalConceptProperty_92","string","54379d4b-e3f0-433b-b8cb-a1bb92a49ff7","True","BiomedicalConceptProperty"
"True","Anatomic Site","Anatomic Site","BiomedicalConceptProperty_93","string","b85c09f9-fd7c-488f-9653-1e52f82524d3","True","BiomedicalConceptProperty"
"True","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty_94","decimal","656154b4-6ded-42c6-9e81-7b66f8c7c6ad","True","BiomedicalConceptProperty"
"True","Unit of Weight","Unit of Weight","BiomedicalConceptProperty_95","string","2e71c887-917e-4784-ba46-7087154aac3b","True","BiomedicalConceptProperty"
"True","Clinical Test Result","Clinical Test Result","BiomedicalConceptProperty_96","decimal","bcefb543-d325-446f-b19e-3be2edddc3ed","True","BiomedicalConceptProperty"
"True","Unit of Height","Unit of Height","BiomedicalConceptProperty_97","string","ac7c5078-3fdf-4ec9-8905-d2c7b7f47635","True","BiomedicalConceptProperty"
"True","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_98","decimal","4191e09c-4066-44c8-867f-aeef01ca7d95","True","BiomedicalConceptProperty"
"True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_99","boolean","04b464ac-4d1f-4bf8-8819-b3927023931c","True","BiomedicalConceptProperty"
"True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_100","string","7a52bec5-4837-4d47-ab97-da47328b9004","True","BiomedicalConceptProperty"
