"name","label","purpose","text","id","uuid:ID","description","instanceType"
"END1","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","f5b8645b-4b71-4154-aebe-40542f409850","","Endpoint"
"END2","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","948a531e-160e-4bc0-868f-849008c571e3","","Endpoint"
"END3","","","Adverse events","Endpoint_3","c004e71f-a6e8-4987-840c-a6b8719b4be8","","Endpoint"
"END4","","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","60f7c6bb-d0c0-4e59-954b-c638da92ec45","","Endpoint"
"END5","","","Laboratory evaluations (Change from Baseline)","Endpoint_5","b05cbf6d-9bee-4beb-a797-f986ee2b8880","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint"
"END6","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","24abf476-528f-4810-a76b-401156de1c3c","","Endpoint"
"END7","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","ecd45d00-47b0-485a-a601-4316a70babd9","","Endpoint"
"END8","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","0b4aaca7-181e-4e4d-8ac8-33b375e6ddaf","","Endpoint"
"END9","","","*** To be determined from protocol ***","Endpoint_9","cd856bbe-65ba-4b63-b410-8e740e4ddadb","","Endpoint"
"END10","","","*** To be determined from protocol ***","Endpoint_10","bace419a-4a20-4ca4-b57a-4162e7926295","","Endpoint"
"END11","","","*** To be determined from protocol ***","Endpoint_11","152cc2ca-ba56-44ae-83c5-ada5a3992385","","Endpoint"
