"name","label","window","id","uuid:ID","windowLower","value","windowUpper","description","instanceType"
"TIM1","Screening","","Timing_1","8a6e59f9-b9b7-4653-a292-396eb952fe76","","P2W","","Screening timing","Timing"
"TIM2","Pre dose","-4..0 hours","Timing_2","7a2f6f1a-286e-42eb-80b4-1e903ce06693","PT4H","P2D","PT0H","Pre dose timing","Timing"
"TIM3","Dosing","","Timing_3","1cf62ff1-44e7-4f4f-b6a7-4b5ca72eaf10","","P1D","","Dosing anchor","Timing"
"TIM4","Week 2","-3..3 days","Timing_4","c9565d66-0e53-4b1e-a4e4-5c787fc0044f","P3D","P2W","P3D","Week 2 timing","Timing"
"TIM5","Week 4","-3..3 days","Timing_5","75b413b2-d186-4179-93e8-ab8b7193fb5a","P3D","P4W","P3D","Week 4 timing","Timing"
"TIM6","Week 6","-3..3 days","Timing_6","d2538f72-546c-4698-8b9f-0be4bd6bf8b5","P3D","P6W","P3D","Week 6 timing","Timing"
"TIM7","Week 8","-3..3 days","Timing_7","036bbc31-d3f6-4e1a-a934-9ac67a6a3d52","P3D","P8W","P3D","Week 8 timing","Timing"
"TIM9","Week 12","-4..4 days","Timing_9","05873f4e-f83e-4058-9ffd-a5696029da01","P4D","P12W","P4D","Week 12 timing","Timing"
"TIM11","Week 16","-4..4 days","Timing_11","d8557dfc-f7a4-4ff7-b026-156064adf2d5","P4D","P16W","P4D","Week 16 timing","Timing"
"TIM13","Week 20","-4..4 days","Timing_13","1368ca3e-deb9-497f-9ab6-1ad453420901","P4D","P20W","P4D","Week 20 timing","Timing"
"TIM15","Week 24","-4..4 days","Timing_15","3ea0cbcc-86b7-4286-9413-cb206fe2231f","P4D","P24W","P4D","Week 24 timing","Timing"
"TIM16","Week 26","-3..3 days","Timing_16","f26b7a8a-5953-46f5-8787-d7d8b9189fcc","P3D","P26W","P3D","Week 26 timing","Timing"
"TIM8","Week 8 Home","","Timing_8","73c5f8d7-4af8-4bc3-bbeb-b310740f8f35","","P2W","","Week 8 at home timing","Timing"
"TIM10","Week 12 Home","","Timing_10","9dfa4a83-6d0d-4922-9626-971a17e34c4d","","P2W","","Week 12 at home timing","Timing"
"TIM12","Week 16 Home","","Timing_12","01809dde-7561-4840-8ecb-bd567bf10dad","","P2W","","Week 16 at home timing","Timing"
"TIM14","Week 20 Home","","Timing_14","5d070135-c378-41f5-977d-a642bb492182","","P2W","","Week 20 at home timing","Timing"
"TIM17","Adverse Event","","Timing_17","6bd892ee-5f3c-4c7a-81d0-5ad87bc8371b","","P1D","","Adverse Event","Timing"
"TIM18","Early Termination","","Timing_18","ae59020a-7f35-4ba4-841a-4b3d90e605cd","","P1D","","Early Termination","Timing"
"TIM19","Supine","","Timing_19","4b34c6dd-d999-406f-8f89-798cd5085e5e","","PT0M","","Supine","Timing"
"TIM20","VS while supine","","Timing_20","82e37388-539f-4671-bacf-89d7430005b4","","PT5M","","VS while supine","Timing"
"TIM21","Standing","","Timing_21","192b976b-7f3c-4c12-82d0-29f255008a68","","PT0M","","Standing","Timing"
"TIM22","VS while standing","","Timing_22","df432df7-e35d-4a60-b5f5-9451a302b84b","","PT1M","","VS while standing","Timing"
"TIM23","Standing","","Timing_23","f434f6ec-c926-4c64-bb7e-02403a39901e","","PT0M","","Standing","Timing"
"TIM24","VS while standing","","Timing_24","77bba6ea-b9ce-4323-8e27-d9f2a4d84527","","PT2M","","VS while standing","Timing"
