"name","text","id","uuid:ID","instanceType"
"ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1","1b71d5fd-2c5d-4b29-afce-2807c5c7133e","TransitionRule"
"ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2","b417a4d8-b761-4d7b-a99b-6bb27f8b6910","TransitionRule"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","f56bb2af-6119-481f-8243-0d2273a8eb1e","TransitionRule"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4","c9c24b83-6056-4d9a-88e0-26a64eaafa2b","TransitionRule"
"ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5","3e0d2bb3-3040-4403-a0f2-1e0b6db77bec","TransitionRule"
"ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6","83d40c38-46ce-4289-94de-a9e339781272","TransitionRule"
"ELEMENT_START_RULE_1","Informed consent","TransitionRule_7","7d553aa0-2b97-49ee-9e5c-39a5b17de5e0","TransitionRule"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","2e10ea56-08e8-4057-92ac-995d7ff6c806","TransitionRule"
"ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9","0b1a9f52-9393-4c21-8585-9866b3179689","TransitionRule"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14","a0fd2a6a-d566-46df-befb-279075c5787a","TransitionRule"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","bfced61a-7a95-48ce-a133-b4adfeac8572","TransitionRule"
"ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10","a0c9a592-7bfc-43d8-a65c-766ce80da358","TransitionRule"
"ELEMENT_START_RULE_4","Randomized","TransitionRule_11","1119a37e-7b57-4bb3-9592-4a7321809361","TransitionRule"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","f930c86d-c2fc-4d8b-8cea-28e95e9fdb8b","TransitionRule"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","4eeccd5f-30b4-4920-8e45-10ab99c710a0","TransitionRule"
