"label","name","id","uuid:ID","bcReference","bcSynonyms"
"Body Temperature","Body Temperature","BiomedicalConcept_18","ebb0666a-8695-4507-a3f0-9429bafcde87","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']"
"Body Weight","Body Weight","BiomedicalConcept_19","569826bb-8b4f-4498-adfd-e986d1399c0a","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']"
"Body Height","Body Height","BiomedicalConcept_20","ab615ea1-59b7-4608-8546-760fc78c724f","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']"
"Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept_21","c2abfd02-0268-4150-a2af-246ab8fbdf56","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']"
"Albumin Measurement","Albumin Measurement","BiomedicalConcept_22","6bc3db26-ca74-47d8-952d-4fd943f8168d","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']"
"Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept_23","8dc3de75-c0dc-4770-bedd-11c069a84ba7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']"
"Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","dd78c9b0-5fd9-4c68-903e-18e812dc0743","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']"
"Creatinine Measurement","Creatinine Measurement","BiomedicalConcept_25","968929f3-51e6-483e-bfda-38c37d98e17b","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']"
"Potassium Measurement","Potassium Measurement","BiomedicalConcept_26","9158eaa5-484b-4b81-bc95-97ec7729332c","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']"
"Sodium Measurement","Sodium Measurement","BiomedicalConcept_27","2f767b31-b173-4fb5-acf6-3fb073160db6","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']"
"Adverse Event","Adverse Event","BiomedicalConcept_1","012b1384-8a13-4c76-a326-2cabd7f4e58e","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_2","7423819d-c0c0-45fb-b1b9-793f6f86ce2c","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_3","d86ac48f-4529-44ea-ac9e-f5579baa4554","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']"
"Body Temperature","Body Temperature","BiomedicalConcept_4","d5601fb5-0fe4-4d00-815f-d52cdac99903","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']"
"Body Weight","Body Weight","BiomedicalConcept_5","c98a3385-d454-42af-b3df-41b9c2f2b34f","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']"
"Body Height","Body Height","BiomedicalConcept_6","5d04c03a-abe0-44fe-8b98-e827e787640a","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']"
"Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept_7","db71f762-9a1e-4920-9edb-3c2cc61ba8b4","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']"
"Albumin Measurement","Albumin Measurement","BiomedicalConcept_8","83acd3c0-8b98-4f2b-bf86-fd462ec35b90","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']"
"Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept_9","5e378090-7b48-4d2b-8759-c458310bb27c","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']"
"Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","c1bbf3f8-38be-456e-8fc7-0b580e8cafdf","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']"
"Creatinine Measurement","Creatinine Measurement","BiomedicalConcept_11","7c8d4190-5435-4a20-b87d-6d6ce03ded90","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']"
"Potassium Measurement","Potassium Measurement","BiomedicalConcept_12","595705ea-6cd6-406c-a021-7b443ceda15b","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']"
"Sodium Measurement","Sodium Measurement","BiomedicalConcept_13","aadbab52-7787-4a7d-92f9-5b923b2ad421","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_14","b37821d5-08b1-41bc-bfbf-aeeb3f974210","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_15","40d7f205-ed90-447a-9a64-743b2d2a2bd3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_16","4c83fd93-c3ab-44ac-8e60-e3764486c50c","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_17","906bfb32-69a5-4114-850a-8b79d347cc1b","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']"
